Temp (K),Current mA,Im Voltage mV,Re Voltage mV,phase 9,Freq in Hz,Re M in nH,Im M in nH,Date/time
Temp (K),Current mA,Im Voltage mV,Re Voltage mV,phase 9,Freq in Hz,Re M in nH,Im M in nH,Date/time
Temp (K),Current mA,Im Voltage mV,Re Voltage mV,phase 9,Freq in Hz,Re M in nH,Im M in nH,Date/time
297.580000,0.518611,0.000011,0.005526,87.560000,30260,56.066932,0.113400,07-Feb-19 11:19:28 AM
297.570000,0.518516,0.000010,0.005526,87.560000,30260,56.077205,0.103969,07-Feb-19 11:19:29 AM
297.570000,0.518516,0.000009,0.005525,87.560000,30260,56.067665,0.094517,07-Feb-19 11:19:29 AM
297.570000,0.518516,0.000009,0.005524,87.560000,30260,56.058226,0.094517,07-Feb-19 11:19:30 AM
297.570000,0.518516,0.000008,0.005524,87.560000,30260,56.058226,0.085066,07-Feb-19 11:19:31 AM
297.560000,0.518516,0.000008,0.005524,87.560000,30260,56.058226,0.085066,07-Feb-19 11:19:31 AM
297.560000,0.518516,0.000007,0.005525,87.560000,30260,56.067665,0.075614,07-Feb-19 11:19:32 AM
297.560000,0.518516,0.000007,0.005525,87.560000,30260,56.067665,0.066162,07-Feb-19 11:19:33 AM
297.560000,0.518516,0.000008,0.005526,87.560000,30260,56.077205,0.085066,07-Feb-19 11:19:33 AM
297.560000,0.518516,0.000008,0.005526,87.560000,30260,56.077205,0.085066,07-Feb-19 11:19:34 AM
297.560000,0.518516,0.000008,0.005526,87.560000,30260,56.077205,0.085066,07-Feb-19 11:19:35 AM
297.570000,0.518516,0.000007,0.005528,87.560000,30260,56.105519,0.075614,07-Feb-19 11:19:35 AM
297.570000,0.518516,0.000006,0.005527,87.560000,30260,56.096081,0.056710,07-Feb-19 11:19:36 AM
297.560000,0.518516,0.000007,0.005526,87.560000,30260,56.077205,0.066162,07-Feb-19 11:19:37 AM
297.570000,0.518516,0.000006,0.005524,87.560000,30260,56.058226,0.056710,07-Feb-19 11:19:38 AM
297.570000,0.518516,0.000005,0.005524,87.560000,30260,56.058226,0.047259,07-Feb-19 11:19:38 AM
297.570000,0.518516,0.000003,0.005524,87.560000,30260,56.058226,0.028355,07-Feb-19 11:19:39 AM
297.570000,0.518516,0.000005,0.005525,87.560000,30260,56.067665,0.047259,07-Feb-19 11:19:40 AM
297.560000,0.518516,0.000006,0.005525,87.560000,30260,56.067665,0.056710,07-Feb-19 11:19:40 AM
297.560000,0.518516,0.000007,0.005524,87.560000,30260,56.058226,0.066162,07-Feb-19 11:19:41 AM
297.560000,0.518516,0.000008,0.005525,87.560000,30260,56.067665,0.085066,07-Feb-19 11:19:42 AM
297.570000,0.518516,0.000009,0.005524,87.560000,30260,56.058226,0.094517,07-Feb-19 11:19:42 AM
297.570000,0.518516,0.000011,0.005526,87.560000,30260,56.077205,0.113421,07-Feb-19 11:19:43 AM
297.570000,0.518516,0.000011,0.005526,87.560000,30260,56.077205,0.113421,07-Feb-19 11:19:44 AM
297.570000,0.518516,0.000011,0.005527,87.560000,30260,56.096081,0.113421,07-Feb-19 11:19:45 AM
297.570000,0.518516,0.000008,0.005527,87.560000,30260,56.096081,0.085066,07-Feb-19 11:19:45 AM
297.560000,0.518516,0.000007,0.005526,87.560000,30260,56.077205,0.075614,07-Feb-19 11:19:46 AM
297.560000,0.518516,0.000007,0.005524,87.560000,30260,56.058226,0.066162,07-Feb-19 11:19:47 AM
297.560000,0.518516,0.000006,0.005526,87.560000,30260,56.077205,0.056710,07-Feb-19 11:19:47 AM
297.570000,0.518516,0.000005,0.005526,87.560000,30260,56.077205,0.047259,07-Feb-19 11:19:48 AM
297.570000,0.518516,0.000005,0.005524,87.560000,30260,56.058226,0.047259,07-Feb-19 11:19:49 AM
297.570000,0.518516,0.000005,0.005523,87.560000,30260,56.048788,0.047259,07-Feb-19 11:19:49 AM
297.570000,0.518516,0.000007,0.005524,87.560000,30260,56.058226,0.066162,07-Feb-19 11:19:50 AM
297.570000,0.518516,0.000007,0.005524,87.560000,30260,56.058226,0.075614,07-Feb-19 11:19:51 AM
297.580000,0.518516,0.000009,0.005526,87.560000,30260,56.077205,0.094517,07-Feb-19 11:19:51 AM
297.580000,0.518516,0.000009,0.005526,87.560000,30260,56.077205,0.094517,07-Feb-19 11:19:52 AM
297.580000,0.518516,0.000007,0.005526,87.560000,30260,56.077205,0.066162,07-Feb-19 11:19:53 AM
297.590000,0.518516,0.000005,0.005525,87.560000,30260,56.067665,0.047259,07-Feb-19 11:19:54 AM
297.590000,0.518516,0.000005,0.005525,87.560000,30260,56.067665,0.047259,07-Feb-19 11:19:54 AM
297.590000,0.518516,0.000005,0.005526,87.560000,30260,56.077205,0.047259,07-Feb-19 11:19:55 AM
297.590000,0.518516,0.000006,0.005527,87.560000,30260,56.086643,0.056710,07-Feb-19 11:19:56 AM
297.590000,0.518516,0.000007,0.005527,87.560000,30260,56.096081,0.066162,07-Feb-19 11:19:56 AM
297.590000,0.518516,0.000007,0.005526,87.560000,30260,56.077205,0.075614,07-Feb-19 11:19:57 AM
297.590000,0.518516,0.000008,0.005525,87.560000,30260,56.067665,0.085066,07-Feb-19 11:19:58 AM
297.580000,0.518516,0.000008,0.005524,87.560000,30260,56.058226,0.085066,07-Feb-19 11:19:58 AM
297.590000,0.518516,0.000008,0.005524,87.560000,30260,56.058226,0.085066,07-Feb-19 11:19:59 AM
297.590000,0.518516,0.000008,0.005524,87.560000,30260,56.058226,0.085066,07-Feb-19 11:20:00 AM
297.590000,0.518516,0.000008,0.005524,87.560000,30260,56.058226,0.085066,07-Feb-19 11:20:00 AM
297.590000,0.518516,0.000008,0.005524,87.560000,30260,56.058226,0.085066,07-Feb-19 11:20:01 AM
297.590000,0.518516,0.000007,0.005524,87.560000,30260,56.058226,0.066162,07-Feb-19 11:20:02 AM
297.590000,0.518516,0.000007,0.005524,87.560000,30260,56.058226,0.066162,07-Feb-19 11:20:03 AM
297.580000,0.518516,0.000007,0.005525,87.560000,30260,56.067665,0.066162,07-Feb-19 11:20:03 AM
297.580000,0.518516,0.000007,0.005527,87.560000,30260,56.096081,0.075614,07-Feb-19 11:20:04 AM
297.580000,0.518516,0.000007,0.005526,87.560000,30260,56.077205,0.075614,07-Feb-19 11:20:05 AM
297.580000,0.518516,0.000009,0.005524,87.560000,30260,56.058226,0.094517,07-Feb-19 11:20:05 AM
297.580000,0.518516,0.000011,0.005522,87.560000,30260,56.039350,0.113421,07-Feb-19 11:20:06 AM
297.570000,0.518516,0.000010,0.005521,87.560000,30260,56.029912,0.103969,07-Feb-19 11:20:07 AM
297.570000,0.518516,0.000010,0.005522,87.560000,30260,56.039350,0.103969,07-Feb-19 11:20:07 AM
297.570000,0.518516,0.000011,0.005523,87.560000,30260,56.048788,0.113421,07-Feb-19 11:20:08 AM
297.570000,0.518516,0.000011,0.005523,87.560000,30260,56.048788,0.113421,07-Feb-19 11:20:09 AM
297.570000,0.518516,0.000011,0.005524,87.560000,30260,56.058226,0.113421,07-Feb-19 11:20:10 AM
297.560000,0.518516,0.000011,0.005524,87.560000,30260,56.058226,0.113421,07-Feb-19 11:20:10 AM
297.560000,0.518516,0.000011,0.005525,87.560000,30260,56.067665,0.113421,07-Feb-19 11:20:11 AM
297.560000,0.518516,0.000011,0.005525,87.560000,30260,56.067665,0.113421,07-Feb-19 11:20:12 AM
297.560000,0.518516,0.000008,0.005524,87.560000,30260,56.058226,0.085066,07-Feb-19 11:20:12 AM
