Temp (K),Current mA,Im Voltage mV,Re Voltage mV,phase 9,Freq in Hz,Re M in nH,Im M in nH,Date/time
3.591000,0.517562,0.000000,0.000286,87.310000,30260,2.907037,0.000000,07-Feb-19 5:33:32 PM
3.578000,0.517562,-0.000002,0.000286,87.310000,30260,2.907037,-0.018938,07-Feb-19 5:33:32 PM
3.586000,0.517562,-0.000002,0.000286,87.310000,30260,2.907037,-0.018938,07-Feb-19 5:33:33 PM
3.525000,0.517562,-0.000002,0.000287,87.310000,30260,2.916503,-0.018938,07-Feb-19 5:33:34 PM
3.537000,0.517562,-0.000002,0.000288,87.310000,30260,2.925969,-0.018938,07-Feb-19 5:33:34 PM
3.522000,0.517562,-0.000003,0.000287,87.310000,30260,2.916503,-0.028407,07-Feb-19 5:33:35 PM
3.482000,0.517562,-0.000003,0.000287,87.310000,30260,2.916503,-0.028407,07-Feb-19 5:33:36 PM
3.498000,0.517562,-0.000003,0.000286,87.310000,30260,2.907037,-0.028407,07-Feb-19 5:33:36 PM
3.458000,0.517562,-0.000003,0.000286,87.310000,30260,2.907037,-0.028407,07-Feb-19 5:33:37 PM
3.446000,0.517562,-0.000002,0.000286,87.310000,30260,2.907037,-0.018938,07-Feb-19 5:33:37 PM
3.458000,0.517562,-0.000002,0.000284,87.310000,30260,2.888095,-0.018938,07-Feb-19 5:33:38 PM
3.400000,0.517562,-0.000001,0.000283,87.310000,30260,2.878629,-0.009469,07-Feb-19 5:33:39 PM
3.413000,0.517562,0.000000,0.000284,87.310000,30260,2.888095,0.000000,07-Feb-19 5:33:39 PM
3.404000,0.517562,0.000000,0.000283,87.310000,30260,2.878629,0.000000,07-Feb-19 5:33:40 PM
3.381000,0.517562,-0.000002,0.000285,87.310000,30260,2.897571,-0.018938,07-Feb-19 5:33:41 PM
3.391000,0.517562,-0.000004,0.000285,87.310000,30260,2.897571,-0.037877,07-Feb-19 5:33:41 PM
3.373000,0.517562,-0.000003,0.000284,87.310000,30260,2.888095,-0.028407,07-Feb-19 5:33:42 PM
3.367000,0.517562,-0.000003,0.000283,87.310000,30260,2.878629,-0.028407,07-Feb-19 5:33:42 PM
3.375000,0.517562,-0.000001,0.000282,87.310000,30260,2.869163,-0.009469,07-Feb-19 5:33:43 PM
3.347000,0.517562,0.000000,0.000283,87.310000,30260,2.878629,0.000000,07-Feb-19 5:33:44 PM
3.354000,0.517562,-0.000001,0.000282,87.310000,30260,2.869163,-0.009469,07-Feb-19 5:33:44 PM
3.351000,0.517562,-0.000002,0.000283,87.310000,30260,2.878629,-0.018938,07-Feb-19 5:33:45 PM
3.330000,0.517562,-0.000003,0.000283,87.310000,30260,2.878629,-0.028407,07-Feb-19 5:33:46 PM
3.342000,0.517562,-0.000003,0.000281,87.310000,30260,2.859687,-0.028407,07-Feb-19 5:33:46 PM
3.325000,0.517562,-0.000002,0.000280,87.310000,30260,2.850222,-0.018938,07-Feb-19 5:33:47 PM
3.319000,0.517562,-0.000001,0.000279,87.310000,30260,2.840756,-0.009469,07-Feb-19 5:33:47 PM
3.328000,0.517562,-0.000003,0.000281,87.310000,30260,2.859687,-0.028407,07-Feb-19 5:33:48 PM
3.301000,0.517562,-0.000003,0.000281,87.310000,30260,2.859687,-0.028407,07-Feb-19 5:33:49 PM
3.308000,0.517562,-0.000003,0.000282,87.310000,30260,2.869163,-0.028407,07-Feb-19 5:33:49 PM
3.307000,0.517562,-0.000004,0.000283,87.310000,30260,2.878629,-0.037877,07-Feb-19 5:33:50 PM
3.287000,0.517562,-0.000003,0.000283,87.310000,30260,2.878629,-0.028407,07-Feb-19 5:33:51 PM
3.299000,0.517562,-0.000003,0.000284,87.310000,30260,2.888095,-0.028407,07-Feb-19 5:33:51 PM
3.284000,0.517562,-0.000001,0.000285,87.310000,30260,2.897571,-0.009469,07-Feb-19 5:33:52 PM
3.277000,0.517562,0.000000,0.000286,87.310000,30260,2.907037,0.000000,07-Feb-19 5:33:52 PM
3.289000,0.517562,0.000000,0.000284,87.310000,30260,2.888095,0.000000,07-Feb-19 5:33:53 PM
3.261000,0.517562,0.000002,0.000283,87.310000,30260,2.878629,0.018938,07-Feb-19 5:33:54 PM
3.269000,0.517562,0.000002,0.000283,87.310000,30260,2.878629,0.018938,07-Feb-19 5:33:54 PM
3.269000,0.517562,0.000001,0.000284,87.310000,30260,2.888095,0.009469,07-Feb-19 5:33:55 PM
3.249000,0.517562,0.000000,0.000286,87.310000,30260,2.907037,0.000000,07-Feb-19 5:33:56 PM
3.262000,0.517562,0.000000,0.000286,87.310000,30260,2.907037,0.000000,07-Feb-19 5:33:56 PM
3.247000,0.517562,-0.000002,0.000284,87.310000,30260,2.888095,-0.018938,07-Feb-19 5:33:57 PM
3.241000,0.517562,-0.000002,0.000284,87.310000,30260,2.888095,-0.018938,07-Feb-19 5:33:57 PM
3.254000,0.517562,-0.000003,0.000285,87.310000,30260,2.897571,-0.028407,07-Feb-19 5:33:58 PM
3.227000,0.517562,-0.000003,0.000283,87.310000,30260,2.878629,-0.028407,07-Feb-19 5:33:59 PM
3.236000,0.517562,-0.000003,0.000283,87.310000,30260,2.878629,-0.028407,07-Feb-19 5:33:59 PM
3.237000,0.517562,-0.000001,0.000283,87.310000,30260,2.878629,-0.009469,07-Feb-19 5:34:00 PM
3.217000,0.517562,0.000000,0.000282,87.310000,30260,2.869163,0.000000,07-Feb-19 5:34:01 PM
3.231000,0.517562,0.000001,0.000282,87.310000,30260,2.869163,0.009469,07-Feb-19 5:34:01 PM
3.218000,0.517562,0.000000,0.000281,87.310000,30260,2.859687,0.000000,07-Feb-19 5:34:02 PM
3.212000,0.517562,-0.000001,0.000281,87.310000,30260,2.859687,-0.009469,07-Feb-19 5:34:02 PM
3.225000,0.517562,-0.000003,0.000282,87.310000,30260,2.869163,-0.028407,07-Feb-19 5:34:03 PM
3.199000,0.517562,-0.000002,0.000282,87.310000,30260,2.869163,-0.018938,07-Feb-19 5:34:04 PM
3.208000,0.517562,-0.000001,0.000281,87.310000,30260,2.859687,-0.009469,07-Feb-19 5:34:04 PM
3.211000,0.517562,-0.000001,0.000283,87.310000,30260,2.878629,-0.009469,07-Feb-19 5:34:05 PM
3.181000,0.517562,-0.000002,0.000283,87.310000,30260,2.878629,-0.018938,07-Feb-19 5:34:06 PM
3.205000,0.517562,-0.000001,0.000283,87.310000,30260,2.878629,-0.009469,07-Feb-19 5:34:06 PM
3.187000,0.517562,0.000000,0.000284,87.310000,30260,2.888095,0.000000,07-Feb-19 5:34:07 PM
3.174000,0.517562,0.000000,0.000285,87.310000,30260,2.897571,0.000000,07-Feb-19 5:34:07 PM
3.202000,0.517562,0.000000,0.000285,87.310000,30260,2.897571,0.000000,07-Feb-19 5:34:08 PM
3.153000,0.517562,0.000002,0.000284,87.310000,30260,2.888095,0.018938,07-Feb-19 5:34:09 PM
3.171000,0.517562,0.000002,0.000285,87.310000,30260,2.897571,0.018938,07-Feb-19 5:34:09 PM
3.179000,0.517562,0.000000,0.000286,87.310000,30260,2.907037,0.000000,07-Feb-19 5:34:10 PM
3.137000,0.517562,-0.000001,0.000283,87.310000,30260,2.878629,-0.009469,07-Feb-19 5:34:11 PM
3.168000,0.517562,-0.000001,0.000282,87.310000,30260,2.869163,-0.009469,07-Feb-19 5:34:11 PM
3.147000,0.517562,0.000000,0.000281,87.310000,30260,2.859687,0.000000,07-Feb-19 5:34:12 PM
3.133000,0.517562,0.000000,0.000280,87.310000,30260,2.850222,0.000000,07-Feb-19 5:34:12 PM
3.166000,0.517562,-0.000001,0.000280,87.310000,30260,2.850222,-0.009469,07-Feb-19 5:34:13 PM
3.116000,0.517562,0.000000,0.000281,87.310000,30260,2.859687,0.000000,07-Feb-19 5:34:14 PM
3.133000,0.517562,0.000000,0.000280,87.310000,30260,2.850222,0.000000,07-Feb-19 5:34:14 PM
3.142000,0.517562,0.000000,0.000281,87.310000,30260,2.859687,0.000000,07-Feb-19 5:34:15 PM
3.100000,0.517562,0.000001,0.000279,87.310000,30260,2.840756,0.009469,07-Feb-19 5:34:16 PM
3.133000,0.517562,0.000001,0.000278,87.310000,30260,2.831280,0.009469,07-Feb-19 5:34:16 PM
3.113000,0.517562,0.000002,0.000279,87.310000,30260,2.840756,0.018938,07-Feb-19 5:34:17 PM
3.099000,0.517562,0.000002,0.000281,87.310000,30260,2.859687,0.018938,07-Feb-19 5:34:17 PM
3.133000,0.517562,0.000003,0.000283,87.310000,30260,2.878629,0.028407,07-Feb-19 5:34:18 PM
3.084000,0.517562,0.000002,0.000282,87.310000,30260,2.869163,0.018938,07-Feb-19 5:34:19 PM
3.101000,0.517562,0.000000,0.000281,87.310000,30260,2.859687,0.000000,07-Feb-19 5:34:19 PM
3.112000,0.517562,0.000000,0.000281,87.310000,30260,2.859687,0.000000,07-Feb-19 5:34:20 PM
3.070000,0.517562,0.000000,0.000281,87.310000,30260,2.859687,0.000000,07-Feb-19 5:34:21 PM
3.103000,0.517562,-0.000002,0.000281,87.310000,30260,2.859687,-0.018938,07-Feb-19 5:34:21 PM
3.085000,0.517562,-0.000002,0.000281,87.310000,30260,2.859687,-0.018938,07-Feb-19 5:34:22 PM
3.071000,0.517562,0.000000,0.000282,87.310000,30260,2.869163,0.000000,07-Feb-19 5:34:22 PM
3.106000,0.517562,-0.000001,0.000282,87.310000,30260,2.869163,-0.009469,07-Feb-19 5:34:23 PM
3.057000,0.517562,-0.000001,0.000283,87.310000,30260,2.878629,-0.009469,07-Feb-19 5:34:24 PM
3.074000,0.517562,0.000000,0.000283,87.310000,30260,2.878629,0.000000,07-Feb-19 5:34:24 PM
3.086000,0.517562,0.000000,0.000283,87.310000,30260,2.878629,0.000000,07-Feb-19 5:34:25 PM
3.044000,0.517562,-0.000001,0.000284,87.310000,30260,2.888095,-0.009469,07-Feb-19 5:34:26 PM
3.077000,0.517562,-0.000003,0.000284,87.310000,30260,2.888095,-0.028407,07-Feb-19 5:34:26 PM
3.060000,0.517562,-0.000004,0.000283,87.310000,30260,2.878629,-0.037877,07-Feb-19 5:34:27 PM
3.046000,0.517562,-0.000004,0.000282,87.310000,30260,2.869163,-0.037877,07-Feb-19 5:34:27 PM
3.081000,0.517562,-0.000003,0.000279,87.310000,30260,2.840756,-0.028407,07-Feb-19 5:34:28 PM
3.034000,0.517562,-0.000001,0.000278,87.310000,30260,2.831280,-0.009469,07-Feb-19 5:34:29 PM
3.050000,0.517562,0.000000,0.000277,87.310000,30260,2.812348,0.000000,07-Feb-19 5:34:29 PM
3.064000,0.517562,0.000001,0.000278,87.310000,30260,2.821814,0.009469,07-Feb-19 5:34:30 PM
3.022000,0.517562,0.000002,0.000278,87.310000,30260,2.831280,0.018938,07-Feb-19 5:34:31 PM
3.056000,0.517562,0.000002,0.000278,87.310000,30260,2.831280,0.018938,07-Feb-19 5:34:31 PM
3.041000,0.517562,0.000000,0.000278,87.310000,30260,2.831280,0.000000,07-Feb-19 5:34:32 PM
3.026000,0.517562,0.000000,0.000279,87.310000,30260,2.840756,0.000000,07-Feb-19 5:34:32 PM
3.062000,0.517562,0.000000,0.000280,87.310000,30260,2.850222,0.000000,07-Feb-19 5:34:33 PM
3.015000,0.517562,0.000000,0.000278,87.310000,30260,2.831280,0.000000,07-Feb-19 5:34:34 PM
3.032000,0.517562,0.000000,0.000278,87.310000,30260,2.831280,0.000000,07-Feb-19 5:34:34 PM
3.047000,0.517562,0.000000,0.000281,87.310000,30260,2.859687,0.000000,07-Feb-19 5:34:35 PM
3.005000,0.517562,0.000000,0.000283,87.310000,30260,2.878629,0.000000,07-Feb-19 5:34:36 PM
3.039000,0.517562,0.000000,0.000283,87.310000,30260,2.878629,0.000000,07-Feb-19 5:34:36 PM
3.024000,0.517562,0.000000,0.000282,87.310000,30260,2.869163,0.000000,07-Feb-19 5:34:37 PM
3.010000,0.517562,-0.000001,0.000281,87.310000,30260,2.859687,-0.009469,07-Feb-19 5:34:37 PM
3.046000,0.517562,-0.000001,0.000281,87.310000,30260,2.859687,-0.009469,07-Feb-19 5:34:38 PM
3.000000,0.517562,-0.000002,0.000281,87.310000,30260,2.859687,-0.018938,07-Feb-19 5:34:39 PM
3.017000,0.517562,-0.000003,0.000281,87.310000,30260,2.859687,-0.028407,07-Feb-19 5:34:39 PM
3.033000,0.517562,-0.000004,0.000281,87.310000,30260,2.859687,-0.037877,07-Feb-19 5:34:40 PM
2.995000,0.517562,-0.000003,0.000281,87.310000,30260,2.859687,-0.028407,07-Feb-19 5:34:41 PM
3.025000,0.517562,-0.000004,0.000281,87.310000,30260,2.859687,-0.037877,07-Feb-19 5:34:41 PM
3.011000,0.517562,-0.000002,0.000282,87.310000,30260,2.869163,-0.018938,07-Feb-19 5:34:42 PM
2.998000,0.517562,-0.000002,0.000281,87.310000,30260,2.859687,-0.018938,07-Feb-19 5:34:42 PM
3.034000,0.517562,0.000000,0.000281,87.310000,30260,2.859687,0.000000,07-Feb-19 5:34:43 PM
2.994000,0.517562,-0.000002,0.000281,87.310000,30260,2.859687,-0.018938,07-Feb-19 5:34:44 PM
3.006000,0.517562,-0.000004,0.000282,87.310000,30260,2.869163,-0.037877,07-Feb-19 5:34:44 PM
3.022000,0.517562,-0.000003,0.000283,87.310000,30260,2.878629,-0.028407,07-Feb-19 5:34:45 PM
2.990000,0.517562,-0.000003,0.000283,87.310000,30260,2.878629,-0.028407,07-Feb-19 5:34:46 PM
3.016000,0.517562,-0.000003,0.000282,87.310000,30260,2.869163,-0.028407,07-Feb-19 5:34:46 PM
3.002000,0.517562,-0.000001,0.000282,87.310000,30260,2.869163,-0.009469,07-Feb-19 5:34:47 PM
2.993000,0.517562,0.000000,0.000283,87.310000,30260,2.878629,0.000000,07-Feb-19 5:34:47 PM
3.025000,0.517562,0.000002,0.000284,87.310000,30260,2.888095,0.018938,07-Feb-19 5:34:48 PM
2.990000,0.517562,0.000004,0.000286,87.310000,30260,2.907037,0.037877,07-Feb-19 5:34:49 PM
2.998000,0.517562,0.000003,0.000286,87.310000,30260,2.907037,0.028407,07-Feb-19 5:34:49 PM
3.014000,0.517562,0.000002,0.000284,87.310000,30260,2.888095,0.018938,07-Feb-19 5:34:50 PM
2.985000,0.517562,0.000002,0.000283,87.310000,30260,2.878629,0.018938,07-Feb-19 5:34:51 PM
3.007000,0.517562,0.000002,0.000283,87.310000,30260,2.878629,0.018938,07-Feb-19 5:34:51 PM
2.997000,0.517562,0.000002,0.000283,87.310000,30260,2.878629,0.018938,07-Feb-19 5:34:52 PM
2.990000,0.517562,0.000002,0.000282,87.310000,30260,2.869163,0.018938,07-Feb-19 5:34:52 PM
3.018000,0.517562,0.000002,0.000282,87.310000,30260,2.869163,0.018938,07-Feb-19 5:34:53 PM
2.986000,0.517562,0.000000,0.000283,87.310000,30260,2.878629,0.000000,07-Feb-19 5:34:54 PM
2.995000,0.517562,0.000000,0.000282,87.310000,30260,2.869163,0.000000,07-Feb-19 5:34:54 PM
3.007000,0.517562,0.000000,0.000282,87.310000,30260,2.869163,0.000000,07-Feb-19 5:34:55 PM
2.982000,0.517562,0.000000,0.000281,87.310000,30260,2.859687,0.000000,07-Feb-19 5:34:56 PM
3.001000,0.517562,-0.000001,0.000280,87.310000,30260,2.850222,-0.009469,07-Feb-19 5:34:56 PM
2.994000,0.517562,-0.000001,0.000281,87.310000,30260,2.859687,-0.009469,07-Feb-19 5:34:57 PM
2.987000,0.517562,-0.000002,0.000283,87.310000,30260,2.878629,-0.018938,07-Feb-19 5:34:57 PM
3.012000,0.517562,-0.000003,0.000283,87.310000,30260,2.878629,-0.028407,07-Feb-19 5:34:58 PM
2.983000,0.517562,-0.000003,0.000283,87.310000,30260,2.878629,-0.028407,07-Feb-19 5:34:59 PM
2.992000,0.517562,-0.000003,0.000282,87.310000,30260,2.869163,-0.028407,07-Feb-19 5:34:59 PM
3.002000,0.517562,-0.000002,0.000282,87.310000,30260,2.869163,-0.018938,07-Feb-19 5:35:00 PM
2.980000,0.517562,-0.000002,0.000282,87.310000,30260,2.869163,-0.018938,07-Feb-19 5:35:01 PM
2.998000,0.517562,-0.000002,0.000281,87.310000,30260,2.859687,-0.018938,07-Feb-19 5:35:01 PM
2.991000,0.517562,-0.000002,0.000281,87.310000,30260,2.859687,-0.018938,07-Feb-19 5:35:02 PM
2.985000,0.517562,-0.000003,0.000283,87.310000,30260,2.878629,-0.028407,07-Feb-19 5:35:02 PM
3.008000,0.517562,-0.000003,0.000283,87.310000,30260,2.878629,-0.028407,07-Feb-19 5:35:03 PM
2.981000,0.517562,-0.000004,0.000283,87.310000,30260,2.878629,-0.037877,07-Feb-19 5:35:04 PM
2.991000,0.517562,-0.000002,0.000282,87.310000,30260,2.869163,-0.018938,07-Feb-19 5:35:04 PM
2.999000,0.517562,-0.000003,0.000283,87.310000,30260,2.878629,-0.028407,07-Feb-19 5:35:05 PM
2.978000,0.517562,-0.000001,0.000285,87.310000,30260,2.897571,-0.009469,07-Feb-19 5:35:06 PM
2.997000,0.517562,-0.000002,0.000283,87.310000,30260,2.878629,-0.018938,07-Feb-19 5:35:06 PM
2.990000,0.517562,-0.000003,0.000281,87.310000,30260,2.859687,-0.028407,07-Feb-19 5:35:07 PM
2.983000,0.517562,-0.000003,0.000280,87.310000,30260,2.850222,-0.028407,07-Feb-19 5:35:07 PM
3.006000,0.517562,-0.000003,0.000279,87.310000,30260,2.840756,-0.028407,07-Feb-19 5:35:08 PM
2.980000,0.517562,-0.000003,0.000280,87.310000,30260,2.850222,-0.028407,07-Feb-19 5:35:09 PM
2.990000,0.517562,-0.000002,0.000281,87.310000,30260,2.859687,-0.018938,07-Feb-19 5:35:09 PM
2.998000,0.517562,0.000000,0.000280,87.310000,30260,2.850222,0.000000,07-Feb-19 5:35:10 PM
2.977000,0.517562,0.000000,0.000281,87.310000,30260,2.859687,0.000000,07-Feb-19 5:35:11 PM
2.996000,0.517562,-0.000001,0.000281,87.310000,30260,2.859687,-0.009469,07-Feb-19 5:35:11 PM
2.989000,0.517562,-0.000003,0.000281,87.310000,30260,2.859687,-0.028407,07-Feb-19 5:35:12 PM
2.983000,0.517562,-0.000003,0.000282,87.310000,30260,2.869163,-0.028407,07-Feb-19 5:35:12 PM
3.004000,0.517562,0.000000,0.000283,87.310000,30260,2.878629,0.000000,07-Feb-19 5:35:13 PM
2.979000,0.517562,0.000000,0.000282,87.310000,30260,2.869163,0.000000,07-Feb-19 5:35:14 PM
2.989000,0.517562,-0.000003,0.000280,87.310000,30260,2.850222,-0.028407,07-Feb-19 5:35:14 PM
2.998000,0.517562,-0.000003,0.000282,87.310000,30260,2.869163,-0.028407,07-Feb-19 5:35:15 PM
2.977000,0.517562,-0.000002,0.000283,87.310000,30260,2.878629,-0.018938,07-Feb-19 5:35:16 PM
2.996000,0.517562,-0.000002,0.000283,87.310000,30260,2.878629,-0.018938,07-Feb-19 5:35:16 PM
2.989000,0.517562,-0.000002,0.000282,87.310000,30260,2.869163,-0.018938,07-Feb-19 5:35:17 PM
2.983000,0.517562,0.000000,0.000282,87.310000,30260,2.869163,0.000000,07-Feb-19 5:35:17 PM
3.005000,0.517562,0.000002,0.000281,87.310000,30260,2.859687,0.018938,07-Feb-19 5:35:18 PM
2.980000,0.517562,0.000003,0.000280,87.310000,30260,2.850222,0.028407,07-Feb-19 5:35:19 PM
2.990000,0.517562,0.000002,0.000281,87.310000,30260,2.859687,0.018938,07-Feb-19 5:35:19 PM
2.998000,0.517562,0.000000,0.000281,87.310000,30260,2.859687,0.000000,07-Feb-19 5:35:20 PM
2.978000,0.517562,0.000000,0.000281,87.310000,30260,2.859687,0.000000,07-Feb-19 5:35:21 PM
2.997000,0.517562,-0.000001,0.000282,87.310000,30260,2.869163,-0.009469,07-Feb-19 5:35:21 PM
2.990000,0.517467,-0.000003,0.000283,87.310000,30260,2.879158,-0.028413,07-Feb-19 5:35:22 PM
2.984000,0.517467,-0.000005,0.000281,87.310000,30260,2.860212,-0.047355,07-Feb-19 5:35:22 PM
3.008000,0.517467,-0.000004,0.000279,87.310000,30260,2.841277,-0.037884,07-Feb-19 5:35:23 PM
2.981000,0.517467,-0.000003,0.000279,87.310000,30260,2.841277,-0.028413,07-Feb-19 5:35:24 PM
2.991000,0.517467,-0.000003,0.000280,87.310000,30260,2.850745,-0.028413,07-Feb-19 5:35:24 PM
3.000000,0.517467,-0.000003,0.000280,87.310000,30260,2.850745,-0.028413,07-Feb-19 5:35:25 PM
2.979000,0.517467,-0.000003,0.000280,87.310000,30260,2.850745,-0.028413,07-Feb-19 5:35:26 PM
2.999000,0.517467,-0.000003,0.000280,87.310000,30260,2.850745,-0.028413,07-Feb-19 5:35:26 PM
2.992000,0.517467,-0.000003,0.000280,87.310000,30260,2.850745,-0.028413,07-Feb-19 5:35:27 PM
2.986000,0.517467,-0.000004,0.000280,87.310000,30260,2.850745,-0.037884,07-Feb-19 5:35:27 PM
3.011000,0.517467,-0.000004,0.000280,87.310000,30260,2.850745,-0.037884,07-Feb-19 5:35:28 PM
2.983000,0.517467,-0.000004,0.000281,87.310000,30260,2.860212,-0.037884,07-Feb-19 5:35:29 PM
2.993000,0.517467,-0.000003,0.000282,87.310000,30260,2.869690,-0.028413,07-Feb-19 5:35:29 PM
3.003000,0.517467,-0.000003,0.000281,87.310000,30260,2.860212,-0.028413,07-Feb-19 5:35:30 PM
2.981000,0.517467,-0.000004,0.000280,87.310000,30260,2.850745,-0.037884,07-Feb-19 5:35:31 PM
3.000000,0.517467,-0.000003,0.000279,87.310000,30260,2.841277,-0.028413,07-Feb-19 5:35:31 PM
2.993000,0.517562,-0.000003,0.000281,87.310000,30260,2.859687,-0.028407,07-Feb-19 5:35:32 PM
2.987000,0.517467,-0.000003,0.000281,87.310000,30260,2.860212,-0.028413,07-Feb-19 5:35:32 PM
3.014000,0.517562,-0.000003,0.000282,87.310000,30260,2.869163,-0.028407,07-Feb-19 5:35:33 PM
2.985000,0.517562,-0.000002,0.000282,87.310000,30260,2.869163,-0.018938,07-Feb-19 5:35:34 PM
2.995000,0.517467,0.000000,0.000283,87.310000,30260,2.879158,0.000000,07-Feb-19 5:35:34 PM
3.007000,0.517562,0.000000,0.000283,87.310000,30260,2.878629,0.000000,07-Feb-19 5:35:35 PM
2.983000,0.517562,0.000000,0.000283,87.310000,30260,2.878629,0.000000,07-Feb-19 5:35:36 PM
3.005000,0.517467,0.000002,0.000284,87.310000,30260,2.888625,0.018942,07-Feb-19 5:35:36 PM
2.996000,0.517467,0.000001,0.000286,87.310000,30260,2.907571,0.009471,07-Feb-19 5:35:37 PM
2.990000,0.517467,0.000002,0.000287,87.310000,30260,2.917038,0.018942,07-Feb-19 5:35:37 PM
3.020000,0.517467,0.000002,0.000288,87.310000,30260,2.926506,0.018942,07-Feb-19 5:35:38 PM
2.987000,0.517562,0.000002,0.000288,87.310000,30260,2.925969,0.018938,07-Feb-19 5:35:39 PM
2.998000,0.517467,0.000002,0.000286,87.310000,30260,2.907571,0.018942,07-Feb-19 5:35:39 PM
3.013000,0.517562,0.000000,0.000285,87.310000,30260,2.897571,0.000000,07-Feb-19 5:35:40 PM
2.986000,0.517562,0.000000,0.000282,87.310000,30260,2.869163,0.000000,07-Feb-19 5:35:41 PM
3.011000,0.517562,0.000000,0.000280,87.310000,30260,2.850222,0.000000,07-Feb-19 5:35:41 PM
2.993000,0.517467,0.000000,0.000278,87.310000,30260,2.831800,0.000000,07-Feb-19 5:35:42 PM
3.003000,0.517467,0.000000,0.000278,87.310000,30260,2.831800,0.000000,07-Feb-19 5:35:42 PM
3.018000,0.517467,0.000000,0.000278,87.310000,30260,2.831800,0.000000,07-Feb-19 5:35:43 PM
2.987000,0.517467,-0.000002,0.000278,87.310000,30260,2.831800,-0.018942,07-Feb-19 5:35:44 PM
3.016000,0.517562,-0.000003,0.000278,87.310000,30260,2.831280,-0.028407,07-Feb-19 5:35:44 PM
3.002000,0.517562,-0.000001,0.000278,87.310000,30260,2.831280,-0.009469,07-Feb-19 5:35:45 PM
2.996000,0.517467,-0.000002,0.000279,87.310000,30260,2.841277,-0.018942,07-Feb-19 5:35:46 PM
3.029000,0.517467,-0.000002,0.000278,87.310000,30260,2.831800,-0.018942,07-Feb-19 5:35:46 PM
2.993000,0.517467,0.000000,0.000278,87.310000,30260,2.822332,0.000000,07-Feb-19 5:35:47 PM
3.007000,0.517467,0.000001,0.000278,87.310000,30260,2.831800,0.009471,07-Feb-19 5:35:47 PM
3.024000,0.517562,0.000001,0.000278,87.310000,30260,2.831280,0.009469,07-Feb-19 5:35:48 PM
2.990000,0.517562,0.000001,0.000278,87.310000,30260,2.831280,0.009469,07-Feb-19 5:35:49 PM
3.023000,0.517562,0.000001,0.000279,87.310000,30260,2.840756,0.009469,07-Feb-19 5:35:49 PM
3.010000,0.517562,0.000000,0.000280,87.310000,30260,2.850222,0.000000,07-Feb-19 5:35:50 PM
2.999000,0.517562,-0.000001,0.000280,87.310000,30260,2.850222,-0.009469,07-Feb-19 5:35:51 PM
3.036000,0.517562,-0.000001,0.000280,87.310000,30260,2.850222,-0.009469,07-Feb-19 5:35:51 PM
2.997000,0.517562,-0.000001,0.000281,87.310000,30260,2.859687,-0.009469,07-Feb-19 5:35:52 PM
3.014000,0.517562,-0.000001,0.000281,87.310000,30260,2.859687,-0.009469,07-Feb-19 5:35:52 PM
3.032000,0.517562,-0.000002,0.000281,87.310000,30260,2.859687,-0.018938,07-Feb-19 5:35:53 PM
2.994000,0.517562,-0.000003,0.000282,87.310000,30260,2.869163,-0.028407,07-Feb-19 5:35:54 PM
3.031000,0.517467,-0.000003,0.000281,87.310000,30260,2.860212,-0.028413,07-Feb-19 5:35:54 PM
3.017000,0.517467,-0.000003,0.000281,87.310000,30260,2.860212,-0.028413,07-Feb-19 5:35:55 PM
3.006000,0.517467,-0.000002,0.000281,87.310000,30260,2.860212,-0.018942,07-Feb-19 5:35:56 PM
3.043000,0.517562,-0.000003,0.000283,87.310000,30260,2.878629,-0.028407,07-Feb-19 5:35:56 PM
