TempA(K)	TempB(K)	Current(A)	Voltage(V)	R(ohm)
295.800000	297.240000	0.000010	0.000132	13.210698
295.800000	297.240000	0.000010	0.000132	13.223358
295.800000	297.240000	0.000010	0.000134	13.358246
TempA(K)	TempB(K)	Current(A)	Voltage(V)	R(ohm)
295.800000	297.230000	0.000010	0.000132	13.219116
295.800000	297.230000	0.000010	0.000132	13.206474
295.800000	297.230000	0.000010	0.000132	13.244412
295.800000	297.230000	0.000010	0.000132	13.198059
TempA(K)	TempB(K)	Current(A)	Voltage(V)	R(ohm)
295.800000	297.230000	0.000010	0.000133	13.320283
295.800000	297.230000	0.000010	0.000133	13.261273
295.800000	297.230000	0.000010	0.000133	13.252850
295.800000	297.230000	0.000010	0.000133	13.311853
295.790000	297.230000	0.000010	0.000133	13.252857
295.790000	297.230000	0.000010	0.000132	13.214906
295.790000	297.220000	0.000010	0.000132	13.198033
295.790000	297.230000	0.000010	0.000132	13.227556
295.790000	297.230000	0.000010	0.000132	13.244402
295.790000	297.230000	0.000010	0.000133	13.265474
295.790000	297.230000	0.000010	0.000133	13.265476
295.800000	297.230000	0.000010	0.000133	13.252820
295.800000	297.230000	0.000010	0.000132	13.244400
295.800000	297.230000	0.000010	0.000133	13.265454
295.790000	297.230000	0.000010	0.000132	13.240195
295.800000	297.230000	0.000010	0.000133	13.273921
295.790000	297.230000	0.000010	0.000132	13.202250
295.800000	297.230000	0.000010	0.000133	13.257037
295.800000	297.230000	0.000010	0.000132	13.248619
295.790000	297.230000	0.000010	0.000132	13.244392
295.790000	297.230000	0.000010	0.000132	13.235966
295.790000	297.220000	0.000010	0.000132	13.223314
295.790000	297.220000	0.000010	0.000132	13.240167
295.800000	297.220000	0.000010	0.000133	13.282348
295.790000	297.230000	0.000010	0.000133	13.290767
295.790000	297.220000	0.000010	0.000132	13.155876
295.800000	297.220000	0.000010	0.000132	13.244393
295.790000	297.230000	0.000010	0.000132	13.181154
295.790000	297.220000	0.000010	0.000132	13.240188
295.790000	297.220000	0.000010	0.000132	13.181163
295.790000	297.220000	0.000010	0.000132	13.223314
295.790000	297.220000	0.000010	0.000132	13.189597
295.790000	297.220000	0.000010	0.000132	13.206461
295.790000	297.220000	0.000010	0.000132	13.235951
295.790000	297.230000	0.000010	0.000132	13.248603
295.790000	297.220000	0.000010	0.000132	13.235964
295.790000	297.220000	0.000010	0.000132	13.185374
295.790000	297.220000	0.000010	0.000132	13.189598
295.790000	297.220000	0.000010	0.000133	13.273896
295.780000	297.230000	0.000010	0.000132	13.244389
295.790000	297.220000	0.000010	0.000132	13.223312
295.790000	297.220000	0.000010	0.000132	13.198024
295.790000	297.220000	0.000010	0.000132	13.219105
295.790000	297.220000	0.000010	0.000132	13.160063
295.790000	297.220000	0.000010	0.000132	13.219091
295.790000	297.220000	0.000010	0.000132	13.214884
295.800000	297.220000	0.000010	0.000132	13.214883
295.790000	297.220000	0.000010	0.000132	13.202241
295.790000	297.220000	0.000010	0.000133	13.265460
295.790000	297.220000	0.000010	0.000132	13.223305
295.790000	297.220000	0.000010	0.000132	13.219094
295.790000	297.220000	0.000010	0.000132	13.235950
295.790000	297.220000	0.000010	0.000133	13.299190
295.780000	297.220000	0.000010	0.000132	13.151635
295.790000	297.230000	0.000010	0.000132	13.185377
295.790000	297.220000	0.000010	0.000132	13.202232
295.790000	297.220000	0.000010	0.000133	13.303400
295.790000	297.220000	0.000010	0.000132	13.198015
295.790000	297.220000	0.000010	0.000132	13.189574
295.790000	297.220000	0.000010	0.000133	13.316043
295.790000	297.220000	0.000010	0.000132	13.235943
295.790000	297.220000	0.000010	0.000132	13.223297
295.790000	297.220000	0.000010	0.000132	13.231740
295.790000	297.220000	0.000010	0.000133	13.261238
295.800000	297.220000	0.000010	0.000133	13.252807
295.790000	297.220000	0.000010	0.000132	13.223302
295.790000	297.220000	0.000010	0.000132	13.193809
295.790000	297.220000	0.000010	0.000133	13.282315
295.790000	297.220000	0.000010	0.000132	13.227523
295.790000	297.220000	0.000010	0.000132	13.206427
295.790000	297.220000	0.000010	0.000133	13.257010
295.790000	297.220000	0.000010	0.000133	13.261251
295.790000	297.220000	0.000010	0.000132	13.193793
295.790000	297.220000	0.000010	0.000131	13.147431
295.790000	297.220000	0.000010	0.000132	13.193783
295.790000	297.220000	0.000010	0.000133	13.332903
295.780000	297.220000	0.000010	0.000132	13.240155
295.790000	297.220000	0.000010	0.000132	13.210642
295.790000	297.220000	0.000010	0.000132	13.223290
295.790000	297.210000	0.000010	0.000133	13.261243
295.790000	297.210000	0.000010	0.000133	13.265449
295.780000	297.220000	0.000010	0.000132	13.181135
295.780000	297.220000	0.000010	0.000132	13.227507
295.790000	297.220000	0.000010	0.000132	13.214867
295.790000	297.220000	0.000010	0.000132	13.231703
295.790000	297.220000	0.000010	0.000132	13.248586
295.790000	297.210000	0.000010	0.000133	13.252809
295.790000	297.210000	0.000010	0.000132	13.235949
295.790000	297.210000	0.000010	0.000132	13.248587
295.790000	297.220000	0.000010	0.000131	13.134765
295.780000	297.220000	0.000010	0.000132	13.202208
295.790000	297.210000	0.000010	0.000132	13.210650
295.780000	297.220000	0.000010	0.000132	13.231729
295.780000	297.220000	0.000010	0.000132	13.240154
295.780000	297.220000	0.000010	0.000133	13.303382
295.790000	297.220000	0.000010	0.000132	13.210648
295.790000	297.210000	0.000010	0.000132	13.206425
295.780000	297.210000	0.000010	0.000133	13.282313
295.780000	297.210000	0.000010	0.000132	13.202218
295.780000	297.220000	0.000010	0.000132	13.219081
295.780000	297.220000	0.000010	0.000132	13.219072
295.780000	297.210000	0.000010	0.000132	13.198006
295.780000	297.210000	0.000010	0.000132	13.223295
295.790000	297.210000	0.000010	0.000133	13.261232
295.780000	297.210000	0.000010	0.000133	13.261234
295.780000	297.220000	0.000010	0.000133	13.252804
295.780000	297.220000	0.000010	0.000132	13.210649
295.780000	297.210000	0.000010	0.000132	13.172711
295.780000	297.210000	0.000010	0.000133	13.282308
295.780000	297.210000	0.000010	0.000132	13.219070
295.780000	297.220000	0.000010	0.000132	13.189563
295.780000	297.210000	0.000010	0.000132	13.227501
295.780000	297.220000	0.000010	0.000132	13.206420
295.790000	297.220000	0.000010	0.000132	13.244362
295.780000	297.210000	0.000010	0.000132	13.189566
295.780000	297.210000	0.000010	0.000132	13.176910
295.780000	297.210000	0.000010	0.000132	13.181133
295.780000	297.210000	0.000010	0.000132	13.219067
295.780000	297.210000	0.000010	0.000132	13.248587
295.780000	297.210000	0.000010	0.000132	13.197990
295.780000	297.210000	0.000010	0.000132	13.202208
295.780000	297.210000	0.000010	0.000132	13.223278
295.780000	297.210000	0.000010	0.000132	13.197993
295.770000	297.210000	0.000010	0.000132	13.223278
295.780000	297.220000	0.000010	0.000132	13.197990
295.780000	297.210000	0.000010	0.000131	13.105256
295.780000	297.210000	0.000010	0.000131	13.088383
295.780000	297.220000	0.000010	0.000132	13.155825
295.780000	297.210000	0.000010	0.000132	13.193764
295.790000	297.210000	0.000010	0.000132	13.202198
295.780000	297.210000	0.000010	0.000132	13.206413
295.780000	297.210000	0.000010	0.000132	13.231706
295.780000	297.210000	0.000010	0.000133	13.269640
295.780000	297.210000	0.000010	0.000133	13.341320
295.780000	297.210000	0.000010	0.000132	13.189551
295.780000	297.210000	0.000010	0.000132	13.202205
295.790000	297.210000	0.000010	0.000132	13.248568
295.780000	297.210000	0.000010	0.000132	13.214848
295.780000	297.210000	0.000010	0.000132	13.189548
295.780000	297.210000	0.000010	0.000133	13.257003
295.780000	297.210000	0.000010	0.000133	13.269647
295.780000	297.210000	0.000010	0.000133	13.261207
295.780000	297.200000	0.000010	0.000132	13.248568
295.790000	297.210000	0.000010	0.000133	13.256998
295.780000	297.210000	0.000010	0.000132	13.231713
295.780000	297.210000	0.000010	0.000132	13.214854
295.780000	297.210000	0.000010	0.000132	13.189555
295.780000	297.210000	0.000010	0.000133	13.256999
295.780000	297.210000	0.000010	0.000132	13.235923
295.780000	297.210000	0.000010	0.000132	13.214836
295.790000	297.210000	0.000010	0.000132	13.160042
295.790000	297.210000	0.000010	0.000132	13.189542
295.780000	297.210000	0.000010	0.000132	13.189561
295.780000	297.210000	0.000010	0.000132	13.164264
295.780000	297.210000	0.000010	0.000132	13.151627
295.770000	297.210000	0.000010	0.000132	13.210628
295.770000	297.210000	0.000010	0.000132	13.206416
295.770000	297.200000	0.000010	0.000132	13.210627
295.780000	297.200000	0.000010	0.000132	13.193766
295.780000	297.200000	0.000010	0.000132	13.168484
295.780000	297.200000	0.000010	0.000132	13.223286
295.780000	297.210000	0.000010	0.000132	13.235920
295.780000	297.210000	0.000010	0.000132	13.210626
295.780000	297.210000	0.000010	0.000133	13.286505
295.780000	297.200000	0.000010	0.000132	13.231697
295.780000	297.210000	0.000010	0.000132	13.219060
295.770000	297.210000	0.000010	0.000132	13.219065
295.770000	297.200000	0.000010	0.000132	13.244357
295.780000	297.200000	0.000010	0.000132	13.240137
295.780000	297.210000	0.000010	0.000132	13.235909
295.770000	297.210000	0.000010	0.000132	13.185328
295.770000	297.200000	0.000010	0.000132	13.219057
295.770000	297.200000	0.000010	0.000132	13.202192
295.770000	297.200000	0.000010	0.000132	13.181120
295.770000	297.200000	0.000010	0.000132	13.231699
295.780000	297.200000	0.000010	0.000132	13.244351
295.770000	297.200000	0.000010	0.000132	13.189545
295.770000	297.200000	0.000010	0.000133	13.261208
295.780000	297.200000	0.000010	0.000132	13.227489
295.780000	297.210000	0.000010	0.000132	13.223267
295.770000	297.200000	0.000010	0.000132	13.181119
295.770000	297.200000	0.000010	0.000132	13.214840
295.770000	297.200000	0.000010	0.000132	13.202201
295.770000	297.210000	0.000010	0.000132	13.206402
295.770000	297.210000	0.000010	0.000132	13.206412
295.770000	297.200000	0.000010	0.000132	13.214840
295.770000	297.200000	0.000010	0.000132	13.227473
295.770000	297.200000	0.000010	0.000133	13.252769
295.780000	297.200000	0.000010	0.000132	13.231702
295.780000	297.200000	0.000010	0.000132	13.189544
295.770000	297.200000	0.000010	0.000133	13.286493
295.770000	297.200000	0.000010	0.000132	13.189537
295.780000	297.200000	0.000010	0.000132	13.231693
295.770000	297.200000	0.000010	0.000132	13.219036
295.770000	297.200000	0.000010	0.000133	13.269635
295.780000	297.200000	0.000010	0.000132	13.206411
295.770000	297.210000	0.000010	0.000132	13.227486
295.770000	297.200000	0.000010	0.000132	13.197991
295.770000	297.200000	0.000010	0.000132	13.168462
295.780000	297.200000	0.000010	0.000132	13.223275
295.770000	297.200000	0.000010	0.000132	13.214842
295.770000	297.200000	0.000010	0.000132	13.214814
295.770000	297.200000	0.000010	0.000132	13.235891
295.770000	297.210000	0.000010	0.000132	13.185333
295.770000	297.210000	0.000010	0.000132	13.176889
