TempA(K)	TempB(K)	Current(A)	Voltage(V)	R(ohm)
4.596000	3.788000	0.000010	-0.000001	-0.059014
4.908000	4.053000	0.000010	-0.000001	-0.063223
5.120000	4.227000	0.000010	-0.000001	-0.088516
5.303000	4.390000	0.000010	-0.000001	-0.080083
5.473000	4.556000	0.000010	-0.000001	-0.092726
5.605000	4.791000	0.000010	-0.000001	-0.139092
5.774000	4.936000	0.000010	-0.000001	-0.101159
5.915000	5.084000	0.000010	-0.000001	-0.113809
6.028000	5.221000	0.000010	-0.000002	-0.151741
6.119000	5.342000	0.000010	-0.000001	-0.063220
6.198000	5.454000	0.000010	-0.000001	-0.109591
6.289000	5.531000	0.000010	-0.000001	-0.059014
6.361000	5.581000	0.000010	-0.000001	-0.071651
6.443000	5.626000	0.000010	-0.000001	-0.063218
6.533000	5.695000	0.000010	-0.000001	-0.075867
6.619000	5.780000	0.000010	-0.000001	-0.084301
6.703000	5.872000	0.000010	-0.000001	-0.067442
6.782000	5.968000	0.000010	-0.000001	-0.054798
6.855000	6.062000	0.000010	-0.000001	-0.088512
6.920000	6.158000	0.000010	-0.000001	-0.067449
6.977000	6.247000	0.000010	-0.000000	-0.037926
7.041000	6.317000	0.000010	-0.000001	-0.088517
7.089000	6.375000	0.000010	-0.000001	-0.080087
7.136000	6.399000	0.000010	-0.000001	-0.122238
7.187000	6.403000	0.000010	-0.000000	-0.029510
7.243000	6.419000	0.000010	-0.000001	-0.084286
7.299000	6.475000	0.000010	-0.000001	-0.080088
7.356000	6.527000	0.000010	-0.000001	-0.113812
7.414000	6.604000	0.000010	-0.000001	-0.109592
7.483000	6.682000	0.000010	-0.000000	-0.042146
7.544000	6.759000	0.000010	-0.000001	-0.109595
7.608000	6.811000	0.000010	-0.000001	-0.080086
7.660000	6.890000	0.000010	-0.000001	-0.105382
7.706000	6.954000	0.000010	-0.000001	-0.067447
7.748000	6.983000	0.000010	-0.000002	-0.160180
7.791000	6.981000	0.000010	-0.000001	-0.063230
7.842000	7.028000	0.000010	-0.000001	-0.054788
7.898000	7.008000	0.000010	-0.000000	-0.042157
7.953000	7.017000	0.000010	-0.000001	-0.084297
8.010000	7.066000	0.000010	-0.000001	-0.109586
8.063000	7.133000	0.000010	-0.000001	-0.096951
8.114000	7.175000	0.000010	-0.000001	-0.096945
8.161000	7.247000	0.000010	-0.000001	-0.092725
8.205000	7.320000	0.000010	-0.000001	-0.105381
8.242000	7.389000	0.000010	-0.000001	-0.071662
8.275000	7.437000	0.000010	-0.000001	-0.134884
8.319000	7.475000	0.000010	-0.000001	-0.063219
8.350000	7.487000	0.000010	-0.000001	-0.109588
8.384000	7.466000	0.000010	-0.000001	-0.122236
8.425000	7.440000	0.000010	-0.000001	-0.101163
8.471000	7.452000	0.000010	-0.000001	-0.130666
8.517000	7.488000	0.000010	-0.000002	-0.185462
8.560000	7.543000	0.000010	-0.000001	-0.059010
8.603000	7.618000	0.000010	-0.000001	-0.063225
8.643000	7.691000	0.000010	-0.000001	-0.126452
8.680000	7.765000	0.000010	-0.000002	-0.172813
8.711000	7.805000	0.000010	-0.000001	-0.071648
8.752000	7.870000	0.000010	-0.000002	-0.160174
8.781000	7.911000	0.000010	-0.000001	-0.096946
8.813000	7.913000	0.000010	-0.000001	-0.096951
8.855000	7.884000	0.000010	-0.000001	-0.059007
8.904000	7.925000	0.000010	-0.000001	-0.080090
8.954000	7.901000	0.000010	-0.000001	-0.113810
9.006000	7.923000	0.000010	-0.000001	-0.122240
9.058000	7.993000	0.000010	-0.000001	-0.059007
9.107000	8.074000	0.000010	-0.000001	-0.096952
9.150000	8.113000	0.000010	-0.000001	-0.059012
9.197000	8.190000	0.000010	-0.000001	-0.071654
9.237000	8.265000	0.000010	-0.000000	-0.046360
9.272000	8.327000	0.000010	-0.000001	-0.109590
9.305000	8.358000	0.000010	-0.000001	-0.105374
9.340000	8.399000	0.000010	-0.000001	-0.071664
9.385000	8.390000	0.000010	-0.000001	-0.113809
9.426000	8.356000	0.000010	-0.000001	-0.130666
9.473000	8.340000	0.000010	-0.000001	-0.088520
9.522000	8.375000	0.000010	-0.000000	-0.016861
9.570000	8.453000	0.000010	-0.000001	-0.122236
9.615000	8.496000	0.000010	-0.000001	-0.105379
9.659000	8.581000	0.000010	-0.000000	-0.042146
9.698000	8.657000	0.000010	-0.000001	-0.075872
9.733000	8.730000	0.000010	-0.000001	-0.092733
9.764000	8.786000	0.000010	-0.000001	-0.088522
9.805000	8.827000	0.000010	-0.000001	-0.101152
9.835000	8.850000	0.000010	-0.000001	-0.109599
9.868000	8.831000	0.000010	-0.000001	-0.063223
9.906000	8.794000	0.000010	-0.000001	-0.109588
9.948000	8.785000	0.000010	-0.000001	-0.092735
9.992000	8.825000	0.000010	-0.000001	-0.096945
10.032000	8.874000	0.000010	-0.000001	-0.071651
10.073000	8.956000	0.000010	-0.000000	-0.042162
10.110000	9.037000	0.000010	-0.000001	-0.067437
10.144000	9.110000	0.000010	-0.000000	-0.042152
10.183000	9.150000	0.000010	-0.000001	-0.122237
10.213000	9.217000	0.000010	-0.000001	-0.063216
10.240000	9.264000	0.000010	-0.000000	-0.021074
10.267000	9.272000	0.000010	-0.000001	-0.059005
10.297000	9.241000	0.000010	-0.000001	-0.101161
10.332000	9.277000	0.000010	-0.000001	-0.075862
10.369000	9.241000	0.000010	-0.000001	-0.063220
10.408000	9.246000	0.000010	-0.000001	-0.071664
10.447000	9.307000	0.000010	0.000000	0.004215
10.484000	9.392000	0.000010	-0.000001	-0.071654
10.520000	9.431000	0.000010	-0.000001	-0.113814
10.554000	9.511000	0.000010	-0.000001	-0.088522
10.583000	9.579000	0.000010	-0.000001	-0.050584
10.612000	9.643000	0.000010	-0.000001	-0.075867
10.640000	9.684000	0.000010	-0.000001	-0.059006
10.678000	9.723000	0.000010	-0.000001	-0.130663
10.706000	9.723000	0.000010	-0.000001	-0.071653
10.738000	9.688000	0.000010	-0.000001	-0.101162
10.774000	9.654000	0.000010	-0.000001	-0.130669
10.812000	9.665000	0.000010	0.000000	0.000008
10.848000	9.702000	0.000010	-0.000001	-0.134886
10.882000	9.767000	0.000010	-0.000001	-0.071650
10.914000	9.847000	0.000010	-0.000001	-0.139101
10.944000	9.917000	0.000010	-0.000001	-0.101158
10.971000	9.979000	0.000010	-0.000001	-0.067440
10.995000	10.013000	0.000010	-0.000000	-0.046356
11.028000	10.066000	0.000010	-0.000001	-0.105379
11.052000	10.094000	0.000010	-0.000001	-0.063224
11.077000	10.085000	0.000010	-0.000001	-0.096942
11.105000	10.045000	0.000010	-0.000001	-0.075872
11.137000	10.076000	0.000010	0.000000	0.004216
11.168000	10.045000	0.000010	-0.000001	-0.122244
11.201000	10.067000	0.000010	-0.000001	-0.071658
11.231000	10.138000	0.000010	0.000000	0.000003
11.258000	10.214000	0.000010	-0.000000	-0.021065
11.285000	10.245000	0.000010	-0.000001	-0.118032
11.313000	10.306000	0.000010	-0.000001	-0.063228
11.336000	10.365000	0.000010	-0.000001	-0.092733
11.357000	10.411000	0.000010	0.000000	0.008437
11.379000	10.430000	0.000010	-0.000001	-0.059015
11.401000	10.413000	0.000010	-0.000001	-0.109585
11.429000	10.439000	0.000010	-0.000001	-0.063217
11.455000	10.398000	0.000010	-0.000000	-0.042150
11.484000	10.376000	0.000010	-0.000001	-0.134887
11.513000	10.407000	0.000010	-0.000001	-0.088519
11.540000	10.478000	0.000010	-0.000001	-0.139101
11.567000	10.508000	0.000010	-0.000001	-0.084300
11.592000	10.581000	0.000010	-0.000001	-0.088517
11.618000	10.640000	0.000010	-0.000001	-0.054795
11.646000	10.697000	0.000010	-0.000001	-0.075872
11.671000	10.735000	0.000010	-0.000002	-0.181245
11.694000	10.762000	0.000010	-0.000001	-0.101156
11.725000	10.774000	0.000010	-0.000001	-0.126447
11.752000	10.749000	0.000010	-0.000000	-0.016853
11.784000	10.709000	0.000010	-0.000001	-0.096938
11.817000	10.695000	0.000010	-0.000001	-0.059000
11.847000	10.723000	0.000010	-0.000001	-0.092741
11.879000	10.765000	0.000010	-0.000000	-0.029507
11.909000	10.833000	0.000010	-0.000001	-0.101163
11.936000	10.894000	0.000010	-0.000001	-0.118032
11.961000	10.948000	0.000010	-0.000001	-0.063227
11.991000	10.977000	0.000010	-0.000000	-0.025286
12.014000	11.029000	0.000010	-0.000000	-0.016859
12.037000	11.066000	0.000010	-0.000001	-0.059009
12.061000	11.074000	0.000010	-0.000001	-0.071660
12.087000	11.041000	0.000010	-0.000001	-0.059009
12.115000	11.066000	0.000010	-0.000001	-0.096947
12.144000	11.027000	0.000010	-0.000001	-0.071662
12.175000	11.030000	0.000010	-0.000000	-0.012635
12.206000	11.085000	0.000010	-0.000001	-0.080082
12.234000	11.155000	0.000010	-0.000001	-0.109592
12.265000	11.189000	0.000010	-0.000001	-0.092728
12.292000	11.250000	0.000010	-0.000001	-0.050581
12.318000	11.307000	0.000010	-0.000000	-0.008423
12.343000	11.358000	0.000010	-0.000001	-0.080095
12.367000	11.393000	0.000010	-0.000000	-0.016854
