TempA(K)	Current(A)	Voltage(V)	R(ohm)
3.024000	1.000000E-4	-3.371450E-7	-0.003371
3.894000	1.000000E-4	-9.273200E-7	-0.009273
4.419000	1.000000E-4	-9.273500E-7	-0.009273
4.763000	1.000000E-4	-1.685700E-7	-0.001686
4.928000	1.000000E-4	-4.636550E-7	-0.004637
5.106000	1.000000E-4	-4.214700E-7	-0.004215
5.255000	1.000000E-4	3.000000E-11	0.000000
5.410000	1.000000E-4	-1.685900E-7	-0.001686
5.539000	1.000000E-4	-6.322500E-7	-0.006323
5.674000	1.000000E-4	-5.479700E-7	-0.005480
5.790000	1.000000E-4	-8.425500E-8	-0.000843
5.896000	1.000000E-4	-9.272350E-7	-0.009272
5.994000	1.000000E-4	1.686500E-7	0.001686
6.089000	1.000000E-4	-4.214000E-8	-0.000421
6.173000	1.000000E-4	-4.215750E-7	-0.004216
6.253000	1.000000E-4	-6.323000E-7	-0.006323
6.329000	1.000000E-4	-4.215400E-7	-0.004215
6.402000	1.000000E-4	-9.273550E-7	-0.009274
6.484000	1.000000E-4	-8.008150E-7	-0.008008
6.561000	1.000000E-4	-4.636450E-7	-0.004636
6.636000	1.000000E-4	-5.057350E-7	-0.005057
6.714000	1.000000E-4	-1.180175E-6	-0.011802
6.780000	1.000000E-4	-2.950300E-7	-0.002950
6.845000	1.000000E-4	-8.009000E-7	-0.008009
6.906000	1.000000E-4	-2.528900E-7	-0.002529
6.965000	1.000000E-4	1.264750E-7	0.001265
7.021000	1.000000E-4	-2.950500E-7	-0.002950
7.076000	1.000000E-4	3.793750E-7	0.003794
7.129000	1.000000E-4	4.220500E-8	0.000422
7.192000	1.000000E-4	-2.950250E-7	-0.002950
7.242000	1.000000E-4	-3.372250E-7	-0.003372
7.290000	1.000000E-4	-7.587000E-7	-0.007587
7.337000	1.000000E-4	-1.306695E-6	-0.013067
7.382000	1.000000E-4	-7.586700E-7	-0.007587
7.435000	1.000000E-4	-6.743900E-7	-0.006744
7.493000	1.000000E-4	-7.165600E-7	-0.007166
7.550000	1.000000E-4	-5.478450E-7	-0.005478
7.620000	1.000000E-4	-7.586750E-7	-0.007587
7.673000	1.000000E-4	-8.008600E-7	-0.008009
7.724000	1.000000E-4	-2.950050E-7	-0.002950
7.773000	1.000000E-4	-4.636250E-7	-0.004636
7.822000	1.000000E-4	-1.348845E-6	-0.013488
7.870000	1.000000E-4	-3.793200E-7	-0.003793
7.917000	1.000000E-4	-3.793400E-7	-0.003793
7.964000	1.000000E-4	-6.322150E-7	-0.006322
8.023000	1.000000E-4	-8.851900E-7	-0.008852
8.067000	1.000000E-4	-9.273350E-7	-0.009273
8.109000	1.000000E-4	-1.180220E-6	-0.011802
8.150000	1.000000E-4	-9.694700E-7	-0.009695
8.191000	1.000000E-4	-7.587350E-7	-0.007587
8.231000	1.000000E-4	-1.180170E-6	-0.011802
8.271000	1.000000E-4	-8.008750E-7	-0.008009
8.311000	1.000000E-4	-7.587200E-7	-0.007587
8.358000	1.000000E-4	-3.371700E-7	-0.003372
8.397000	1.000000E-4	-4.207000E-8	-0.000421
8.435000	1.000000E-4	-5.901200E-7	-0.005901
8.471000	1.000000E-4	-5.057650E-7	-0.005058
8.508000	1.000000E-4	-8.007900E-7	-0.008008
8.535000	1.000000E-4	-8.430400E-7	-0.008430
8.572000	1.000000E-4	-5.479550E-7	-0.005480
8.609000	1.000000E-4	-8.430100E-7	-0.008430
8.654000	1.000000E-4	-6.744300E-7	-0.006744
8.690000	1.000000E-4	-1.686000E-7	-0.001686
8.726000	1.000000E-4	-2.106850E-7	-0.002107
8.762000	1.000000E-4	-5.901100E-7	-0.005901
8.797000	1.000000E-4	-5.900950E-7	-0.005901
8.839000	1.000000E-4	-1.180175E-6	-0.011802
8.882000	1.000000E-4	-7.165000E-7	-0.007165
8.924000	1.000000E-4	-4.215400E-7	-0.004215
8.973000	1.000000E-4	-8.429450E-7	-0.008429
9.016000	1.000000E-4	-8.009050E-7	-0.008009
9.058000	1.000000E-4	-4.635200E-7	-0.004635
9.099000	1.000000E-4	-2.949450E-7	-0.002949
9.141000	1.000000E-4	-2.949950E-7	-0.002950
9.182000	1.000000E-4	8.433500E-8	0.000843
9.224000	1.000000E-4	-1.095935E-6	-0.010959
9.263000	1.000000E-4	-1.095840E-6	-0.010958
9.306000	1.000000E-4	-1.348815E-6	-0.013488
9.345000	1.000000E-4	-7.164350E-7	-0.007164
9.386000	1.000000E-4	-9.695050E-7	-0.009695
9.426000	1.000000E-4	-1.011495E-6	-0.010115
9.466000	1.000000E-4	-8.413000E-8	-0.000841
9.505000	1.000000E-4	-1.011565E-6	-0.010116
9.544000	1.000000E-4	-8.852350E-7	-0.008852
9.582000	1.000000E-4	-7.587650E-7	-0.007588
9.620000	1.000000E-4	-6.322300E-7	-0.006322
9.658000	1.000000E-4	-8.430300E-7	-0.008430
9.695000	1.000000E-4	-1.053825E-6	-0.010538
9.730000	1.000000E-4	-4.636000E-7	-0.004636
9.764000	1.000000E-4	-1.686200E-7	-0.001686
9.798000	1.000000E-4	-1.180175E-6	-0.011802
9.832000	1.000000E-4	-6.322150E-7	-0.006322
9.865000	1.000000E-4	-1.180205E-6	-0.011802
9.897000	1.000000E-4	-6.743800E-7	-0.006744
9.932000	1.000000E-4	-1.306560E-6	-0.013066
9.966000	1.000000E-4	-4.500000E-11	-0.000000
10.000000	1.000000E-4	-5.479450E-7	-0.005479
10.033000	1.000000E-4	-3.793600E-7	-0.003794
10.066000	1.000000E-4	-9.273050E-7	-0.009273
10.099000	1.000000E-4	-6.322700E-7	-0.006323
10.132000	1.000000E-4	-6.322600E-7	-0.006323
10.161000	1.000000E-4	-3.371700E-7	-0.003372
10.194000	1.000000E-4	-3.793200E-7	-0.003793
10.228000	1.000000E-4	-4.636300E-7	-0.004636
10.261000	1.000000E-4	-1.517455E-6	-0.015175
10.294000	1.000000E-4	-1.265200E-7	-0.001265
10.326000	1.000000E-4	-1.011545E-6	-0.010115
10.358000	1.000000E-4	-8.008000E-7	-0.008008
10.391000	1.000000E-4	-5.479500E-7	-0.005479
10.421000	1.000000E-4	-5.900500E-7	-0.005900
10.454000	1.000000E-4	-2.950250E-7	-0.002950
10.485000	1.000000E-4	-4.637400E-7	-0.004637
10.516000	1.000000E-4	-5.057550E-7	-0.005058
10.547000	1.000000E-4	-8.424000E-8	-0.000842
10.578000	1.000000E-4	-1.348825E-6	-0.013488
10.609000	1.000000E-4	-6.743250E-7	-0.006743
10.640000	1.000000E-4	-5.480450E-7	-0.005480
10.672000	1.000000E-4	-6.743950E-7	-0.006744
10.702000	1.000000E-4	-6.322250E-7	-0.006322
10.732000	1.000000E-4	-2.950650E-7	-0.002951
10.759000	1.000000E-4	-2.107350E-7	-0.002107
10.787000	1.000000E-4	3.793950E-7	0.003794
10.815000	1.000000E-4	-1.138045E-6	-0.011380
10.842000	1.000000E-4	-5.057900E-7	-0.005058
10.867000	1.000000E-4	-1.138075E-6	-0.011381
10.898000	1.000000E-4	-7.165050E-7	-0.007165
10.923000	1.000000E-4	-4.211500E-8	-0.000421
10.948000	1.000000E-4	-7.587300E-7	-0.007587
10.973000	1.000000E-4	-6.322800E-7	-0.006323
10.998000	1.000000E-4	-7.587200E-7	-0.007587
11.022000	1.000000E-4	-4.635300E-7	-0.004635
11.047000	1.000000E-4	-8.008500E-7	-0.008009
11.071000	1.000000E-4	-5.900200E-7	-0.005900
11.101000	1.000000E-4	-8.851200E-7	-0.008851
11.124000	1.000000E-4	-4.215550E-7	-0.004216
11.146000	1.000000E-4	-1.180255E-6	-0.011803
11.168000	1.000000E-4	-6.322450E-7	-0.006322
11.189000	1.000000E-4	-8.430500E-7	-0.008431
11.209000	1.000000E-4	-1.264300E-7	-0.001264
11.230000	1.000000E-4	-2.950700E-7	-0.002951
11.250000	1.000000E-4	-5.478850E-7	-0.005479
11.278000	1.000000E-4	-5.479350E-7	-0.005479
11.299000	1.000000E-4	-1.011615E-6	-0.010116
11.320000	1.000000E-4	-4.636550E-7	-0.004637
11.341000	1.000000E-4	-2.107650E-7	-0.002108
11.362000	1.000000E-4	-8.429050E-7	-0.008429
11.382000	1.000000E-4	-6.744100E-7	-0.006744
11.402000	1.000000E-4	-5.479400E-7	-0.005479
11.422000	1.000000E-4	-1.390950E-6	-0.013909
11.447000	1.000000E-4	-5.901150E-7	-0.005901
11.467000	1.000000E-4	-2.950000E-7	-0.002950
11.486000	1.000000E-4	-5.479650E-7	-0.005480
11.506000	1.000000E-4	3.500000E-11	0.000000
11.525000	1.000000E-4	-1.264570E-6	-0.012646
11.544000	1.000000E-4	-9.694200E-7	-0.009694
11.563000	1.000000E-4	-1.011555E-6	-0.010116
11.581000	1.000000E-4	-5.901450E-7	-0.005901
11.604000	1.000000E-4	-1.264605E-6	-0.012646
11.628000	1.000000E-4	-4.637450E-7	-0.004637
11.650000	1.000000E-4	-8.008900E-7	-0.008009
11.673000	1.000000E-4	-1.180210E-6	-0.011802
11.695000	1.000000E-4	-3.792050E-7	-0.003792
11.718000	1.000000E-4	-6.744200E-7	-0.006744
11.741000	1.000000E-4	-2.529050E-7	-0.002529
11.763000	1.000000E-4	-6.321500E-7	-0.006322
11.788000	1.000000E-4	-6.744250E-7	-0.006744
11.810000	1.000000E-4	-9.694250E-7	-0.009694
11.833000	1.000000E-4	-8.430000E-7	-0.008430
11.855000	1.000000E-4	-1.306820E-6	-0.013068
11.876000	1.000000E-4	-2.108350E-7	-0.002108
11.896000	1.000000E-4	-8.422000E-8	-0.000842
11.916000	1.000000E-4	-1.011540E-6	-0.010115
11.936000	1.000000E-4	-8.851750E-7	-0.008852
11.956000	1.000000E-4	-9.694750E-7	-0.009695
11.975000	1.000000E-4	-6.744150E-7	-0.006744
11.996000	1.000000E-4	-1.263950E-7	-0.001264
12.018000	1.000000E-4	-3.371950E-7	-0.003372
12.041000	1.000000E-4	-2.950550E-7	-0.002951
12.064000	1.000000E-4	1.265100E-7	0.001265
12.087000	1.000000E-4	-1.686350E-7	-0.001686
12.112000	1.000000E-4	-3.370750E-7	-0.003371
12.137000	1.000000E-4	-1.222430E-6	-0.012224
12.164000	1.000000E-4	-7.165300E-7	-0.007165
12.193000	1.000000E-4	-8.426000E-8	-0.000843
12.223000	1.000000E-4	5.900950E-7	0.005901
12.256000	1.000000E-4	1.981040E-6	0.019810
12.290000	1.000000E-4	8.050730E-6	0.080507
12.324000	1.000000E-4	1.896756E-5	0.189676
12.359000	1.000000E-4	3.721852E-5	0.372185
12.394000	1.000000E-4	6.305657E-5	0.630566
12.430000	1.000000E-4	9.327818E-5	0.932782
12.467000	1.000000E-4	1.225725E-4	1.225725
12.504000	1.000000E-4	1.549861E-4	1.549861
12.541000	1.000000E-4	1.901396E-4	1.901396
12.578000	1.000000E-4	2.585499E-4	2.585498
12.615000	1.000000E-4	4.584270E-4	4.584269
12.651000	1.000000E-4	8.134177E-4	8.134177
12.689000	1.000000E-4	1.211738E-3	12.117380
12.724000	1.000000E-4	1.573683E-3	15.736835
12.760000	1.000000E-4	1.871770E-3	18.717705
12.795000	1.000000E-4	2.090656E-3	20.906565
12.829000	1.000000E-4	2.207331E-3	22.073305
12.863000	1.000000E-4	2.248679E-3	22.486790
12.897000	1.000000E-4	2.266004E-3	22.660040
12.933000	1.000000E-4	2.276627E-3	22.766270
12.970000	1.000000E-4	2.283581E-3	22.835805
13.003000	1.000000E-4	2.288852E-3	22.888520
13.034000	1.000000E-4	2.293572E-3	22.935715
13.066000	1.000000E-4	2.297237E-3	22.972370
13.096000	1.000000E-4	2.298669E-3	22.986690
13.126000	1.000000E-4	2.301790E-3	23.017895
13.155000	1.000000E-4	2.303643E-3	23.036435
13.183000	1.000000E-4	2.306468E-3	23.064675
13.215000	1.000000E-4	2.308998E-3	23.089980
13.242000	1.000000E-4	2.310639E-3	23.106390
13.270000	1.000000E-4	2.312622E-3	23.126220
13.297000	1.000000E-4	2.314097E-3	23.140970
13.324000	1.000000E-4	2.315406E-3	23.154055
13.351000	1.000000E-4	2.316962E-3	23.169620
13.378000	1.000000E-4	2.317975E-3	23.179745
13.404000	1.000000E-4	2.319534E-3	23.195335
13.435000	1.000000E-4	2.321430E-3	23.214300
13.459000	1.000000E-4	2.322063E-3	23.220635
13.484000	1.000000E-4	2.322948E-3	23.229485
13.509000	1.000000E-4	2.324128E-3	23.241280
13.532000	1.000000E-4	2.324889E-3	23.248885
13.554000	1.000000E-4	2.325900E-3	23.259000
13.575000	1.000000E-4	2.327290E-3	23.272895
13.594000	1.000000E-4	2.327923E-3	23.279225
13.617000	1.000000E-4	2.328638E-3	23.286385
13.636000	1.000000E-4	2.329313E-3	23.293130
13.653000	1.000000E-4	2.330115E-3	23.301155
13.669000	1.000000E-4	2.331337E-3	23.313370
13.685000	1.000000E-4	2.330789E-3	23.307890
13.699000	1.000000E-4	2.331927E-3	23.319270
13.714000	1.000000E-4	2.332982E-3	23.329820
13.728000	1.000000E-4	2.333403E-3	23.334030
13.746000	1.000000E-4	2.333993E-3	23.339930
13.759000	1.000000E-4	2.334542E-3	23.345415
13.772000	1.000000E-4	2.335299E-3	23.352990
13.785000	1.000000E-4	2.334921E-3	23.349205
13.798000	1.000000E-4	2.335553E-3	23.355530
13.810000	1.000000E-4	2.336397E-3	23.363970
13.822000	1.000000E-4	2.336227E-3	23.362265
13.834000	1.000000E-4	2.337702E-3	23.377020
13.848000	1.000000E-4	2.338336E-3	23.383360
13.859000	1.000000E-4	2.338084E-3	23.380835
13.870000	1.000000E-4	2.337999E-3	23.379990
13.881000	1.000000E-4	2.339137E-3	23.391370
13.892000	1.000000E-4	2.338505E-3	23.385050
13.902000	1.000000E-4	2.338843E-3	23.388425
13.912000	1.000000E-4	2.340021E-3	23.400205
13.922000	1.000000E-4	2.339853E-3	23.398530
13.933000	1.000000E-4	2.340106E-3	23.401060
13.943000	1.000000E-4	2.340738E-3	23.407385
13.952000	1.000000E-4	2.341119E-3	23.411185
13.961000	1.000000E-4	2.341582E-3	23.415815
13.970000	1.000000E-4	2.341626E-3	23.416255
13.978000	1.000000E-4	2.341581E-3	23.415815
13.985000	1.000000E-4	2.342300E-3	23.423000
13.993000	1.000000E-4	2.341330E-3	23.413300
14.001000	1.000000E-4	2.342764E-3	23.427635
