Temp (K),Current mA,Im Voltage mV,Re Voltage mV,phase 9,Freq in Hz,Re M in nH,Im M in nH,Date/time
297.830000,0.508311,-0.000058,0.005399,88.260000,30260,55.891789,-0.597772,14-Feb-19 9:17:37 AM
297.820000,0.508311,-0.000058,0.005398,88.260000,30260,55.882058,-0.597772,14-Feb-19 9:17:38 AM
Temp (K),Current mA,Im Voltage mV,Re Voltage mV,phase 9,Freq in Hz,Re M in nH,Im M in nH,Date/time
297.850000,0.521949,0.005541,-0.000058,-0.000000,88,-201.795532,19209.332675,14-Feb-19 9:28:26 AM
297.850000,0.521949,0.005542,30260100.000000,-0.000000,88,104905914291401.891000,19214.186204,14-Feb-19 9:28:26 AM
297.850000,0.521949,0.005543,30260100.000000,-0.000000,88,104905914291401.891000,19215.815603,14-Feb-19 9:28:27 AM
297.850000,0.521949,0.005543,30260100.000000,-0.000000,88,104905914291401.891000,19215.815603,14-Feb-19 9:28:27 AM
297.850000,0.521949,0.005543,30260100.000000,-0.000000,88,104905914291401.891000,19215.815603,14-Feb-19 9:28:28 AM
297.850000,0.521949,0.005544,30260700.000000,-0.000000,88,104907994375359.812000,19219.039733,14-Feb-19 9:28:29 AM
297.840000,0.521949,0.005544,30260100.000000,-0.000000,88,104905914291401.891000,19219.039733,14-Feb-19 9:28:29 AM
297.850000,0.521949,0.005545,30260100.000000,-0.000000,88,104905914291401.891000,19222.263863,14-Feb-19 9:28:30 AM
