Temp (K),Current mA,Im Voltage mV,Re Voltage mV,phase 9,Freq in Hz,Re M in nH,Im M in nH,Date/time
297.820000,0.521949,-0.000000,0.005548,87.690000,30260,55.938338,-0.004695,14-Feb-19 9:29:12 AM
297.830000,0.521949,-0.000001,0.005547,87.690000,30260,55.919586,-0.014084,14-Feb-19 9:29:13 AM
297.820000,0.521949,-0.000003,0.005546,87.690000,30260,55.914948,-0.028169,14-Feb-19 9:29:13 AM
297.820000,0.521949,-0.000003,0.005547,87.690000,30260,55.928962,-0.028169,14-Feb-19 9:29:14 AM
297.820000,0.521949,-0.000004,0.005548,87.690000,30260,55.938338,-0.042253,14-Feb-19 9:29:15 AM
297.820000,0.521949,-0.000003,0.005548,87.690000,30260,55.938338,-0.032863,14-Feb-19 9:29:16 AM
297.820000,0.521949,-0.000003,0.005549,87.690000,30260,55.947714,-0.028169,14-Feb-19 9:29:16 AM
297.820000,0.521949,-0.000003,0.005550,87.690000,30260,55.957191,-0.028169,14-Feb-19 9:29:17 AM
297.820000,0.521949,-0.000000,0.005548,87.690000,30260,55.938338,-0.004695,14-Feb-19 9:29:18 AM
297.820000,0.521949,-0.000000,0.005549,87.690000,30260,55.943077,-0.004695,14-Feb-19 9:29:18 AM
297.810000,0.521949,0.000000,0.005548,87.690000,30260,55.938338,0.004695,14-Feb-19 9:29:19 AM
297.810000,0.521949,0.000001,0.005547,87.690000,30260,55.919586,0.009390,14-Feb-19 9:29:20 AM
297.800000,0.521949,0.000001,0.005548,87.690000,30260,55.938338,0.009390,14-Feb-19 9:29:20 AM
297.810000,0.521949,-0.000001,0.005547,87.690000,30260,55.924324,-0.009390,14-Feb-19 9:29:21 AM
297.800000,0.521949,-0.000002,0.005547,87.690000,30260,55.924324,-0.018779,14-Feb-19 9:29:22 AM
297.800000,0.521949,-0.000002,0.005547,87.690000,30260,55.924324,-0.023474,14-Feb-19 9:29:23 AM
297.800000,0.521949,-0.000001,0.005547,87.690000,30260,55.924324,-0.009390,14-Feb-19 9:29:23 AM
297.800000,0.521949,-0.000001,0.005547,87.690000,30260,55.924324,-0.009390,14-Feb-19 9:29:24 AM
297.800000,0.521949,-0.000001,0.005546,87.690000,30260,55.914948,-0.014084,14-Feb-19 9:29:25 AM
297.790000,0.521949,-0.000001,0.005545,87.690000,30260,55.905471,-0.014084,14-Feb-19 9:29:25 AM
297.800000,0.521949,-0.000001,0.005544,87.690000,30260,55.891457,-0.014084,14-Feb-19 9:29:26 AM
297.790000,0.521949,-0.000001,0.005543,87.690000,30260,55.886719,-0.009390,14-Feb-19 9:29:27 AM
297.790000,0.521949,-0.000001,0.005545,87.690000,30260,55.900833,-0.014084,14-Feb-19 9:29:27 AM
