Temp (K),Current mA,Im Voltage mV,Re Voltage mV,phase 9,Freq in Hz,Re M in nH,Im M in nH,Date/time
2.920000,0.508216,0.000000,-0.000620,87.880000,30050,-6.467317,0.000000,14-Feb-19 3:00:35 PM
2.925000,0.508216,0.000000,-0.000622,87.880000,30050,-6.486742,0.000000,14-Feb-19 3:00:35 PM
2.944000,0.508216,0.000000,-0.000624,87.880000,30050,-6.506167,0.000000,14-Feb-19 3:00:36 PM
2.921000,0.508216,0.000000,-0.000622,87.880000,30050,-6.486742,0.000000,14-Feb-19 3:00:37 PM
2.921000,0.508216,0.000000,-0.000622,87.880000,30050,-6.486742,0.000000,14-Feb-19 3:00:37 PM
2.945000,0.508216,0.000000,-0.000622,87.880000,30050,-6.486742,0.000000,14-Feb-19 3:00:38 PM
2.932000,0.508216,0.000000,-0.000620,87.880000,30050,-6.467317,0.000000,14-Feb-19 3:00:39 PM
2.921000,0.508216,0.000000,-0.000620,87.880000,30050,-6.467317,0.000000,14-Feb-19 3:00:39 PM
2.941000,0.508216,-0.000004,-0.000620,87.880000,30050,-6.467317,-0.038843,14-Feb-19 3:00:40 PM
2.942000,0.508216,-0.000004,-0.000618,87.880000,30050,-6.447902,-0.038843,14-Feb-19 3:00:41 PM
2.920000,0.508216,0.000000,-0.000618,87.880000,30050,-6.447902,0.000000,14-Feb-19 3:00:41 PM
2.941000,0.508216,0.000000,-0.000620,87.880000,30050,-6.467317,0.000000,14-Feb-19 3:00:42 PM
2.948000,0.508216,0.000000,-0.000624,87.880000,30050,-6.506167,0.000000,14-Feb-19 3:00:43 PM
2.925000,0.508216,0.000000,-0.000626,87.880000,30050,-6.525581,0.000000,14-Feb-19 3:00:44 PM
2.929000,0.508216,0.000000,-0.000630,87.880000,30050,-6.564431,0.000000,14-Feb-19 3:00:44 PM
2.949000,0.508216,-0.000002,-0.000630,87.880000,30050,-6.564431,-0.019421,14-Feb-19 3:00:45 PM
2.936000,0.508216,-0.000006,-0.000630,87.880000,30050,-6.564431,-0.058264,14-Feb-19 3:00:46 PM
2.924000,0.508216,-0.000006,-0.000628,87.880000,30050,-6.545006,-0.058264,14-Feb-19 3:00:46 PM
2.948000,0.508216,-0.000006,-0.000626,87.880000,30050,-6.525581,-0.058264,14-Feb-19 3:00:47 PM
2.936000,0.508216,-0.000006,-0.000626,87.880000,30050,-6.525581,-0.058264,14-Feb-19 3:00:48 PM
2.922000,0.508216,-0.000004,-0.000626,87.880000,30050,-6.525581,-0.038843,14-Feb-19 3:00:48 PM
2.936000,0.508216,-0.000002,-0.000626,87.880000,30050,-6.525581,-0.019421,14-Feb-19 3:00:49 PM
2.946000,0.508216,-0.000002,-0.000624,87.880000,30050,-6.506167,-0.019421,14-Feb-19 3:00:50 PM
2.923000,0.508216,0.000000,-0.000624,87.880000,30050,-6.506167,0.000000,14-Feb-19 3:00:50 PM
2.930000,0.508216,0.000000,-0.000624,87.880000,30050,-6.506167,0.000000,14-Feb-19 3:00:51 PM
2.951000,0.508216,0.000000,-0.000624,87.880000,30050,-6.506167,0.000000,14-Feb-19 3:00:52 PM
2.928000,0.508216,0.000000,-0.000626,87.880000,30050,-6.525581,0.000000,14-Feb-19 3:00:53 PM
2.931000,0.508216,0.000000,-0.000624,87.880000,30050,-6.506167,0.000000,14-Feb-19 3:00:53 PM
2.950000,0.508216,0.000000,-0.000624,87.880000,30050,-6.506167,0.000000,14-Feb-19 3:00:54 PM
2.939000,0.508216,0.000000,-0.000624,87.880000,30050,-6.506167,0.000000,14-Feb-19 3:00:55 PM
2.931000,0.508216,0.000000,-0.000624,87.880000,30050,-6.506167,0.000000,14-Feb-19 3:00:55 PM
2.950000,0.508216,0.000000,-0.000624,87.880000,30050,-6.506167,0.000000,14-Feb-19 3:00:56 PM
2.948000,0.508216,0.000000,-0.000624,87.880000,30050,-6.506167,0.000000,14-Feb-19 3:00:57 PM
2.926000,0.508216,0.000000,-0.000624,87.880000,30050,-6.506167,0.000000,14-Feb-19 3:00:57 PM
2.945000,0.508216,0.000000,-0.000626,87.880000,30050,-6.525581,0.000000,14-Feb-19 3:00:58 PM
2.949000,0.508216,0.000000,-0.000628,87.880000,30050,-6.545006,0.000000,14-Feb-19 3:00:59 PM
2.926000,0.508216,0.000000,-0.000626,87.880000,30050,-6.525581,0.000000,14-Feb-19 3:00:59 PM
2.939000,0.508216,0.000000,-0.000624,87.880000,30050,-6.506167,0.000000,14-Feb-19 3:01:00 PM
2.954000,0.508216,0.000000,-0.000624,87.880000,30050,-6.506167,0.000000,14-Feb-19 3:01:01 PM
2.927000,0.508216,-0.000002,-0.000624,87.880000,30050,-6.506167,-0.019421,14-Feb-19 3:01:01 PM
2.933000,0.508216,-0.000002,-0.000622,87.880000,30050,-6.486742,-0.019421,14-Feb-19 3:01:02 PM
2.952000,0.508216,-0.000004,-0.000622,87.880000,30050,-6.486742,-0.038843,14-Feb-19 3:01:03 PM
2.933000,0.508216,-0.000004,-0.000622,87.880000,30050,-6.486742,-0.038843,14-Feb-19 3:01:04 PM
2.933000,0.508216,-0.000004,-0.000622,87.880000,30050,-6.486742,-0.038843,14-Feb-19 3:01:04 PM
