Voltage (mV)	current (mA)	time elapsed sec)	temp A (K)	temp B (K)
-8.376118E+0	-9.000000E-1	29-Mar-19 5:55:33 PM	17.031000	16.457000
-8.283991E+0	-8.900000E-1	29-Mar-19 5:55:35 PM	17.032000	16.389000
-8.191106E+0	-8.800000E-1	29-Mar-19 5:55:37 PM	17.037000	16.386000
-8.098375E+0	-8.700000E-1	29-Mar-19 5:55:39 PM	17.040000	16.382000
-8.005482E+0	-8.600000E-1	29-Mar-19 5:55:41 PM	17.039000	16.376000
-7.912818E+0	-8.500000E-1	29-Mar-19 5:55:43 PM	17.041000	16.374000
-7.820063E+0	-8.400000E-1	29-Mar-19 5:55:45 PM	17.041000	16.368000
-7.726755E+0	-8.300000E-1	29-Mar-19 5:55:47 PM	17.041000	16.253000
-7.633658E+0	-8.200000E-1	29-Mar-19 5:55:49 PM	17.046000	16.245000
-7.540902E+0	-8.100000E-1	29-Mar-19 5:55:51 PM	17.046000	16.242000
-7.447067E+0	-8.000000E-1	29-Mar-19 5:55:53 PM	17.045000	16.242000
-7.354348E+0	-7.900000E-1	29-Mar-19 5:55:55 PM	17.047000	16.235000
-7.260791E+0	-7.800000E-1	29-Mar-19 5:55:57 PM	17.047000	16.232000
-7.167796E+0	-7.700000E-1	29-Mar-19 5:55:59 PM	17.048000	16.137000
-7.075473E+0	-7.600000E-1	29-Mar-19 5:56:01 PM	17.051000	16.133000
-6.982158E+0	-7.500000E-1	29-Mar-19 5:56:03 PM	17.052000	16.128000
-6.889099E+0	-7.400000E-1	29-Mar-19 5:56:05 PM	17.052000	16.130000
-6.796340E+0	-7.300000E-1	29-Mar-19 5:56:07 PM	17.054000	16.127000
-6.703518E+0	-7.200000E-1	29-Mar-19 5:56:09 PM	17.054000	16.124000
-6.610244E+0	-7.100000E-1	29-Mar-19 5:56:11 PM	17.055000	16.075000
-6.517296E+0	-7.000000E-1	29-Mar-19 5:56:13 PM	17.055000	16.073000
-6.423875E+0	-6.900000E-1	29-Mar-19 5:56:15 PM	17.055000	16.067000
-6.330595E+0	-6.800000E-1	29-Mar-19 5:56:17 PM	17.053000	16.060000
-6.237565E+0	-6.700000E-1	29-Mar-19 5:56:19 PM	17.053000	16.059000
