Voltage (mV)	current (mA)	time elapsed sec)	temp A (K)	temp B (K)
-9.022359E+0	-9.000000E-1	29-Mar-19 6:20:07 PM	3.186000	2.940000
-8.932409E+0	-8.900000E-1	29-Mar-19 6:20:09 PM	3.186000	2.939000
-8.841666E+0	-8.800000E-1	29-Mar-19 6:20:11 PM	3.186000	2.936000
-8.751499E+0	-8.700000E-1	29-Mar-19 6:20:13 PM	3.153000	2.936000
-8.660858E+0	-8.600000E-1	29-Mar-19 6:20:15 PM	3.151000	2.934000
-8.570832E+0	-8.500000E-1	29-Mar-19 6:20:17 PM	3.151000	2.934000
-8.480227E+0	-8.400000E-1	29-Mar-19 6:20:19 PM	3.150000	2.932000
-8.389906E+0	-8.300000E-1	29-Mar-19 6:20:21 PM	3.149000	2.930000
-8.300746E+0	-8.200000E-1	29-Mar-19 6:20:23 PM	3.149000	2.929000
-8.211234E+0	-8.100000E-1	29-Mar-19 6:20:25 PM	3.129000	2.929000
-8.121756E+0	-8.000000E-1	29-Mar-19 6:20:27 PM	3.128000	2.928000
-8.032379E+0	-7.900000E-1	29-Mar-19 6:20:29 PM	3.128000	2.928000
-7.943187E+0	-7.800000E-1	29-Mar-19 6:20:31 PM	3.126000	2.926000
-7.854107E+0	-7.700000E-1	29-Mar-19 6:20:33 PM	3.127000	2.926000
-7.766101E+0	-7.600000E-1	29-Mar-19 6:20:35 PM	3.125000	2.929000
-7.677400E+0	-7.500000E-1	29-Mar-19 6:20:37 PM	3.114000	2.929000
-7.589306E+0	-7.400000E-1	29-Mar-19 6:20:39 PM	3.113000	2.927000
-7.501779E+0	-7.300000E-1	29-Mar-19 6:20:41 PM	3.111000	2.925000
-7.413852E+0	-7.200000E-1	29-Mar-19 6:20:43 PM	3.110000	2.923000
-7.327091E+0	-7.100000E-1	29-Mar-19 6:20:45 PM	3.111000	2.923000
-7.239682E+0	-7.000000E-1	29-Mar-19 6:20:47 PM	3.111000	2.942000
-7.152451E+0	-6.900000E-1	29-Mar-19 6:20:49 PM	3.106000	2.939000
-7.066028E+0	-6.800000E-1	29-Mar-19 6:20:51 PM	3.104000	2.936000
-6.979436E+0	-6.700000E-1	29-Mar-19 6:20:53 PM	3.102000	2.934000
-6.893082E+0	-6.600000E-1	29-Mar-19 6:20:55 PM	3.102000	2.932000
-6.806561E+0	-6.500000E-1	29-Mar-19 6:20:57 PM	3.101000	2.931000
-6.721115E+0	-6.400000E-1	29-Mar-19 6:20:59 PM	3.100000	2.984000
-6.635421E+0	-6.300000E-1	29-Mar-19 6:21:01 PM	3.109000	2.975000
-6.550777E+0	-6.200000E-1	29-Mar-19 6:21:03 PM	3.106000	2.967000
