Voltage (mV)	current (mA)	time elapsed sec)	temp A (K)	temp B (K)
-3.550262E+0	-2.000000E-1	29-Mar-19 3:05:36 PM	4.007000	3.597000
-3.545710E+0	-1.990000E-1	29-Mar-19 3:05:36 PM	3.952000	3.577000
-3.540229E+0	-1.980000E-1	29-Mar-19 3:05:36 PM	3.916000	3.582000
-3.535676E+0	-1.970000E-1	29-Mar-19 3:05:37 PM	3.960000	3.754000
-3.528680E+0	-1.960000E-1	29-Mar-19 3:05:37 PM	4.035000	3.888000
-3.524293E+0	-1.950000E-1	29-Mar-19 3:05:37 PM	4.107000	3.798000
-3.516962E+0	-1.940000E-1	29-Mar-19 3:05:37 PM	4.069000	3.679000
-3.511818E+0	-1.930000E-1	29-Mar-19 3:05:37 PM	4.008000	3.598000
-3.506085E+0	-1.920000E-1	29-Mar-19 3:05:37 PM	3.925000	3.577000
-3.500355E+0	-1.910000E-1	29-Mar-19 3:05:37 PM	3.916000	3.582000
-3.496389E+0	-1.900000E-1	29-Mar-19 3:05:38 PM	3.921000	3.752000
-3.489562E+0	-1.890000E-1	29-Mar-19 3:05:38 PM	4.033000	3.886000
-3.485094E+0	-1.880000E-1	29-Mar-19 3:05:38 PM	4.097000	3.888000
-3.477932E+0	-1.870000E-1	29-Mar-19 3:05:38 PM	4.069000	3.679000
-3.472449E+0	-1.860000E-1	29-Mar-19 3:05:38 PM	4.008000	3.599000
-3.467139E+0	-1.850000E-1	29-Mar-19 3:05:38 PM	3.926000	3.577000
-3.461576E+0	-1.840000E-1	29-Mar-19 3:05:39 PM	3.917000	3.582000
-3.455089E+0	-1.830000E-1	29-Mar-19 3:05:39 PM	3.959000	3.751000
-3.449690E+0	-1.820000E-1	29-Mar-19 3:05:39 PM	4.033000	3.886000
-3.444295E+0	-1.810000E-1	29-Mar-19 3:05:39 PM	4.107000	3.799000
-3.437633E+0	-1.800000E-1	29-Mar-19 3:05:39 PM	4.070000	3.680000
-3.434429E+0	-1.790000E-1	29-Mar-19 3:05:39 PM	3.953000	3.569000
-3.427940E+0	-1.780000E-1	29-Mar-19 3:05:39 PM	3.925000	3.576000
-3.420438E+0	-1.770000E-1	29-Mar-19 3:05:40 PM	3.920000	3.613000
-3.416052E+0	-1.760000E-1	29-Mar-19 3:05:40 PM	3.957000	3.748000
-3.409480E+0	-1.750000E-1	29-Mar-19 3:05:40 PM	4.095000	3.888000
-3.403492E+0	-1.740000E-1	29-Mar-19 3:05:40 PM	4.106000	3.800000
-3.398774E+0	-1.730000E-1	29-Mar-19 3:05:40 PM	4.009000	3.600000
-3.393547E+0	-1.720000E-1	29-Mar-19 3:05:40 PM	3.953000	3.570000
-3.388655E+0	-1.710000E-1	29-Mar-19 3:05:40 PM	3.925000	3.581000
-3.381913E+0	-1.700000E-1	29-Mar-19 3:05:41 PM	3.920000	3.613000
-3.375166E+0	-1.690000E-1	29-Mar-19 3:05:41 PM	3.956000	3.748000
-3.371120E+0	-1.680000E-1	29-Mar-19 3:05:41 PM	4.095000	3.889000
-3.364884E+0	-1.670000E-1	29-Mar-19 3:05:41 PM	4.107000	3.802000
-3.360329E+0	-1.660000E-1	29-Mar-19 3:05:41 PM	4.071000	3.601000
-3.354009E+0	-1.650000E-1	29-Mar-19 3:05:41 PM	3.954000	3.571000
-3.348278E+0	-1.640000E-1	29-Mar-19 3:05:41 PM	3.926000	3.577000
-3.341869E+0	-1.630000E-1	29-Mar-19 3:05:42 PM	3.921000	3.613000
-3.336893E+0	-1.620000E-1	29-Mar-19 3:05:42 PM	3.957000	3.747000
-3.330233E+0	-1.610000E-1	29-Mar-19 3:05:42 PM	4.095000	3.891000
-3.325343E+0	-1.600000E-1	29-Mar-19 3:05:42 PM	4.107000	3.803000
-3.319276E+0	-1.590000E-1	29-Mar-19 3:05:42 PM	4.072000	3.601000
-3.313293E+0	-1.580000E-1	29-Mar-19 3:05:42 PM	3.954000	3.571000
-3.307473E+0	-1.570000E-1	29-Mar-19 3:05:42 PM	3.926000	3.575000
-3.302837E+0	-1.560000E-1	29-Mar-19 3:05:43 PM	3.920000	3.612000
-3.296850E+0	-1.550000E-1	29-Mar-19 3:05:43 PM	3.956000	3.747000
-3.288591E+0	-1.540000E-1	29-Mar-19 3:05:43 PM	4.095000	3.892000
-3.284123E+0	-1.530000E-1	29-Mar-19 3:05:43 PM	4.108000	3.804000
-3.278136E+0	-1.520000E-1	29-Mar-19 3:05:43 PM	4.073000	3.602000
-3.272322E+0	-1.510000E-1	29-Mar-19 3:05:43 PM	3.955000	3.570000
-3.267094E+0	-1.500000E-1	29-Mar-19 3:05:43 PM	3.926000	3.577000
-3.260771E+0	-1.490000E-1	29-Mar-19 3:05:44 PM	3.922000	3.612000
-3.253860E+0	-1.480000E-1	29-Mar-19 3:05:44 PM	3.956000	3.745000
-3.249475E+0	-1.470000E-1	29-Mar-19 3:05:44 PM	4.094000	3.892000
-3.242648E+0	-1.460000E-1	29-Mar-19 3:05:44 PM	4.108000	3.806000
-3.236829E+0	-1.450000E-1	29-Mar-19 3:05:44 PM	4.012000	3.604000
-3.231854E+0	-1.440000E-1	29-Mar-19 3:05:44 PM	3.956000	3.571000
-3.224862E+0	-1.430000E-1	29-Mar-19 3:05:44 PM	3.917000	3.580000
-3.219128E+0	-1.420000E-1	29-Mar-19 3:05:45 PM	3.920000	3.610000
-3.214488E+0	-1.410000E-1	29-Mar-19 3:05:45 PM	4.027000	3.881000
-3.208672E+0	-1.400000E-1	29-Mar-19 3:05:45 PM	4.094000	3.893000
-3.202096E+0	-1.390000E-1	29-Mar-19 3:05:45 PM	4.074000	3.688000
-3.196619E+0	-1.380000E-1	29-Mar-19 3:05:45 PM	4.013000	3.605000
-3.190213E+0	-1.370000E-1	29-Mar-19 3:05:45 PM	3.927000	3.577000
-3.185907E+0	-1.360000E-1	29-Mar-19 3:05:45 PM	3.918000	3.581000
-3.177313E+0	-1.350000E-1	29-Mar-19 3:05:46 PM	3.921000	3.611000
-3.170653E+0	-1.340000E-1	29-Mar-19 3:05:46 PM	4.027000	3.881000
-3.164838E+0	-1.330000E-1	29-Mar-19 3:05:46 PM	4.094000	3.893000
-3.158684E+0	-1.320000E-1	29-Mar-19 3:05:46 PM	4.074000	3.689000
-3.153459E+0	-1.310000E-1	29-Mar-19 3:05:46 PM	4.013000	3.604000
-3.147305E+0	-1.300000E-1	29-Mar-19 3:05:46 PM	3.956000	3.575000
-3.142833E+0	-1.290000E-1	29-Mar-19 3:05:46 PM	3.916000	3.580000
-3.133729E+0	-1.280000E-1	29-Mar-19 3:05:47 PM	3.920000	3.610000
-3.126057E+0	-1.270000E-1	29-Mar-19 3:05:47 PM	4.026000	3.880000
-3.121083E+0	-1.260000E-1	29-Mar-19 3:05:47 PM	4.093000	3.894000
-3.115857E+0	-1.250000E-1	29-Mar-19 3:05:47 PM	4.075000	3.691000
-3.109199E+0	-1.240000E-1	29-Mar-19 3:05:47 PM	4.014000	3.605000
-3.105151E+0	-1.230000E-1	29-Mar-19 3:05:47 PM	3.927000	3.576000
-3.097479E+0	-1.220000E-1	29-Mar-19 3:05:48 PM	3.917000	3.581000
-3.088628E+0	-1.210000E-1	29-Mar-19 3:05:48 PM	3.953000	3.740000
-3.082307E+0	-1.200000E-1	29-Mar-19 3:05:48 PM	4.025000	3.878000
