Voltage (mV)	current (mA)	time elapsed sec)	temp A (K)	temp B (K)
-8.865059E+0	-9.000000E-1	29-Mar-19 6:05:32 PM	15.965000	15.270000
-8.817407E+0	-8.950000E-1	29-Mar-19 6:05:34 PM	15.966000	15.271000
-8.769155E+0	-8.900000E-1	29-Mar-19 6:05:36 PM	15.966000	15.273000
-8.721426E+0	-8.850000E-1	29-Mar-19 6:05:38 PM	15.967000	15.277000
-8.672524E+0	-8.800000E-1	29-Mar-19 6:05:40 PM	15.969000	15.281000
Voltage (mV)	current (mA)	time elapsed sec)	temp A (K)	temp B (K)
-8.865194E+0	-9.000000E-1	29-Mar-19 6:05:45 PM	15.978000	14.731000
-8.768951E+0	-8.900000E-1	29-Mar-19 6:05:47 PM	15.978000	14.729000
-8.673626E+0	-8.800000E-1	29-Mar-19 6:05:49 PM	15.980000	14.726000
-8.577703E+0	-8.700000E-1	29-Mar-19 6:05:51 PM	15.979000	14.719000
-8.481971E+0	-8.600000E-1	29-Mar-19 6:05:53 PM	15.980000	14.724000
-8.385670E+0	-8.500000E-1	29-Mar-19 6:05:55 PM	15.979000	14.895000
-8.289353E+0	-8.400000E-1	29-Mar-19 6:05:57 PM	15.972000	14.886000
-8.193021E+0	-8.300000E-1	29-Mar-19 6:05:59 PM	15.971000	14.880000
-8.097299E+0	-8.200000E-1	29-Mar-19 6:06:01 PM	15.970000	14.869000
-8.001100E+0	-8.100000E-1	29-Mar-19 6:06:03 PM	15.972000	14.869000
-7.904670E+0	-8.000000E-1	29-Mar-19 6:06:05 PM	15.981000	14.717000
-7.808461E+0	-7.900000E-1	29-Mar-19 6:06:07 PM	15.981000	14.856000
-7.711863E+0	-7.800000E-1	29-Mar-19 6:06:09 PM	15.973000	14.841000
-7.615203E+0	-7.700000E-1	29-Mar-19 6:06:11 PM	15.973000	14.834000
-7.519267E+0	-7.600000E-1	29-Mar-19 6:06:14 PM	15.974000	14.829000
-7.423146E+0	-7.500000E-1	29-Mar-19 6:06:16 PM	15.975000	14.820000
-7.327349E+0	-7.400000E-1	29-Mar-19 6:06:18 PM	15.975000	14.808000
-7.232022E+0	-7.300000E-1	29-Mar-19 6:06:20 PM	15.974000	15.047000
-7.136478E+0	-7.200000E-1	29-Mar-19 6:06:22 PM	15.970000	15.040000
-7.040368E+0	-7.100000E-1	29-Mar-19 6:06:24 PM	15.973000	15.028000
-6.944487E+0	-7.000000E-1	29-Mar-19 6:06:26 PM	15.972000	15.018000
-6.848269E+0	-6.900000E-1	29-Mar-19 6:06:28 PM	15.973000	15.003000
-6.751630E+0	-6.800000E-1	29-Mar-19 6:06:30 PM	15.974000	14.996000
-6.655481E+0	-6.700000E-1	29-Mar-19 6:06:32 PM	15.977000	15.248000
-6.559331E+0	-6.600000E-1	29-Mar-19 6:06:34 PM	15.977000	15.246000
-6.463048E+0	-6.500000E-1	29-Mar-19 6:06:36 PM	15.977000	15.241000
-6.367012E+0	-6.400000E-1	29-Mar-19 6:06:38 PM	15.978000	15.235000
-6.271694E+0	-6.300000E-1	29-Mar-19 6:06:40 PM	15.979000	15.226000
-6.175740E+0	-6.200000E-1	29-Mar-19 6:06:42 PM	15.979000	15.221000
-6.079867E+0	-6.100000E-1	29-Mar-19 6:06:44 PM	15.979000	15.313000
-5.984512E+0	-6.000000E-1	29-Mar-19 6:06:46 PM	15.982000	15.312000
-5.889086E+0	-5.900000E-1	29-Mar-19 6:06:48 PM	15.982000	15.312000
-5.793707E+0	-5.800000E-1	29-Mar-19 6:06:50 PM	15.982000	15.313000
-5.697989E+0	-5.700000E-1	29-Mar-19 6:06:52 PM	15.984000	15.314000
-5.602768E+0	-5.600000E-1	29-Mar-19 6:06:54 PM	15.982000	15.309000
-5.507033E+0	-5.500000E-1	29-Mar-19 6:06:56 PM	15.984000	15.308000
-5.411066E+0	-5.400000E-1	29-Mar-19 6:06:58 PM	15.989000	15.272000
-5.315637E+0	-5.300000E-1	29-Mar-19 6:07:00 PM	15.988000	15.274000
-5.220597E+0	-5.200000E-1	29-Mar-19 6:07:02 PM	15.987000	15.274000
-5.125637E+0	-5.100000E-1	29-Mar-19 6:07:04 PM	15.985000	15.272000
-5.030185E+0	-5.000000E-1	29-Mar-19 6:07:06 PM	15.984000	15.277000
-4.934395E+0	-4.900000E-1	29-Mar-19 6:07:08 PM	15.983000	15.282000
-4.839163E+0	-4.800000E-1	29-Mar-19 6:07:10 PM	15.982000	15.173000
-4.743899E+0	-4.700000E-1	29-Mar-19 6:07:12 PM	15.989000	15.173000
-4.648798E+0	-4.600000E-1	29-Mar-19 6:07:14 PM	15.988000	15.176000
-4.553031E+0	-4.500000E-1	29-Mar-19 6:07:16 PM	15.987000	15.180000
-4.457852E+0	-4.400000E-1	29-Mar-19 6:07:18 PM	15.988000	15.187000
-4.362375E+0	-4.300000E-1	29-Mar-19 6:07:20 PM	15.989000	15.192000
-4.266366E+0	-4.200000E-1	29-Mar-19 6:07:22 PM	15.988000	15.067000
-4.170024E+0	-4.100000E-1	29-Mar-19 6:07:24 PM	15.995000	15.070000
-4.074143E+0	-4.000000E-1	29-Mar-19 6:07:26 PM	15.996000	15.079000
-3.977790E+0	-3.900000E-1	29-Mar-19 6:07:28 PM	15.997000	15.083000
-3.881821E+0	-3.800000E-1	29-Mar-19 6:07:30 PM	15.996000	15.085000
-3.785393E+0	-3.700000E-1	29-Mar-19 6:07:32 PM	15.998000	15.088000
-3.689072E+0	-3.600000E-1	29-Mar-19 6:07:34 PM	16.000000	14.991000
-3.592054E+0	-3.500000E-1	29-Mar-19 6:07:36 PM	16.003000	14.994000
-3.495715E+0	-3.400000E-1	29-Mar-19 6:07:38 PM	16.005000	14.998000
-3.399751E+0	-3.300000E-1	29-Mar-19 6:07:40 PM	16.005000	14.997000
-3.302886E+0	-3.200000E-1	29-Mar-19 6:07:42 PM	16.005000	14.999000
-3.205177E+0	-3.100000E-1	29-Mar-19 6:07:44 PM	16.005000	15.001000
-3.108284E+0	-3.000000E-1	29-Mar-19 6:07:46 PM	16.005000	14.930000
-3.010656E+0	-2.900000E-1	29-Mar-19 6:07:48 PM	16.007000	14.936000
-2.913077E+0	-2.800000E-1	29-Mar-19 6:07:50 PM	16.008000	14.936000
-2.814439E+0	-2.700000E-1	29-Mar-19 6:07:52 PM	16.007000	14.937000
-2.715986E+0	-2.600000E-1	29-Mar-19 6:07:54 PM	16.007000	14.933000
-2.616477E+0	-2.500000E-1	29-Mar-19 6:07:56 PM	16.006000	14.936000
-2.516320E+0	-2.400000E-1	29-Mar-19 6:07:58 PM	16.007000	14.880000
-2.416305E+0	-2.300000E-1	29-Mar-19 6:08:00 PM	16.004000	14.882000
-2.316995E+0	-2.200000E-1	29-Mar-19 6:08:02 PM	16.004000	14.881000
-2.216227E+0	-2.100000E-1	29-Mar-19 6:08:04 PM	16.003000	14.878000
-2.115186E+0	-2.000000E-1	29-Mar-19 6:08:06 PM	16.003000	14.882000
-2.013431E+0	-1.900000E-1	29-Mar-19 6:08:08 PM	16.005000	14.887000
-1.911081E+0	-1.800000E-1	29-Mar-19 6:08:10 PM	16.006000	14.808000
-1.808964E+0	-1.700000E-1	29-Mar-19 6:08:12 PM	16.004000	14.809000
-1.706055E+0	-1.600000E-1	29-Mar-19 6:08:15 PM	16.004000	14.812000
-1.602698E+0	-1.500000E-1	29-Mar-19 6:08:17 PM	16.005000	14.813000
-1.499019E+0	-1.400000E-1	29-Mar-19 6:08:19 PM	16.007000	14.812000
-1.394308E+0	-1.300000E-1	29-Mar-19 6:08:21 PM	16.008000	14.810000
-1.288490E+0	-1.200000E-1	29-Mar-19 6:08:23 PM	16.008000	14.767000
-1.182731E+0	-1.100000E-1	29-Mar-19 6:08:25 PM	16.003000	14.766000
-1.076014E+0	-1.000000E-1	29-Mar-19 6:08:27 PM	16.002000	14.765000
-9.693029E-1	-9.000000E-2	29-Mar-19 6:08:29 PM	16.001000	14.755000
-8.619144E-1	-8.000000E-2	29-Mar-19 6:08:31 PM	16.000000	14.751000
-7.543094E-1	-7.000000E-2	29-Mar-19 6:08:33 PM	15.997000	14.745000
-6.455269E-1	-6.000000E-2	29-Mar-19 6:08:35 PM	15.996000	14.912000
-5.369750E-1	-5.000000E-2	29-Mar-19 6:08:37 PM	15.990000	14.906000
