Voltage (mV)	current (mA)	time elapsed sec)	temp A (K)	temp B (K)
-3.548490E+0	-2.000000E-1	29-Mar-19 2:44:02 PM	2.995000	2.852000
-3.544188E+0	-1.990000E-1	29-Mar-19 2:44:02 PM	2.929000	2.799000
-3.537276E+0	-1.980000E-1	29-Mar-19 2:44:02 PM	2.919000	2.803000
-3.533142E+0	-1.970000E-1	29-Mar-19 2:44:02 PM	2.921000	2.849000
-3.527495E+0	-1.960000E-1	29-Mar-19 2:44:02 PM	2.958000	2.950000
-3.523615E+0	-1.950000E-1	29-Mar-19 2:44:02 PM	3.078000	2.998000
-3.516789E+0	-1.940000E-1	29-Mar-19 2:44:02 PM	3.058000	2.931000
-3.512067E+0	-1.930000E-1	29-Mar-19 2:44:03 PM	2.955000	2.805000
-3.507517E+0	-1.920000E-1	29-Mar-19 2:44:03 PM	2.928000	2.798000
-3.501527E+0	-1.910000E-1	29-Mar-19 2:44:03 PM	2.915000	2.811000
-3.496303E+0	-1.900000E-1	29-Mar-19 2:44:03 PM	2.921000	2.850000
-3.491753E+0	-1.890000E-1	29-Mar-19 2:44:03 PM	2.958000	3.022000
-3.486020E+0	-1.880000E-1	29-Mar-19 2:44:03 PM	3.078000	2.997000
-3.481633E+0	-1.870000E-1	29-Mar-19 2:44:03 PM	3.057000	2.930000
-3.476155E+0	-1.860000E-1	29-Mar-19 2:44:04 PM	2.955000	2.805000
-3.470507E+0	-1.850000E-1	29-Mar-19 2:44:04 PM	2.928000	2.798000
-3.465113E+0	-1.840000E-1	29-Mar-19 2:44:04 PM	2.918000	2.811000
-3.460306E+0	-1.830000E-1	29-Mar-19 2:44:04 PM	2.921000	2.850000
-3.455421E+0	-1.820000E-1	29-Mar-19 2:44:04 PM	2.958000	2.951000
-3.450527E+0	-1.810000E-1	29-Mar-19 2:44:04 PM	3.078000	2.997000
-3.445471E+0	-1.800000E-1	29-Mar-19 2:44:04 PM	3.057000	2.930000
-3.440499E+0	-1.790000E-1	29-Mar-19 2:44:05 PM	2.955000	2.805000
-3.435099E+0	-1.780000E-1	29-Mar-19 2:44:05 PM	2.928000	2.798000
-3.431221E+0	-1.770000E-1	29-Mar-19 2:44:05 PM	2.918000	2.810000
-3.423972E+0	-1.760000E-1	29-Mar-19 2:44:05 PM	2.921000	2.850000
-3.419506E+0	-1.750000E-1	29-Mar-19 2:44:05 PM	2.958000	2.951000
-3.413941E+0	-1.740000E-1	29-Mar-19 2:44:05 PM	3.078000	2.997000
-3.410739E+0	-1.730000E-1	29-Mar-19 2:44:05 PM	3.057000	2.929000
-3.407110E+0	-1.720000E-1	29-Mar-19 2:44:06 PM	2.955000	2.804000
-3.400368E+0	-1.710000E-1	29-Mar-19 2:44:06 PM	2.928000	2.798000
-3.394298E+0	-1.700000E-1	29-Mar-19 2:44:06 PM	2.918000	2.810000
-3.390335E+0	-1.690000E-1	29-Mar-19 2:44:06 PM	2.921000	2.851000
-3.385024E+0	-1.680000E-1	29-Mar-19 2:44:06 PM	2.958000	2.952000
-3.378368E+0	-1.670000E-1	29-Mar-19 2:44:06 PM	3.078000	2.996000
-3.374910E+0	-1.660000E-1	29-Mar-19 2:44:06 PM	3.056000	2.929000
-3.368928E+0	-1.650000E-1	29-Mar-19 2:44:07 PM	2.954000	2.804000
-3.364966E+0	-1.640000E-1	29-Mar-19 2:44:07 PM	2.927000	2.798000
-3.359229E+0	-1.630000E-1	29-Mar-19 2:44:07 PM	2.915000	2.810000
-3.353500E+0	-1.620000E-1	29-Mar-19 2:44:07 PM	2.921000	2.851000
-3.349701E+0	-1.610000E-1	29-Mar-19 2:44:07 PM	3.024000	3.023000
-3.342203E+0	-1.600000E-1	29-Mar-19 2:44:07 PM	3.078000	2.996000
-3.339333E+0	-1.590000E-1	29-Mar-19 2:44:07 PM	2.993000	2.849000
-3.333264E+0	-1.580000E-1	29-Mar-19 2:44:08 PM	2.954000	2.803000
-3.328122E+0	-1.570000E-1	29-Mar-19 2:44:08 PM	2.918000	2.802000
-3.322808E+0	-1.560000E-1	29-Mar-19 2:44:08 PM	2.915000	2.810000
-3.317247E+0	-1.550000E-1	29-Mar-19 2:44:08 PM	2.921000	2.953000
-3.312193E+0	-1.540000E-1	29-Mar-19 2:44:08 PM	3.025000	3.023000
-3.307468E+0	-1.530000E-1	29-Mar-19 2:44:08 PM	3.078000	2.995000
-3.302915E+0	-1.520000E-1	29-Mar-19 2:44:08 PM	2.993000	2.849000
-3.298699E+0	-1.510000E-1	29-Mar-19 2:44:09 PM	2.954000	2.804000
-3.291368E+0	-1.500000E-1	29-Mar-19 2:44:09 PM	2.927000	2.801000
-3.285465E+0	-1.490000E-1	29-Mar-19 2:44:09 PM	2.915000	2.810000
-3.281166E+0	-1.480000E-1	29-Mar-19 2:44:09 PM	2.921000	2.853000
-3.276107E+0	-1.470000E-1	29-Mar-19 2:44:09 PM	3.025000	3.023000
-3.262791E+0	-1.460000E-1	29-Mar-19 2:44:09 PM	3.078000	2.995000
-3.264980E+0	-1.450000E-1	29-Mar-19 2:44:09 PM	2.993000	2.848000
-3.260849E+0	-1.440000E-1	29-Mar-19 2:44:10 PM	2.953000	2.802000
-3.256298E+0	-1.430000E-1	29-Mar-19 2:44:10 PM	2.927000	2.801000
-3.248882E+0	-1.420000E-1	29-Mar-19 2:44:10 PM	2.914000	2.810000
-3.243654E+0	-1.410000E-1	29-Mar-19 2:44:10 PM	2.921000	2.852000
-3.238595E+0	-1.400000E-1	29-Mar-19 2:44:10 PM	3.024000	3.022000
-3.234212E+0	-1.390000E-1	29-Mar-19 2:44:10 PM	3.077000	2.995000
-3.229660E+0	-1.380000E-1	29-Mar-19 2:44:10 PM	2.993000	2.848000
-3.224855E+0	-1.370000E-1	29-Mar-19 2:44:11 PM	2.953000	2.803000
-3.220636E+0	-1.360000E-1	29-Mar-19 2:44:11 PM	2.927000	2.801000
-3.213052E+0	-1.350000E-1	29-Mar-19 2:44:11 PM	2.914000	2.810000
-3.204958E+0	-1.340000E-1	29-Mar-19 2:44:11 PM	2.921000	2.853000
-3.200662E+0	-1.330000E-1	29-Mar-19 2:44:11 PM	3.024000	3.022000
-3.195939E+0	-1.320000E-1	29-Mar-19 2:44:11 PM	3.077000	2.994000
-3.191639E+0	-1.310000E-1	29-Mar-19 2:44:11 PM	2.992000	2.848000
-3.187257E+0	-1.300000E-1	29-Mar-19 2:44:12 PM	2.953000	2.803000
-3.181526E+0	-1.290000E-1	29-Mar-19 2:44:12 PM	2.917000	2.802000
-3.175535E+0	-1.280000E-1	29-Mar-19 2:44:12 PM	2.914000	2.810000
-3.166856E+0	-1.270000E-1	29-Mar-19 2:44:12 PM	2.959000	2.954000
-3.162303E+0	-1.260000E-1	29-Mar-19 2:44:12 PM	3.024000	3.022000
-3.158422E+0	-1.250000E-1	29-Mar-19 2:44:12 PM	3.053000	2.926000
-3.153028E+0	-1.240000E-1	29-Mar-19 2:44:13 PM	2.992000	2.847000
-3.150074E+0	-1.230000E-1	29-Mar-19 2:44:13 PM	2.926000	2.798000
-3.141900E+0	-1.220000E-1	29-Mar-19 2:44:13 PM	2.917000	2.801000
-3.136424E+0	-1.210000E-1	29-Mar-19 2:44:13 PM	2.921000	2.854000
-3.129928E+0	-1.200000E-1	29-Mar-19 2:44:13 PM	2.959000	2.955000
-3.124029E+0	-1.190000E-1	29-Mar-19 2:44:13 PM	3.076000	2.994000
-3.119984E+0	-1.180000E-1	29-Mar-19 2:44:13 PM	3.053000	2.925000
-3.115008E+0	-1.170000E-1	29-Mar-19 2:44:14 PM	2.991000	2.802000
-3.110120E+0	-1.160000E-1	29-Mar-19 2:44:14 PM	2.926000	2.798000
-3.102701E+0	-1.150000E-1	29-Mar-19 2:44:14 PM	2.917000	2.800000
-3.094859E+0	-1.140000E-1	29-Mar-19 2:44:14 PM	2.920000	2.853000
-3.087950E+0	-1.130000E-1	29-Mar-19 2:44:14 PM	2.958000	2.955000
-3.082300E+0	-1.120000E-1	29-Mar-19 2:44:14 PM	3.025000	2.993000
-3.079094E+0	-1.110000E-1	29-Mar-19 2:44:14 PM	3.052000	2.924000
-3.074120E+0	-1.100000E-1	29-Mar-19 2:44:15 PM	2.991000	2.847000
-3.068391E+0	-1.090000E-1	29-Mar-19 2:44:15 PM	2.926000	2.797000
-3.062825E+0	-1.080000E-1	29-Mar-19 2:44:15 PM	2.916000	2.801000
-3.053385E+0	-1.070000E-1	29-Mar-19 2:44:15 PM	2.920000	2.854000
-3.045294E+0	-1.060000E-1	29-Mar-19 2:44:15 PM	2.959000	2.955000
-3.041331E+0	-1.050000E-1	29-Mar-19 2:44:15 PM	3.075000	2.992000
-3.035009E+0	-1.040000E-1	29-Mar-19 2:44:15 PM	3.052000	2.924000
-3.031807E+0	-1.030000E-1	29-Mar-19 2:44:16 PM	2.952000	2.802000
-3.025820E+0	-1.020000E-1	29-Mar-19 2:44:16 PM	2.926000	2.798000
-3.017474E+0	-1.010000E-1	29-Mar-19 2:44:16 PM	2.917000	2.810000
-3.009802E+0	-1.000000E-1	29-Mar-19 2:44:16 PM	2.920000	2.855000
-3.002215E+0	-9.900000E-2	29-Mar-19 2:44:16 PM	2.959000	2.955000
-2.996060E+0	-9.800000E-2	29-Mar-19 2:44:16 PM	3.075000	2.992000
-2.993871E+0	-9.700000E-2	29-Mar-19 2:44:16 PM	3.051000	2.924000
-2.987042E+0	-9.600000E-2	29-Mar-19 2:44:17 PM	2.951000	2.801000
-2.979959E+0	-9.500000E-2	29-Mar-19 2:44:17 PM	2.925000	2.797000
-2.973046E+0	-9.400000E-2	29-Mar-19 2:44:17 PM	2.916000	2.809000
-2.962845E+0	-9.300000E-2	29-Mar-19 2:44:17 PM	2.920000	2.855000
-2.955424E+0	-9.200000E-2	29-Mar-19 2:44:17 PM	2.959000	2.956000
-2.949444E+0	-9.100000E-2	29-Mar-19 2:44:17 PM	3.075000	2.992000
-2.944469E+0	-9.000000E-2	29-Mar-19 2:44:17 PM	3.051000	2.923000
-2.938737E+0	-8.900000E-2	29-Mar-19 2:44:18 PM	2.951000	2.801000
-2.933003E+0	-8.800000E-2	29-Mar-19 2:44:18 PM	2.925000	2.797000
-2.923560E+0	-8.700000E-2	29-Mar-19 2:44:18 PM	2.914000	2.809000
-2.913108E+0	-8.600000E-2	29-Mar-19 2:44:18 PM	2.920000	2.855000
-2.905777E+0	-8.500000E-2	29-Mar-19 2:44:18 PM	3.025000	3.021000
-2.902400E+0	-8.400000E-2	29-Mar-19 2:44:18 PM	3.075000	2.991000
-2.894308E+0	-8.300000E-2	29-Mar-19 2:44:18 PM	3.050000	2.845000
-2.888322E+0	-8.200000E-2	29-Mar-19 2:44:19 PM	2.951000	2.800000
-2.880230E+0	-8.100000E-2	29-Mar-19 2:44:19 PM	2.925000	2.797000
-2.871799E+0	-8.000000E-2	29-Mar-19 2:44:19 PM	2.913000	2.808000
-2.861009E+0	-7.900000E-2	29-Mar-19 2:44:19 PM	2.920000	2.854000
-2.851654E+0	-7.800000E-2	29-Mar-19 2:44:19 PM	3.025000	3.021000
-2.844404E+0	-7.700000E-2	29-Mar-19 2:44:19 PM	3.074000	2.991000
-2.840612E+0	-7.600000E-2	29-Mar-19 2:44:19 PM	3.049000	2.845000
-2.833782E+0	-7.500000E-2	29-Mar-19 2:44:20 PM	2.951000	2.801000
-2.826276E+0	-7.400000E-2	29-Mar-19 2:44:20 PM	2.925000	2.797000
-2.817257E+0	-7.300000E-2	29-Mar-19 2:44:20 PM	2.913000	2.810000
-2.804779E+0	-7.200000E-2	29-Mar-19 2:44:20 PM	2.920000	2.856000
-2.796183E+0	-7.100000E-2	29-Mar-19 2:44:20 PM	3.025000	3.021000
-2.791461E+0	-7.000000E-2	29-Mar-19 2:44:20 PM	3.074000	2.991000
-2.782778E+0	-6.900000E-2	29-Mar-19 2:44:20 PM	2.989000	2.844000
-2.775362E+0	-6.800000E-2	29-Mar-19 2:44:21 PM	2.950000	2.800000
-2.766593E+0	-6.700000E-2	29-Mar-19 2:44:21 PM	2.925000	2.797000
-2.755887E+0	-6.600000E-2	29-Mar-19 2:44:21 PM	2.913000	2.809000
-2.742904E+0	-6.500000E-2	29-Mar-19 2:44:21 PM	2.920000	2.856000
-2.733040E+0	-6.400000E-2	29-Mar-19 2:44:21 PM	3.026000	3.021000
-2.726888E+0	-6.300000E-2	29-Mar-19 2:44:21 PM	3.075000	2.991000
-2.720563E+0	-6.200000E-2	29-Mar-19 2:44:21 PM	3.050000	2.845000
-2.710616E+0	-6.100000E-2	29-Mar-19 2:44:22 PM	2.950000	2.800000
-2.704124E+0	-6.000000E-2	29-Mar-19 2:44:22 PM	2.925000	2.797000
-2.690808E+0	-5.900000E-2	29-Mar-19 2:44:22 PM	2.913000	2.810000
-2.678159E+0	-5.800000E-2	29-Mar-19 2:44:22 PM	2.920000	2.857000
