Temp A (K)	Temp B (K)	Re voltage (mV)	Im voltage (mV)	Current (mA)	Phase	Frequency (Hz)
Temp A (K)	Temp B (K)	Re voltage (mV)	Im voltage (mV)	Current (mA)	Phase	Frequency (Hz)
297.370000	298.880000	0.005231	0.000064	0.510696	86.710000	30230
297.350000	298.880000	0.005230	0.000064	0.510696	86.710000	30230
297.360000	298.880000	0.005230	0.000064	0.510696	86.710000	30230
297.370000	298.890000	0.005230	0.000063	0.510696	86.710000	30230
297.360000	298.880000	0.005229	0.000063	0.510696	86.710000	30230
297.340000	298.870000	0.005230	0.000063	0.510696	86.710000	30230
297.350000	298.880000	0.005230	0.000063	0.510696	86.710000	30230
297.350000	298.880000	0.005230	0.000062	0.510696	86.710000	30230
297.370000	298.870000	0.005230	0.000063	0.510696	86.710000	30230
297.360000	298.890000	0.005230	0.000063	0.510696	86.710000	30230
297.340000	298.880000	0.005230	0.000063	0.510696	86.710000	30230
297.360000	298.900000	0.005230	0.000063	0.510696	86.710000	30230
297.360000	298.870000	0.005230	0.000063	0.510696	86.710000	30230
297.350000	298.890000	0.005230	0.000063	0.510696	86.710000	30230
297.350000	298.880000	0.005230	0.000064	0.510696	86.710000	30230
297.350000	298.880000	0.005230	0.000064	0.510696	86.710000	30230
297.380000	298.890000	0.005230	0.000064	0.510696	86.710000	30230
297.340000	298.880000	0.005230	0.000064	0.510696	86.710000	30230
297.370000	298.870000	0.005230	0.000064	0.510696	86.710000	30230
297.360000	298.880000	0.005230	0.000064	0.510696	86.710000	30230
297.350000	298.880000	0.005230	0.000064	0.510696	86.710000	30230
297.360000	298.870000	0.005229	0.000064	0.510696	86.710000	30230
297.370000	298.880000	0.005230	0.000064	0.510696	86.710000	30230
297.360000	298.880000	0.005230	0.000064	0.510696	86.710000	30230
297.330000	298.870000	0.005230	0.000064	0.510696	86.710000	30230
297.350000	298.880000	0.005230	0.000064	0.510696	86.710000	30230
297.370000	298.880000	0.005230	0.000064	0.510696	86.710000	30230
297.370000	298.880000	0.005230	0.000064	0.510696	86.710000	30230
297.340000	298.870000	0.005229	0.000064	0.510696	86.710000	30230
297.350000	298.870000	0.005229	0.000064	0.510696	86.710000	30230
297.340000	298.870000	0.005229	0.000065	0.510696	86.710000	30230
297.370000	298.880000	0.005229	0.000065	0.510696	86.710000	30230
297.360000	298.880000	0.005229	0.000064	0.510696	86.710000	30230
Temp A (K)	Temp B (K)	Re voltage (mV)	Im voltage (mV)	Current (mA)	Phase	Frequency (Hz)
297.340000	298.640000	0.005224	0.000061	0.510314	86.710000	30230
297.350000	298.580000	0.005224	0.000061	0.510314	86.710000	30230
297.330000	298.570000	0.005223	0.000061	0.510314	86.710000	30230
297.330000	298.560000	0.005223	0.000061	0.510314	86.710000	30230
297.340000	298.540000	0.005223	0.000061	0.510314	86.710000	30230
297.330000	298.560000	0.005223	0.000061	0.510314	86.710000	30230
297.340000	298.510000	0.005222	0.000061	0.510314	86.710000	30230
297.340000	298.500000	0.005222	0.000060	0.510314	86.710000	30230
297.330000	298.490000	0.005222	0.000060	0.510314	86.710000	30230
297.330000	298.470000	0.005221	0.000060	0.510314	86.710000	30230
