Temp A (K)	Temp B (K)	Current (A)	Voltage (V)	R (ohm)
297.370000	298.880000	0.000100	0.000330	3.299590
297.350000	298.880000	0.000100	0.000329	3.293688
297.360000	298.880000	0.000100	0.000329	3.294533
297.370000	298.890000	0.000100	0.000330	3.296218
297.360000	298.880000	0.000100	0.000329	3.294113
297.340000	298.870000	0.000100	0.000330	3.297484
297.350000	298.880000	0.000100	0.000329	3.294953
297.350000	298.880000	0.000100	0.000329	3.294957
297.370000	298.870000	0.000100	0.000330	3.295799
297.360000	298.890000	0.000100	0.000329	3.294113
297.340000	298.880000	0.000100	0.000329	3.290738
297.360000	298.900000	0.000100	0.000330	3.298327
297.360000	298.870000	0.000100	0.000329	3.292425
297.350000	298.890000	0.000100	0.000329	3.289474
297.350000	298.880000	0.000100	0.000329	3.294955
297.350000	298.880000	0.000100	0.000329	3.293270
297.380000	298.890000	0.000100	0.000329	3.294531
297.340000	298.880000	0.000100	0.000330	3.295373
297.370000	298.870000	0.000100	0.000330	3.298326
297.360000	298.880000	0.000100	0.000330	3.302120
297.350000	298.880000	0.000100	0.000330	3.295373
297.360000	298.870000	0.000100	0.000329	3.290317
297.370000	298.880000	0.000100	0.000329	3.292842
297.360000	298.880000	0.000100	0.000329	3.285679
297.330000	298.870000	0.000100	0.000330	3.301699
297.350000	298.880000	0.000100	0.000329	3.294953
297.370000	298.880000	0.000100	0.000329	3.292003
297.370000	298.880000	0.000100	0.000330	3.298328
297.340000	298.870000	0.000100	0.000329	3.290316
297.350000	298.870000	0.000100	0.000329	3.288628
297.340000	298.870000	0.000100	0.000330	3.297482
297.370000	298.880000	0.000100	0.000330	3.296216
Temp A (K)	Temp B (K)	Current (A)	Voltage (V)	R (ohm)
297.340000	298.640000	0.000100	0.000331	3.310961
297.350000	298.580000	0.000100	0.000330	3.297049
297.330000	298.570000	0.000100	0.000330	3.299158
297.330000	298.560000	0.000100	0.000331	3.305057
297.340000	298.540000	0.000100	0.000330	3.303793
297.330000	298.560000	0.000100	0.000331	3.305061
297.340000	298.510000	0.000100	0.000330	3.297048
297.340000	298.500000	0.000100	0.000330	3.298313
297.330000	298.490000	0.000100	0.000331	3.313066
297.330000	298.470000	0.000100	0.000331	3.305903
297.330000	298.450000	0.000100	0.000331	3.311804
297.350000	298.450000	0.000100	0.000331	3.309275
297.350000	298.410000	0.000100	0.000331	3.307166
297.340000	298.410000	0.000100	0.000330	3.299999
297.340000	298.400000	0.000100	0.000331	3.307164
297.360000	298.380000	0.000100	0.000331	3.307165
297.350000	298.360000	0.000100	0.000331	3.313909
297.350000	298.360000	0.000100	0.000331	3.308431
297.350000	298.330000	0.000100	0.000331	3.305055
297.340000	298.320000	0.000100	0.000331	3.309695
297.360000	298.310000	0.000100	0.000330	3.301685
297.350000	298.290000	0.000100	0.000331	3.309273
297.350000	298.280000	0.000100	0.000331	3.306743
297.340000	298.260000	0.000100	0.000331	3.305481
297.360000	298.240000	0.000100	0.000331	3.306742
297.330000	298.230000	0.000100	0.000331	3.306743
297.350000	298.220000	0.000100	0.000330	3.303792
297.340000	298.190000	0.000100	0.000330	3.303791
297.330000	298.200000	0.000100	0.000331	3.313911
297.340000	298.170000	0.000100	0.000331	3.307166
297.330000	298.170000	0.000100	0.000332	3.319389
297.340000	298.150000	0.000100	0.000331	3.305055
297.330000	298.130000	0.000100	0.000331	3.308006
297.330000	298.120000	0.000100	0.000331	3.308010
297.340000	298.110000	0.000100	0.000331	3.307165
297.350000	298.100000	0.000100	0.000331	3.308849
297.350000	298.080000	0.000100	0.000331	3.311381
297.330000	298.060000	0.000100	0.000331	3.308853
297.340000	298.040000	0.000100	0.000331	3.310537
297.350000	298.040000	0.000100	0.000330	3.299999
297.340000	298.010000	0.000100	0.000331	3.312222
297.350000	298.000000	0.000100	0.000331	3.310116
297.340000	298.000000	0.000100	0.000331	3.309695
297.350000	297.990000	0.000100	0.000332	3.318123
297.330000	297.970000	0.000100	0.000331	3.307590
