Temp A (K)	Temp B (K)	current (A)	voltage (V)	R (ohm)
9.787000	8.352000	5.000000E-6	2.217930E-4	44.358600
9.713000	8.179000	5.000000E-6	2.209809E-4	44.196180
9.686000	8.207000	5.000000E-6	2.201421E-4	44.028420
9.727000	8.974000	5.000000E-6	2.188312E-4	43.766240
9.842000	9.136000	5.000000E-6	2.171312E-4	43.426230
9.906000	8.925000	5.000000E-6	2.146991E-4	42.939830
9.923000	8.532000	5.000000E-6	2.131299E-4	42.625970
9.903000	8.362000	5.000000E-6	2.115084E-4	42.301690
9.887000	8.364000	5.000000E-6	2.096384E-4	41.927690
9.917000	8.989000	5.000000E-6	2.074368E-4	41.487370
10.013000	9.370000	5.000000E-6	2.060614E-4	41.212270
10.088000	9.196000	5.000000E-6	2.040354E-4	40.807090
10.110000	8.766000	5.000000E-6	2.022189E-4	40.443770
10.096000	8.567000	5.000000E-6	2.007632E-4	40.152640
10.075000	8.575000	5.000000E-6	1.989058E-4	39.781170
10.101000	8.947000	5.000000E-6	1.975430E-4	39.508600
10.164000	9.546000	5.000000E-6	1.960734E-4	39.214680
10.248000	9.220000	5.000000E-6	1.944872E-4	38.897440
10.264000	9.028000	5.000000E-6	1.928392E-4	38.567830
10.269000	8.670000	5.000000E-6	1.916758E-4	38.335160
10.246000	8.674000	5.000000E-6	1.899477E-4	37.989540
10.247000	9.327000	5.000000E-6	1.889192E-4	37.783840
10.332000	9.657000	5.000000E-6	1.876281E-4	37.525610
10.381000	9.490000	5.000000E-6	1.865504E-4	37.310080
10.411000	9.055000	5.000000E-6	1.851201E-4	37.024030
10.396000	8.988000	5.000000E-6	1.838964E-4	36.779280
10.396000	8.800000	5.000000E-6	1.825996E-4	36.519920
10.380000	9.193000	5.000000E-6	1.814811E-4	36.296230
10.441000	9.640000	5.000000E-6	1.802476E-4	36.049520
10.497000	9.749000	5.000000E-6	1.789396E-4	35.787910
10.545000	9.289000	5.000000E-6	1.780208E-4	35.604150
10.537000	9.160000	5.000000E-6	1.770162E-4	35.403240
10.533000	8.974000	5.000000E-6	1.760904E-4	35.218070
10.511000	9.127000	5.000000E-6	1.750492E-4	35.009840
10.550000	9.526000	5.000000E-6	1.738634E-4	34.772680
10.601000	9.942000	5.000000E-6	1.728153E-4	34.563050
10.668000	9.503000	5.000000E-6	1.717756E-4	34.355120
10.685000	9.557000	5.000000E-6	1.713513E-4	34.270250
10.694000	9.267000	5.000000E-6	1.696723E-4	33.934460
10.675000	9.074000	5.000000E-6	1.682631E-4	33.652620
10.656000	9.108000	5.000000E-6	1.678852E-4	33.577040
10.684000	9.920000	5.000000E-6	1.669678E-4	33.393550
10.770000	9.971000	5.000000E-6	1.658213E-4	33.164250
10.814000	9.781000	5.000000E-6	1.650007E-4	33.000150
10.823000	9.328000	5.000000E-6	1.640131E-4	32.802620
10.810000	9.233000	5.000000E-6	1.628751E-4	32.575010
10.787000	9.203000	5.000000E-6	1.620615E-4	32.412310
10.806000	9.882000	5.000000E-6	1.611695E-4	32.233890
10.881000	10.179000	5.000000E-6	1.603124E-4	32.062480
10.938000	9.993000	5.000000E-6	1.589903E-4	31.798060
10.956000	9.619000	5.000000E-6	1.581178E-4	31.623560
10.947000	9.409000	5.000000E-6	1.572593E-4	31.451870
10.926000	9.352000	5.000000E-6	1.564445E-4	31.288900
10.933000	9.812000	5.000000E-6	1.550803E-4	31.016060
10.996000	10.353000	5.000000E-6	1.546252E-4	30.925030
11.063000	10.225000	5.000000E-6	1.538819E-4	30.776390
