Voltage (mV)	current (mA)	time elapsed sec)	temp A (K)	temp B (K)
-1.556274E+1	-9.000000E-1	07-Apr-19 5:33:25 PM	3.369000	3.164000
-1.548058E+1	-8.950000E-1	07-Apr-19 5:33:27 PM	3.370000	3.163000
-1.539925E+1	-8.900000E-1	07-Apr-19 5:33:29 PM	3.372000	3.162000
-1.531513E+1	-8.850000E-1	07-Apr-19 5:33:31 PM	3.374000	3.162000
-1.523166E+1	-8.800000E-1	07-Apr-19 5:33:33 PM	3.376000	3.163000
-1.514832E+1	-8.750000E-1	07-Apr-19 5:33:35 PM	3.378000	3.164000
-1.506420E+1	-8.700000E-1	07-Apr-19 5:33:37 PM	3.367000	3.167000
-1.497925E+1	-8.650000E-1	07-Apr-19 5:33:39 PM	3.368000	3.166000
-1.489671E+1	-8.600000E-1	07-Apr-19 5:33:41 PM	3.369000	3.165000
-1.481302E+1	-8.550000E-1	07-Apr-19 5:33:43 PM	3.370000	3.164000
-1.473034E+1	-8.500000E-1	07-Apr-19 5:33:45 PM	3.373000	3.166000
-1.464683E+1	-8.450000E-1	07-Apr-19 5:33:47 PM	3.374000	3.166000
-1.456276E+1	-8.400000E-1	07-Apr-19 5:33:49 PM	3.376000	3.168000
-1.447794E+1	-8.350000E-1	07-Apr-19 5:33:51 PM	3.368000	3.170000
-1.439514E+1	-8.300000E-1	07-Apr-19 5:33:53 PM	3.368000	3.169000
-1.431130E+1	-8.250000E-1	07-Apr-19 5:33:55 PM	3.370000	3.169000
-1.422700E+1	-8.200000E-1	07-Apr-19 5:33:57 PM	3.371000	3.169000
-1.414342E+1	-8.150000E-1	07-Apr-19 5:33:59 PM	3.372000	3.168000
-1.405893E+1	-8.100000E-1	07-Apr-19 5:34:01 PM	3.374000	3.171000
-1.397629E+1	-8.050000E-1	07-Apr-19 5:34:03 PM	3.367000	3.172000
-1.389254E+1	-8.000000E-1	07-Apr-19 5:34:05 PM	3.369000	3.172000
-1.381227E+1	-7.950000E-1	07-Apr-19 5:34:07 PM	3.369000	3.172000
-1.372850E+1	-7.900000E-1	07-Apr-19 5:34:09 PM	3.370000	3.172000
-1.364491E+1	-7.850000E-1	07-Apr-19 5:34:11 PM	3.371000	3.170000
-1.356162E+1	-7.800000E-1	07-Apr-19 5:34:13 PM	3.373000	3.175000
-1.347721E+1	-7.750000E-1	07-Apr-19 5:34:15 PM	3.368000	3.175000
-1.339442E+1	-7.700000E-1	07-Apr-19 5:34:17 PM	3.368000	3.174000
-1.331124E+1	-7.650000E-1	07-Apr-19 5:34:19 PM	3.370000	3.176000
-1.322681E+1	-7.600000E-1	07-Apr-19 5:34:21 PM	3.371000	3.175000
-1.314436E+1	-7.550000E-1	07-Apr-19 5:34:23 PM	3.371000	3.174000
-1.305859E+1	-7.500000E-1	07-Apr-19 5:34:25 PM	3.372000	3.183000
-1.297474E+1	-7.450000E-1	07-Apr-19 5:34:27 PM	3.368000	3.181000
-1.289315E+1	-7.400000E-1	07-Apr-19 5:34:29 PM	3.369000	3.180000
-1.281057E+1	-7.350000E-1	07-Apr-19 5:34:31 PM	3.370000	3.178000
