Voltage (mV)	current (mA)	time elapsed sec)	temp A (K)	temp B (K)
-8.123713E+0	-8.000000E-1	29-Mar-19 3:53:08 PM	5.103000	4.582000
-8.079641E+0	-7.950000E-1	29-Mar-19 3:53:10 PM	5.080000	4.585000
-8.034918E+0	-7.900000E-1	29-Mar-19 3:53:12 PM	5.081000	4.588000
-7.990737E+0	-7.850000E-1	29-Mar-19 3:53:14 PM	5.081000	4.591000
-7.946357E+0	-7.800000E-1	29-Mar-19 3:53:16 PM	5.080000	4.592000
-7.901515E+0	-7.750000E-1	29-Mar-19 3:53:18 PM	5.081000	4.596000
-7.857278E+0	-7.700000E-1	29-Mar-19 3:53:20 PM	5.082000	4.488000
-7.812929E+0	-7.650000E-1	29-Mar-19 3:53:22 PM	5.033000	4.489000
-7.768724E+0	-7.600000E-1	29-Mar-19 3:53:24 PM	5.035000	4.492000
-7.724999E+0	-7.550000E-1	29-Mar-19 3:53:26 PM	5.036000	4.495000
-7.681232E+0	-7.500000E-1	29-Mar-19 3:53:28 PM	5.037000	4.495000
-7.637052E+0	-7.450000E-1	29-Mar-19 3:53:30 PM	5.039000	4.497000
-7.592842E+0	-7.400000E-1	29-Mar-19 3:53:32 PM	5.039000	4.438000
-7.549569E+0	-7.350000E-1	29-Mar-19 3:53:34 PM	4.987000	4.439000
-7.505720E+0	-7.300000E-1	29-Mar-19 3:53:36 PM	4.987000	4.438000
-7.462076E+0	-7.250000E-1	29-Mar-19 3:53:38 PM	4.988000	4.438000
-7.418328E+0	-7.200000E-1	29-Mar-19 3:53:40 PM	4.989000	4.437000
-7.374992E+0	-7.150000E-1	29-Mar-19 3:53:42 PM	4.990000	4.437000
-7.330917E+0	-7.100000E-1	29-Mar-19 3:53:44 PM	4.990000	4.438000
-7.287042E+0	-7.050000E-1	29-Mar-19 3:53:46 PM	4.949000	4.438000
-7.243863E+0	-7.000000E-1	29-Mar-19 3:53:48 PM	4.949000	4.438000
-7.200171E+0	-6.950000E-1	29-Mar-19 3:53:50 PM	4.950000	4.438000
-7.157354E+0	-6.900000E-1	29-Mar-19 3:53:52 PM	4.950000	4.436000
-7.113771E+0	-6.850000E-1	29-Mar-19 3:53:54 PM	4.996000	4.440000
-7.070888E+0	-6.800000E-1	29-Mar-19 3:53:56 PM	5.000000	4.440000
-7.027835E+0	-6.750000E-1	29-Mar-19 3:53:58 PM	4.956000	4.439000
-6.984517E+0	-6.700000E-1	29-Mar-19 3:54:00 PM	4.957000	4.437000
-6.942026E+0	-6.650000E-1	29-Mar-19 3:54:02 PM	4.958000	4.439000
-6.898350E+0	-6.600000E-1	29-Mar-19 3:54:04 PM	4.959000	4.439000
-6.855757E+0	-6.550000E-1	29-Mar-19 3:54:06 PM	4.960000	4.438000
