Voltage (mV)	current (mA)	time elapsed sec)	temp A (K)	temp B (K)
-3.486353E+0	-1.000000E-1	07-Apr-19 4:08:56 PM	2.934000	2.851000
-3.478054E+0	-9.900000E-2	07-Apr-19 4:08:58 PM	2.934000	2.850000
-3.468329E+0	-9.800000E-2	07-Apr-19 4:09:00 PM	2.934000	2.849000
-3.458570E+0	-9.700000E-2	07-Apr-19 4:09:02 PM	2.935000	2.932000
-3.448811E+0	-9.600000E-2	07-Apr-19 4:09:04 PM	2.948000	2.926000
-3.438791E+0	-9.500000E-2	07-Apr-19 4:09:06 PM	2.946000	2.919000
-3.430967E+0	-9.400000E-2	07-Apr-19 4:09:08 PM	2.944000	2.912000
-3.420607E+0	-9.300000E-2	07-Apr-19 4:09:10 PM	2.942000	2.903000
-3.411056E+0	-9.200000E-2	07-Apr-19 4:09:12 PM	2.940000	2.895000
-3.401384E+0	-9.100000E-2	07-Apr-19 4:09:14 PM	2.939000	2.990000
-3.391600E+0	-9.000000E-2	07-Apr-19 4:09:16 PM	2.975000	2.982000
-3.383364E+0	-8.900000E-2	07-Apr-19 4:09:18 PM	2.972000	2.975000
-3.372894E+0	-8.800000E-2	07-Apr-19 4:09:20 PM	2.969000	2.968000
-3.363008E+0	-8.700000E-2	07-Apr-19 4:09:22 PM	2.966000	2.963000
-3.353280E+0	-8.600000E-2	07-Apr-19 4:09:24 PM	2.963000	2.957000
-3.343447E+0	-8.500000E-2	07-Apr-19 4:09:26 PM	2.961000	3.047000
-3.335532E+0	-8.400000E-2	07-Apr-19 4:09:28 PM	3.019000	3.044000
-3.325095E+0	-8.300000E-2	07-Apr-19 4:09:30 PM	3.014000	3.042000
-3.315260E+0	-8.200000E-2	07-Apr-19 4:09:32 PM	3.007000	3.038000
-3.305718E+0	-8.100000E-2	07-Apr-19 4:09:34 PM	3.001000	3.034000
-3.295588E+0	-8.000000E-2	07-Apr-19 4:09:36 PM	2.998000	3.031000
-3.286691E+0	-7.900000E-2	07-Apr-19 4:09:38 PM	2.994000	3.060000
-3.276660E+0	-7.800000E-2	07-Apr-19 4:09:40 PM	3.083000	3.061000
-3.266207E+0	-7.700000E-2	07-Apr-19 4:09:42 PM	3.079000	3.061000
