Voltage (mV)	current (mA)	time elapsed sec)	temp A (K)	temp B (K)
-1.919317E+0	-1.000000E-2	07-Apr-19 5:49:23 PM	3.415000	3.289000
-1.852712E+0	-9.000000E-3	07-Apr-19 5:49:25 PM	3.412000	3.273000
-1.774547E+0	-8.000000E-3	07-Apr-19 5:49:27 PM	3.409000	3.260000
-1.698094E+0	-7.000000E-3	07-Apr-19 5:49:29 PM	3.407000	3.251000
-1.591719E+0	-6.000000E-3	07-Apr-19 5:49:31 PM	3.407000	3.245000
-1.463298E+0	-5.000000E-3	07-Apr-19 5:49:33 PM	3.406000	3.344000
-1.302644E+0	-4.000000E-3	07-Apr-19 5:49:35 PM	3.425000	3.327000
-1.089609E+0	-3.000000E-3	07-Apr-19 5:49:37 PM	3.419000	3.309000
-8.572439E-1	-2.000000E-3	07-Apr-19 5:49:39 PM	3.414000	3.290000
-4.954070E-1	-1.000000E-3	07-Apr-19 5:49:41 PM	3.409000	3.273000
-4.106426E-2	-1.694066E-18	07-Apr-19 5:49:43 PM	3.408000	3.259000
3.217186E-1	1.000000E-3	07-Apr-19 5:49:45 PM	3.406000	3.249000
7.274261E-1	2.000000E-3	07-Apr-19 5:49:47 PM	3.438000	3.354000
1.042659E+0	3.000000E-3	07-Apr-19 5:49:49 PM	3.430000	3.339000
1.282805E+0	4.000000E-3	07-Apr-19 5:49:51 PM	3.423000	3.324000
1.472416E+0	5.000000E-3	07-Apr-19 5:49:53 PM	3.418000	3.307000
1.596244E+0	6.000000E-3	07-Apr-19 5:49:55 PM	3.414000	3.288000
1.716493E+0	7.000000E-3	07-Apr-19 5:49:57 PM	3.411000	3.271000
1.812969E+0	8.000000E-3	07-Apr-19 5:49:59 PM	3.409000	3.379000
1.894798E+0	9.000000E-3	07-Apr-19 5:50:01 PM	3.448000	3.367000
1.964819E+0	1.000000E-2	07-Apr-19 5:50:03 PM	3.439000	3.354000
2.015889E+0	1.100000E-2	07-Apr-19 5:50:05 PM	3.406000	3.240000
Voltage (mV)	current (mA)	time elapsed sec)	temp A (K)	temp B (K)
-2.923762E+0	-5.000000E-2	07-Apr-19 5:50:23 PM	3.487000	3.436000
-2.909746E+0	-4.900000E-2	07-Apr-19 5:50:25 PM	3.477000	3.416000
-2.895507E+0	-4.800000E-2	07-Apr-19 5:50:27 PM	3.466000	3.396000
-2.880957E+0	-4.700000E-2	07-Apr-19 5:50:29 PM	3.457000	3.381000
-2.865898E+0	-4.600000E-2	07-Apr-19 5:50:31 PM	3.447000	3.367000
-2.852899E+0	-4.500000E-2	07-Apr-19 5:50:34 PM	3.437000	3.354000
-2.837403E+0	-4.400000E-2	07-Apr-19 5:50:36 PM	3.431000	3.464000
-2.821338E+0	-4.300000E-2	07-Apr-19 5:50:38 PM	3.495000	3.448000
-2.805392E+0	-4.200000E-2	07-Apr-19 5:50:40 PM	3.485000	3.430000
-2.790981E+0	-4.100000E-2	07-Apr-19 5:50:42 PM	3.474000	3.409000
-2.774403E+0	-4.000000E-2	07-Apr-19 5:50:44 PM	3.463000	3.390000
-2.752558E+0	-3.900000E-2	07-Apr-19 5:50:46 PM	3.453000	3.375000
-2.739006E+0	-3.800000E-2	07-Apr-19 5:50:48 PM	3.444000	3.482000
-2.721033E+0	-3.700000E-2	07-Apr-19 5:50:50 PM	3.515000	3.473000
-2.707196E+0	-3.600000E-2	07-Apr-19 5:50:52 PM	3.502000	3.459000
-2.689269E+0	-3.500000E-2	07-Apr-19 5:50:54 PM	3.491000	3.442000
-2.669939E+0	-3.400000E-2	07-Apr-19 5:50:56 PM	3.481000	3.423000
-2.649710E+0	-3.300000E-2	07-Apr-19 5:50:58 PM	3.470000	3.403000
-2.630869E+0	-3.200000E-2	07-Apr-19 5:51:00 PM	3.461000	3.492000
-2.614015E+0	-3.100000E-2	07-Apr-19 5:51:02 PM	3.539000	3.488000
-2.591507E+0	-3.000000E-2	07-Apr-19 5:51:04 PM	3.528000	3.482000
