Voltage (mV)	current (mA)	time elapsed sec)	temp A (K)	temp B (K)
-4.535694E+0	-2.000000E-1	07-Apr-19 4:24:32 PM	3.092000	2.878000
-4.523071E+0	-1.990000E-1	07-Apr-19 4:24:34 PM	3.029000	2.884000
-4.510527E+0	-1.980000E-1	07-Apr-19 4:24:37 PM	3.037000	2.891000
-4.498200E+0	-1.970000E-1	07-Apr-19 4:24:39 PM	3.045000	2.899000
-4.485763E+0	-1.960000E-1	07-Apr-19 4:24:41 PM	3.051000	2.907000
-4.475622E+0	-1.950000E-1	07-Apr-19 4:24:43 PM	3.060000	2.915000
-4.463429E+0	-1.940000E-1	07-Apr-19 4:24:45 PM	3.067000	2.858000
-4.451028E+0	-1.930000E-1	07-Apr-19 4:24:47 PM	2.997000	2.863000
-4.438782E+0	-1.920000E-1	07-Apr-19 4:24:49 PM	3.003000	2.868000
-4.426224E+0	-1.910000E-1	07-Apr-19 4:24:51 PM	3.011000	2.872000
-4.416162E+0	-1.900000E-1	07-Apr-19 4:24:53 PM	3.019000	2.877000
-4.403447E+0	-1.890000E-1	07-Apr-19 4:24:55 PM	3.027000	2.883000
-4.391422E+0	-1.880000E-1	07-Apr-19 4:24:57 PM	3.035000	2.838000
-4.379510E+0	-1.870000E-1	07-Apr-19 4:24:59 PM	2.981000	2.841000
-4.369867E+0	-1.860000E-1	07-Apr-19 4:25:01 PM	2.984000	2.846000
-4.357772E+0	-1.850000E-1	07-Apr-19 4:25:03 PM	2.988000	2.850000
-4.345521E+0	-1.840000E-1	07-Apr-19 4:25:05 PM	2.991000	2.855000
-4.333954E+0	-1.830000E-1	07-Apr-19 4:25:07 PM	2.995000	2.860000
-4.322428E+0	-1.820000E-1	07-Apr-19 4:25:09 PM	2.998000	2.829000
-4.312849E+0	-1.810000E-1	07-Apr-19 4:25:11 PM	2.964000	2.829000
-4.300609E+0	-1.800000E-1	07-Apr-19 4:25:13 PM	2.967000	2.830000
-4.289028E+0	-1.790000E-1	07-Apr-19 4:25:15 PM	2.970000	2.832000
-4.277409E+0	-1.780000E-1	07-Apr-19 4:25:17 PM	2.973000	2.834000
