Voltage (mV)	current (mA)	time elapsed sec)	temp A (K)	temp B (K)
-1.556549E+1	-9.000000E-1	07-Apr-19 5:58:29 PM	4.086000	3.868000
-1.548318E+1	-8.950000E-1	07-Apr-19 5:58:31 PM	4.087000	3.868000
-1.539980E+1	-8.900000E-1	07-Apr-19 5:58:33 PM	4.087000	3.869000
-1.531673E+1	-8.850000E-1	07-Apr-19 5:58:35 PM	4.087000	3.869000
-1.523322E+1	-8.800000E-1	07-Apr-19 5:58:37 PM	4.087000	3.869000
-1.514971E+1	-8.750000E-1	07-Apr-19 5:58:39 PM	4.088000	3.775000
-1.506606E+1	-8.700000E-1	07-Apr-19 5:58:41 PM	4.090000	3.775000
-1.498256E+1	-8.650000E-1	07-Apr-19 5:58:43 PM	4.090000	3.775000
-1.489973E+1	-8.600000E-1	07-Apr-19 5:58:45 PM	4.091000	3.776000
-1.481532E+1	-8.550000E-1	07-Apr-19 5:58:47 PM	4.090000	3.776000
-1.473080E+1	-8.500000E-1	07-Apr-19 5:58:49 PM	4.091000	3.777000
-1.464719E+1	-8.450000E-1	07-Apr-19 5:58:51 PM	4.091000	3.658000
-1.456432E+1	-8.400000E-1	07-Apr-19 5:58:53 PM	4.050000	3.659000
-1.447919E+1	-8.350000E-1	07-Apr-19 5:58:55 PM	4.050000	3.659000
-1.439568E+1	-8.300000E-1	07-Apr-19 5:58:57 PM	4.051000	3.660000
-1.431270E+1	-8.250000E-1	07-Apr-19 5:58:59 PM	4.051000	3.660000
-1.422808E+1	-8.200000E-1	07-Apr-19 5:59:01 PM	4.051000	3.661000
-1.414513E+1	-8.150000E-1	07-Apr-19 5:59:03 PM	4.051000	3.585000
-1.406079E+1	-8.100000E-1	07-Apr-19 5:59:05 PM	3.991000	3.584000
-1.397670E+1	-8.050000E-1	07-Apr-19 5:59:07 PM	3.992000	3.584000
-1.389300E+1	-8.000000E-1	07-Apr-19 5:59:09 PM	3.991000	3.585000
-1.381132E+1	-7.950000E-1	07-Apr-19 5:59:11 PM	3.991000	3.583000
-1.372909E+1	-7.900000E-1	07-Apr-19 5:59:13 PM	3.991000	3.583000
-1.364524E+1	-7.850000E-1	07-Apr-19 5:59:15 PM	3.991000	3.564000
-1.356190E+1	-7.800000E-1	07-Apr-19 5:59:17 PM	3.941000	3.566000
-1.347838E+1	-7.750000E-1	07-Apr-19 5:59:20 PM	3.942000	3.566000
-1.339528E+1	-7.700000E-1	07-Apr-19 5:59:22 PM	3.942000	3.567000
-1.331151E+1	-7.650000E-1	07-Apr-19 5:59:24 PM	3.942000	3.567000
-1.322787E+1	-7.600000E-1	07-Apr-19 5:59:26 PM	3.942000	3.566000
-1.314413E+1	-7.550000E-1	07-Apr-19 5:59:28 PM	3.942000	3.571000
-1.306014E+1	-7.500000E-1	07-Apr-19 5:59:30 PM	3.919000	3.572000
-1.297797E+1	-7.450000E-1	07-Apr-19 5:59:32 PM	3.921000	3.574000
-1.289420E+1	-7.400000E-1	07-Apr-19 5:59:34 PM	3.921000	3.574000
-1.281123E+1	-7.350000E-1	07-Apr-19 5:59:36 PM	3.947000	3.569000
-1.272709E+1	-7.300000E-1	07-Apr-19 5:59:38 PM	3.948000	3.570000
-1.264437E+1	-7.250000E-1	07-Apr-19 5:59:40 PM	3.947000	3.574000
-1.255960E+1	-7.200000E-1	07-Apr-19 5:59:42 PM	3.922000	3.573000
-1.247629E+1	-7.150000E-1	07-Apr-19 5:59:44 PM	3.923000	3.574000
-1.239287E+1	-7.100000E-1	07-Apr-19 5:59:46 PM	3.922000	3.573000
-1.230912E+1	-7.050000E-1	07-Apr-19 5:59:48 PM	3.922000	3.572000
-1.222633E+1	-7.000000E-1	07-Apr-19 5:59:50 PM	3.922000	3.573000
-1.214298E+1	-6.950000E-1	07-Apr-19 5:59:52 PM	3.923000	3.579000
-1.205950E+1	-6.900000E-1	07-Apr-19 5:59:54 PM	3.913000	3.580000
-1.197500E+1	-6.850000E-1	07-Apr-19 5:59:56 PM	3.913000	3.580000
-1.189348E+1	-6.800000E-1	07-Apr-19 5:59:58 PM	3.913000	3.580000
-1.180968E+1	-6.750000E-1	07-Apr-19 6:00:00 PM	3.913000	3.580000
-1.172670E+1	-6.700000E-1	07-Apr-19 6:00:02 PM	3.914000	3.580000
-1.164346E+1	-6.650000E-1	07-Apr-19 6:00:04 PM	3.914000	3.616000
-1.155985E+1	-6.600000E-1	07-Apr-19 6:00:06 PM	3.917000	3.616000
-1.147757E+1	-6.550000E-1	07-Apr-19 6:00:08 PM	3.918000	3.616000
-1.139801E+1	-6.500000E-1	07-Apr-19 6:00:10 PM	3.917000	3.615000
-1.131671E+1	-6.450000E-1	07-Apr-19 6:00:12 PM	3.918000	3.615000
-1.123346E+1	-6.400000E-1	07-Apr-19 6:00:14 PM	3.917000	3.614000
-1.115053E+1	-6.350000E-1	07-Apr-19 6:00:16 PM	3.917000	3.750000
-1.106851E+1	-6.300000E-1	07-Apr-19 6:00:18 PM	3.951000	3.748000
-1.098599E+1	-6.250000E-1	07-Apr-19 6:00:20 PM	3.953000	3.750000
-1.090314E+1	-6.200000E-1	07-Apr-19 6:00:22 PM	3.952000	3.748000
-1.082081E+1	-6.150000E-1	07-Apr-19 6:00:24 PM	3.950000	3.746000
-1.073780E+1	-6.100000E-1	07-Apr-19 6:00:26 PM	3.951000	3.746000
-1.065515E+1	-6.050000E-1	07-Apr-19 6:00:28 PM	3.951000	3.884000
-1.057289E+1	-6.000000E-1	07-Apr-19 6:00:30 PM	4.021000	3.883000
-1.049057E+1	-5.950000E-1	07-Apr-19 6:00:32 PM	4.020000	3.881000
-1.040852E+1	-5.900000E-1	07-Apr-19 6:00:34 PM	4.020000	3.881000
-1.032656E+1	-5.850000E-1	07-Apr-19 6:00:36 PM	4.019000	3.880000
-1.024424E+1	-5.800000E-1	07-Apr-19 6:00:38 PM	4.019000	3.880000
-1.016206E+1	-5.750000E-1	07-Apr-19 6:00:40 PM	4.019000	3.898000
-1.008057E+1	-5.700000E-1	07-Apr-19 6:00:42 PM	4.086000	3.898000
-9.998695E+0	-5.650000E-1	07-Apr-19 6:00:44 PM	4.086000	3.900000
-9.917716E+0	-5.600000E-1	07-Apr-19 6:00:46 PM	4.085000	3.899000
-9.836493E+0	-5.550000E-1	07-Apr-19 6:00:48 PM	4.085000	3.900000
-9.754830E+0	-5.500000E-1	07-Apr-19 6:00:50 PM	4.084000	3.899000
-9.673043E+0	-5.450000E-1	07-Apr-19 6:00:52 PM	4.084000	3.819000
-9.592034E+0	-5.400000E-1	07-Apr-19 6:00:54 PM	4.104000	3.820000
-9.511977E+0	-5.350000E-1	07-Apr-19 6:00:56 PM	4.105000	3.822000
-9.431437E+0	-5.300000E-1	07-Apr-19 6:00:58 PM	4.105000	3.823000
-9.350711E+0	-5.250000E-1	07-Apr-19 6:01:00 PM	4.105000	3.825000
-9.269678E+0	-5.200000E-1	07-Apr-19 6:01:02 PM	4.105000	3.825000
-9.189496E+0	-5.150000E-1	07-Apr-19 6:01:04 PM	4.105000	3.712000
-9.108762E+0	-5.100000E-1	07-Apr-19 6:01:06 PM	4.079000	3.713000
-9.030979E+0	-5.050000E-1	07-Apr-19 6:01:08 PM	4.080000	3.714000
-8.950107E+0	-5.000000E-1	07-Apr-19 6:01:10 PM	4.081000	3.716000
-8.870282E+0	-4.950000E-1	07-Apr-19 6:01:12 PM	4.082000	3.718000
-8.789899E+0	-4.900000E-1	07-Apr-19 6:01:14 PM	4.082000	3.719000
-8.710115E+0	-4.850000E-1	07-Apr-19 6:01:16 PM	4.083000	3.625000
-8.630936E+0	-4.800000E-1	07-Apr-19 6:01:18 PM	4.028000	3.624000
-8.550666E+0	-4.750000E-1	07-Apr-19 6:01:21 PM	4.029000	3.625000
-8.470964E+0	-4.700000E-1	07-Apr-19 6:01:23 PM	4.030000	3.627000
-8.391327E+0	-4.650000E-1	07-Apr-19 6:01:25 PM	4.030000	3.627000
-8.312143E+0	-4.600000E-1	07-Apr-19 6:01:27 PM	4.031000	3.629000
-8.232830E+0	-4.550000E-1	07-Apr-19 6:01:29 PM	4.032000	3.577000
-8.153842E+0	-4.500000E-1	07-Apr-19 6:01:31 PM	3.974000	3.576000
-8.074943E+0	-4.450000E-1	07-Apr-19 6:01:33 PM	3.975000	3.578000
-7.996060E+0	-4.400000E-1	07-Apr-19 6:01:35 PM	3.975000	3.577000
-7.917035E+0	-4.350000E-1	07-Apr-19 6:01:37 PM	3.976000	3.578000
-7.838388E+0	-4.300000E-1	07-Apr-19 6:01:39 PM	3.977000	3.579000
-7.760546E+0	-4.250000E-1	07-Apr-19 6:01:41 PM	3.978000	3.579000
-7.682521E+0	-4.200000E-1	07-Apr-19 6:01:43 PM	3.940000	3.580000
