TempA(K)	Current(A)	Voltage(V)	R(ohm)
3.920000	1.000000E-5	-9.000000E-7	-0.090000
3.909000	1.000000E-5	-3.035000E-7	-0.030350
3.947000	1.000000E-5	-4.200000E-7	-0.042000
3.979000	1.000000E-5	-5.130000E-7	-0.051300
4.049000	1.000000E-5	-3.090000E-7	-0.030900
4.147000	1.000000E-5	-5.045000E-7	-0.050450
4.191000	1.000000E-5	-7.940000E-7	-0.079400
TempA(K)	Current(A)	Voltage(V)	R(ohm)
4.213000	1.000000E-5	2.049500E-6	0.204950
4.119000	1.000000E-5	6.495000E-7	0.064950
TempA(K)	Current(A)	Voltage(V)	R(ohm)
4.050000	5.000000E-5	9.290000E-7	0.018580
4.034000	5.000000E-5	2.105000E-7	0.004210
4.150000	5.000000E-5	-3.380000E-7	-0.006760
4.191000	5.000000E-5	1.012000E-6	0.020240
4.043000	5.000000E-5	5.905000E-7	0.011810
4.023000	5.000000E-5	7.595000E-7	0.015190
4.088000	5.000000E-5	-6.335000E-7	-0.012670
4.229000	5.000000E-5	1.180500E-6	0.023610
4.138000	5.000000E-5	2.530000E-7	0.005060
4.086000	5.000000E-5	1.727000E-6	0.034540
4.151000	5.000000E-5	-1.349000E-6	-0.026980
4.286000	5.000000E-5	6.740000E-7	0.013480
4.261000	5.000000E-5	7.580000E-7	0.015160
4.168000	5.000000E-5	-3.785000E-7	-0.007570
4.182000	5.000000E-5	-2.277000E-6	-0.045540
4.302000	5.000000E-5	-1.519500E-6	-0.030390
4.344000	5.000000E-5	1.348500E-6	0.026970
4.266000	5.000000E-5	2.105000E-7	0.004210
4.261000	5.000000E-5	-1.095000E-6	-0.021900
4.386000	5.000000E-5	-3.795000E-7	-0.007590
4.484000	5.000000E-5	8.860000E-7	0.017720
4.391000	5.000000E-5	-3.385000E-7	-0.006770
4.354000	5.000000E-5	-1.138500E-6	-0.022770
4.403000	5.000000E-5	1.645000E-6	0.032900
4.594000	5.000000E-5	9.685000E-7	0.019370
4.525000	5.000000E-5	1.675000E-7	0.003350
4.464000	5.000000E-5	-2.100000E-7	-0.004200
4.485000	5.000000E-5	-1.562000E-6	-0.031240
4.712000	5.000000E-5	4.200000E-7	0.008400
4.710000	5.000000E-5	-1.260000E-7	-0.002520
4.616000	5.000000E-5	-3.805000E-7	-0.007610
4.621000	5.000000E-5	-1.768500E-6	-0.035370
4.733000	5.000000E-5	2.530000E-7	0.005060
4.797000	5.000000E-5	-1.270000E-7	-0.002540
4.741000	5.000000E-5	-8.300000E-8	-0.001660
4.736000	5.000000E-5	-1.137500E-6	-0.022750
4.820000	5.000000E-5	-8.830000E-7	-0.017660
4.899000	5.000000E-5	5.480000E-7	0.010960
4.862000	5.000000E-5	1.270000E-7	0.002540
4.837000	5.000000E-5	-6.760000E-7	-0.013520
4.865000	5.000000E-5	-2.109000E-6	-0.042180
5.002000	5.000000E-5	-2.140000E-7	-0.004280
4.994000	5.000000E-5	4.215000E-7	0.008430
4.949000	5.000000E-5	2.525000E-7	0.005050
4.962000	5.000000E-5	-1.095500E-6	-0.021910
5.137000	5.000000E-5	-6.325000E-7	-0.012650
5.170000	5.000000E-5	4.645000E-7	0.009290
5.104000	5.000000E-5	3.498000E-6	0.069960
5.102000	5.000000E-5	-1.812000E-6	-0.036240
5.186000	5.000000E-5	-1.263500E-6	-0.025270
5.337000	5.000000E-5	8.030000E-7	0.016060
5.253000	5.000000E-5	-2.130000E-7	-0.004260
5.234000	5.000000E-5	-1.183000E-6	-0.023660
5.269000	5.000000E-5	-1.054000E-6	-0.021080
5.497000	5.000000E-5	-8.430000E-7	-0.016860
5.461000	5.000000E-5	-4.200000E-8	-0.000840
5.400000	5.000000E-5	-1.680000E-7	-0.003360
5.427000	5.000000E-5	-1.559000E-6	-0.031180
5.585000	5.000000E-5	-1.011500E-6	-0.020230
5.585000	5.000000E-5	4.350000E-8	0.000870
5.538000	5.000000E-5	1.095000E-6	0.021900
