Voltage (mV)	current (mA)	time elapsed sec)	temp A (K)	temp B (K)
-8.958172E+0	-9.000000E-1	29-Mar-19 5:28:27 PM	14.041000	12.733000
-8.912175E+0	-8.950000E-1	29-Mar-19 5:28:29 PM	14.044000	12.728000
-8.866171E+0	-8.900000E-1	29-Mar-19 5:28:31 PM	14.045000	12.730000
-8.819321E+0	-8.850000E-1	29-Mar-19 5:28:33 PM	14.047000	12.730000
-8.772864E+0	-8.800000E-1	29-Mar-19 5:28:35 PM	14.048000	12.685000
-8.726105E+0	-8.750000E-1	29-Mar-19 5:28:37 PM	14.040000	12.688000
-8.679178E+0	-8.700000E-1	29-Mar-19 5:28:39 PM	14.042000	12.688000
-8.632671E+0	-8.650000E-1	29-Mar-19 5:28:41 PM	14.045000	12.691000
-8.586300E+0	-8.600000E-1	29-Mar-19 5:28:43 PM	14.046000	12.687000
-8.539797E+0	-8.550000E-1	29-Mar-19 5:28:45 PM	14.047000	12.685000
-8.493232E+0	-8.500000E-1	29-Mar-19 5:28:47 PM	14.047000	12.911000
-8.446488E+0	-8.450000E-1	29-Mar-19 5:28:49 PM	14.037000	12.910000
-8.399976E+0	-8.400000E-1	29-Mar-19 5:28:51 PM	14.039000	12.908000
-8.353503E+0	-8.350000E-1	29-Mar-19 5:28:53 PM	14.040000	12.898000
-8.306873E+0	-8.300000E-1	29-Mar-19 5:28:55 PM	14.039000	12.898000
-8.260414E+0	-8.250000E-1	29-Mar-19 5:28:57 PM	14.040000	12.897000
-8.213430E+0	-8.200000E-1	29-Mar-19 5:28:59 PM	14.040000	13.246000
-8.166448E+0	-8.150000E-1	29-Mar-19 5:29:01 PM	14.035000	13.243000
-8.120318E+0	-8.100000E-1	29-Mar-19 5:29:03 PM	14.035000	13.234000
-8.074196E+0	-8.050000E-1	29-Mar-19 5:29:05 PM	14.033000	13.225000
-8.028007E+0	-8.000000E-1	29-Mar-19 5:29:07 PM	14.034000	13.219000
-7.981529E+0	-7.950000E-1	29-Mar-19 5:29:09 PM	14.032000	13.205000
-7.935072E+0	-7.900000E-1	29-Mar-19 5:29:11 PM	14.032000	13.393000
-7.889207E+0	-7.850000E-1	29-Mar-19 5:29:13 PM	14.036000	13.389000
-7.842924E+0	-7.800000E-1	29-Mar-19 5:29:15 PM	14.035000	13.388000
-7.796076E+0	-7.750000E-1	29-Mar-19 5:29:17 PM	14.034000	13.385000
-7.750353E+0	-7.700000E-1	29-Mar-19 5:29:19 PM	14.034000	13.384000
-7.705108E+0	-7.650000E-1	29-Mar-19 5:29:21 PM	14.033000	13.375000
-7.659226E+0	-7.600000E-1	29-Mar-19 5:29:23 PM	14.030000	13.350000
-7.613257E+0	-7.550000E-1	29-Mar-19 5:29:25 PM	14.041000	13.352000
-7.567315E+0	-7.500000E-1	29-Mar-19 5:29:27 PM	14.039000	13.348000
-7.521144E+0	-7.450000E-1	29-Mar-19 5:29:29 PM	14.036000	13.349000
