Voltage (mV)	current (mA)	time elapsed sec)	temp A (K)	temp B (K)
-8.577929E+0	-6.000000E+0	17-Mar-19 1:52:08 PM	2.876000	2.796000
-8.435910E+0	-5.900000E+0	17-Mar-19 1:52:11 PM	2.933000	2.773000
-8.291669E+0	-5.800000E+0	17-Mar-19 1:52:13 PM	2.994000	2.989000
-8.148742E+0	-5.700000E+0	17-Mar-19 1:52:16 PM	2.877000	2.800000
-8.004327E+0	-5.600000E+0	17-Mar-19 1:52:19 PM	2.926000	2.793000
-7.860049E+0	-5.500000E+0	17-Mar-19 1:52:21 PM	2.997000	2.982000
-7.716958E+0	-5.400000E+0	17-Mar-19 1:52:24 PM	2.875000	2.807000
-7.572837E+0	-5.300000E+0	17-Mar-19 1:52:27 PM	2.921000	2.786000
-7.428390E+0	-5.200000E+0	17-Mar-19 1:52:29 PM	2.999000	2.975000
-7.286124E+0	-5.100000E+0	17-Mar-19 1:52:32 PM	2.874000	2.784000
-7.142462E+0	-5.000000E+0	17-Mar-19 1:52:35 PM	2.916000	2.780000
-6.999316E+0	-4.900000E+0	17-Mar-19 1:52:37 PM	2.973000	2.968000
-6.857553E+0	-4.800000E+0	17-Mar-19 1:52:40 PM	2.874000	2.785000
-6.715159E+0	-4.700000E+0	17-Mar-19 1:52:43 PM	2.911000	2.775000
-6.572300E+0	-4.600000E+0	17-Mar-19 1:52:45 PM	2.978000	2.993000
-6.431357E+0	-4.500000E+0	17-Mar-19 1:52:48 PM	2.874000	2.788000
-6.288262E+0	-4.400000E+0	17-Mar-19 1:52:51 PM	2.943000	2.772000
-6.145238E+0	-4.300000E+0	17-Mar-19 1:52:53 PM	2.983000	2.993000
-6.004840E+0	-4.200000E+0	17-Mar-19 1:52:56 PM	2.873000	2.789000
-5.862331E+0	-4.100000E+0	17-Mar-19 1:52:59 PM	2.936000	2.805000
-5.720016E+0	-4.000000E+0	17-Mar-19 1:53:01 PM	2.987000	2.991000
-5.579100E+0	-3.900000E+0	17-Mar-19 1:53:04 PM	2.873000	2.776000
-5.436356E+0	-3.800000E+0	17-Mar-19 1:53:07 PM	2.932000	2.800000
-5.293827E+0	-3.700000E+0	17-Mar-19 1:53:09 PM	2.946000	2.988000
-5.152578E+0	-3.600000E+0	17-Mar-19 1:53:12 PM	2.873000	2.777000
-5.009677E+0	-3.500000E+0	17-Mar-19 1:53:14 PM	2.927000	2.793000
-4.868752E+0	-3.400000E+0	17-Mar-19 1:53:17 PM	2.954000	2.982000
-4.729094E+0	-3.300000E+0	17-Mar-19 1:53:20 PM	2.873000	2.779000
-4.587401E+0	-3.200000E+0	17-Mar-19 1:53:22 PM	2.962000	2.787000
-4.446766E+0	-3.100000E+0	17-Mar-19 1:53:25 PM	2.960000	2.986000
-4.306698E+0	-3.000000E+0	17-Mar-19 1:53:28 PM	2.873000	2.782000
-4.164860E+0	-2.900000E+0	17-Mar-19 1:53:30 PM	2.957000	2.829000
-4.024588E+0	-2.800000E+0	17-Mar-19 1:53:33 PM	2.967000	2.988000
-3.885644E+0	-2.700000E+0	17-Mar-19 1:53:36 PM	2.875000	2.783000
-3.745351E+0	-2.600000E+0	17-Mar-19 1:53:38 PM	2.951000	2.820000
-3.606399E+0	-2.500000E+0	17-Mar-19 1:53:41 PM	2.972000	2.990000
-3.468722E+0	-2.400000E+0	17-Mar-19 1:53:44 PM	2.874000	2.774000
-3.331566E+0	-2.300000E+0	17-Mar-19 1:53:46 PM	2.945000	2.813000
-3.197888E+0	-2.200000E+0	17-Mar-19 1:53:49 PM	2.924000	2.991000
-3.065992E+0	-2.100000E+0	17-Mar-19 1:53:52 PM	2.873000	2.773000
-2.932553E+0	-2.000000E+0	17-Mar-19 1:53:54 PM	2.940000	2.809000
-2.802129E+0	-1.900000E+0	17-Mar-19 1:53:57 PM	2.932000	2.956000
-2.676602E+0	-1.800000E+0	17-Mar-19 1:54:00 PM	2.873000	2.775000
-2.552082E+0	-1.700000E+0	17-Mar-19 1:54:02 PM	2.975000	2.868000
-2.428106E+0	-1.600000E+0	17-Mar-19 1:54:05 PM	2.890000	2.871000
-2.299674E+0	-1.500000E+0	17-Mar-19 1:54:08 PM	2.879000	2.774000
-2.161149E+0	-1.400000E+0	17-Mar-19 1:54:10 PM	2.996000	2.934000
-2.015478E+0	-1.300000E+0	17-Mar-19 1:54:13 PM	2.897000	2.883000
-1.864957E+0	-1.200000E+0	17-Mar-19 1:54:16 PM	2.894000	2.771000
-1.707859E+0	-1.100000E+0	17-Mar-19 1:54:18 PM	2.995000	2.926000
-1.550134E+0	-1.000000E+0	17-Mar-19 1:54:21 PM	2.875000	2.892000
-1.391585E+0	-9.000000E-1	17-Mar-19 1:54:24 PM	2.891000	2.771000
-1.230826E+0	-8.000000E-1	17-Mar-19 1:54:26 PM	2.992000	2.915000
-1.072644E+0	-7.000000E-1	17-Mar-19 1:54:29 PM	2.875000	2.806000
-9.143485E-1	-6.000000E-1	17-Mar-19 1:54:32 PM	2.888000	2.770000
-7.553150E-1	-5.000000E-1	17-Mar-19 1:54:34 PM	2.997000	2.907000
-5.995525E-1	-4.000000E-1	17-Mar-19 1:54:37 PM	2.876000	2.813000
-4.447385E-1	-3.000000E-1	17-Mar-19 1:54:40 PM	2.885000	2.770000
-2.903039E-1	-2.000000E-1	17-Mar-19 1:54:42 PM	2.997000	2.966000
-1.372140E-1	-1.000000E-1	17-Mar-19 1:54:45 PM	2.878000	2.824000
1.414399E-2	0.000000E+0	17-Mar-19 1:54:48 PM	2.909000	2.770000
1.652007E-1	1.000000E-1	17-Mar-19 1:54:50 PM	2.997000	2.958000
3.176149E-1	2.000000E-1	17-Mar-19 1:54:53 PM	2.878000	2.836000
4.708444E-1	3.000000E-1	17-Mar-19 1:54:56 PM	2.903000	2.769000
6.244826E-1	4.000000E-1	17-Mar-19 1:54:58 PM	2.996000	2.950000
7.803825E-1	5.000000E-1	17-Mar-19 1:55:01 PM	2.869000	2.784000
9.377258E-1	6.000000E-1	17-Mar-19 1:55:04 PM	2.899000	2.767000
