TempA(K)	Current(A)	Voltage(V)	R(ohm)
7.991000	1.000000E-4	1.626186E-4	1.626186
7.832000	1.000000E-4	1.628716E-4	1.628715
7.690000	1.000000E-4	1.624922E-4	1.624922
7.380000	1.000000E-4	1.623657E-4	1.623657
7.271000	1.000000E-4	1.628714E-4	1.628714
7.092000	1.000000E-4	1.623235E-4	1.623235
7.000000	1.000000E-4	1.621550E-4	1.621550
6.953000	1.000000E-4	1.630401E-4	1.630400
6.787000	1.000000E-4	1.628714E-4	1.628714
6.857000	1.000000E-4	1.637144E-4	1.637144
6.643000	1.000000E-4	1.633352E-4	1.633352
6.772000	1.000000E-4	1.642626E-4	1.642626
6.555000	1.000000E-4	1.639674E-4	1.639674
6.673000	1.000000E-4	1.638410E-4	1.638410
6.453000	1.000000E-4	1.635881E-4	1.635881
6.547000	1.000000E-4	1.636303E-4	1.636303
6.412000	1.000000E-4	1.628292E-4	1.628292
6.406000	1.000000E-4	1.629979E-4	1.629978
6.393000	1.000000E-4	1.642204E-4	1.642203
6.304000	1.000000E-4	1.638833E-4	1.638832
6.389000	1.000000E-4	1.642624E-4	1.642624
6.242000	1.000000E-4	1.633773E-4	1.633773
6.380000	1.000000E-4	1.637989E-4	1.637989
6.216000	1.000000E-4	1.635458E-4	1.635458
6.349000	1.000000E-4	1.645576E-4	1.645576
6.176000	1.000000E-4	1.640096E-4	1.640096
6.286000	1.000000E-4	1.635037E-4	1.635037
6.170000	1.000000E-4	1.636302E-4	1.636302
6.198000	1.000000E-4	1.637568E-4	1.637568
6.178000	1.000000E-4	1.645997E-4	1.645997
6.117000	1.000000E-4	1.632510E-4	1.632510
6.199000	1.000000E-4	1.637568E-4	1.637568
6.071000	1.000000E-4	1.641783E-4	1.641783
6.216000	1.000000E-4	1.639675E-4	1.639675
6.049000	1.000000E-4	1.639674E-4	1.639674
6.211000	1.000000E-4	1.638831E-4	1.638831
6.042000	1.000000E-4	1.637990E-4	1.637990
6.171000	1.000000E-4	1.640096E-4	1.640096
6.051000	1.000000E-4	1.641781E-4	1.641781
6.101000	1.000000E-4	1.640938E-4	1.640938
6.072000	1.000000E-4	1.643046E-4	1.643046
6.029000	1.000000E-4	1.643048E-4	1.643048
6.106000	1.000000E-4	1.640517E-4	1.640517
6.020000	1.000000E-4	1.637989E-4	1.637989
6.138000	1.000000E-4	1.640096E-4	1.640096
5.982000	1.000000E-4	1.638408E-4	1.638408
6.149000	1.000000E-4	1.646841E-4	1.646840
5.982000	1.000000E-4	1.632086E-4	1.632086
6.124000	1.000000E-4	1.635460E-4	1.635460
5.999000	1.000000E-4	1.639253E-4	1.639253
6.065000	1.000000E-4	1.637989E-4	1.637989
6.027000	1.000000E-4	1.643470E-4	1.643469
5.999000	1.000000E-4	1.637989E-4	1.637989
6.068000	1.000000E-4	1.641782E-4	1.641782
