TempA(K)	Current(A)	Voltage(V)	R(ohm)
17.151000	1.000000E-6	2.500000E-11	0.000025
17.132000	1.000000E-6	-8.422000E-8	-0.084220
17.096000	1.000000E-6	2.529800E-7	0.252980
17.019000	1.000000E-6	2.107300E-7	0.210730
16.944000	1.000000E-6	5.058250E-7	0.505825
16.850000	1.000000E-6	-1.000000E-11	-0.000010
16.751000	1.000000E-6	8.434500E-8	0.084345
16.619000	1.000000E-6	-6.500000E-11	-0.000065
16.524000	1.000000E-6	5.000000E-12	0.000005
16.392000	1.000000E-6	5.902300E-7	0.590230
16.272000	1.000000E-6	2.107600E-7	0.210760
16.144000	1.000000E-6	-2.950550E-7	-0.295055
16.000000	1.000000E-6	3.371500E-7	0.337150
15.895000	1.000000E-6	-3.372050E-7	-0.337205
15.759000	1.000000E-6	-8.426000E-8	-0.084260
15.652000	1.000000E-6	5.901350E-7	0.590135
15.475000	1.000000E-6	9.695450E-7	0.969545
15.394000	1.000000E-6	8.008200E-7	0.800820
15.220000	1.000000E-6	9.694700E-7	0.969470
15.124000	1.000000E-6	1.264515E-6	1.264515
14.967000	1.000000E-6	1.095930E-6	1.095930
14.841000	1.000000E-6	1.264540E-6	1.264540
14.708000	1.000000E-6	1.643945E-6	1.643945
14.552000	1.000000E-6	1.180265E-6	1.180265
TempA(K)	Current(A)	Voltage(V)	R(ohm)
6.063000	1.000000E-4	1.649788E-4	1.649788
5.989000	1.000000E-4	1.648101E-4	1.648101
5.973000	1.000000E-4	1.648103E-4	1.648103
5.990000	1.000000E-4	1.645574E-4	1.645574
5.894000	1.000000E-4	1.647681E-4	1.647681
5.991000	1.000000E-4	1.647681E-4	1.647681
5.855000	1.000000E-4	1.649788E-4	1.649788
5.982000	1.000000E-4	1.649368E-4	1.649367
5.812000	1.000000E-4	1.649366E-4	1.649366
5.949000	1.000000E-4	1.648524E-4	1.648524
5.796000	1.000000E-4	1.636299E-4	1.636299
5.883000	1.000000E-4	1.644731E-4	1.644731
5.793000	1.000000E-4	1.646838E-4	1.646838
5.788000	1.000000E-4	1.648945E-4	1.648945
5.795000	1.000000E-4	1.643466E-4	1.643466
5.706000	1.000000E-4	1.647259E-4	1.647259
5.801000	1.000000E-4	1.642200E-4	1.642200
5.670000	1.000000E-4	1.643044E-4	1.643044
5.799000	1.000000E-4	1.645573E-4	1.645573
5.622000	1.000000E-4	1.650631E-4	1.650630
5.771000	1.000000E-4	1.649366E-4	1.649366
5.606000	1.000000E-4	1.643887E-4	1.643887
TempA(K)	Current(A)	Voltage(V)	R(ohm)
5.219000	1.000000E-4	4.636950E-7	0.004637
5.374000	1.000000E-4	-1.348950E-6	-0.013489
5.199000	1.000000E-4	-1.264100E-7	-0.001264
5.361000	1.000000E-4	5.480400E-7	0.005480
5.199000	1.000000E-4	-2.950100E-7	-0.002950
5.306000	1.000000E-4	8.426000E-8	0.000843
5.206000	1.000000E-4	3.794000E-7	0.003794
5.213000	1.000000E-4	4.215100E-7	0.004215
5.225000	1.000000E-4	-4.213000E-8	-0.000421
5.133000	1.000000E-4	6.745150E-7	0.006745
5.193000	1.000000E-4	4.210000E-8	0.000421
TempA(K)	Current(A)	Voltage(V)	R(ohm)
4.671000	1.000000E-4	1.643887E-4	1.643887
4.589000	1.000000E-4	1.650210E-4	1.650210
4.701000	1.000000E-4	1.654847E-4	1.654847
4.565000	1.000000E-4	1.648524E-4	1.648524
4.719000	1.000000E-4	1.648524E-4	1.648524
4.540000	1.000000E-4	1.648524E-4	1.648524
4.720000	1.000000E-4	1.653161E-4	1.653161
4.544000	1.000000E-4	1.653583E-4	1.653582
4.683000	1.000000E-4	1.650632E-4	1.650632
4.565000	1.000000E-4	1.639253E-4	1.639253
4.601000	1.000000E-4	1.647680E-4	1.647680
4.602000	1.000000E-4	1.649368E-4	1.649367
4.533000	1.000000E-4	1.642623E-4	1.642623
4.651000	1.000000E-4	1.647681E-4	1.647681
4.529000	1.000000E-4	1.653581E-4	1.653581
4.693000	1.000000E-4	1.654425E-4	1.654424
4.509000	1.000000E-4	1.648101E-4	1.648101
4.703000	1.000000E-4	1.647681E-4	1.647681
4.516000	1.000000E-4	1.648945E-4	1.648945
4.668000	1.000000E-4	1.638830E-4	1.638830
4.540000	1.000000E-4	1.643044E-4	1.643044
4.589000	1.000000E-4	1.648102E-4	1.648102
4.580000	1.000000E-4	1.646837E-4	1.646837
4.592000	1.000000E-4	1.646416E-4	1.646416
4.635000	1.000000E-4	1.650210E-4	1.650210
4.524000	1.000000E-4	1.646416E-4	1.646416
4.683000	1.000000E-4	1.652317E-4	1.652316
4.502000	1.000000E-4	1.649366E-4	1.649366
4.703000	1.000000E-4	1.649366E-4	1.649366
4.514000	1.000000E-4	1.647681E-4	1.647681
4.674000	1.000000E-4	1.644730E-4	1.644729
4.539000	1.000000E-4	1.643045E-4	1.643045
4.602000	1.000000E-4	1.651896E-4	1.651896
4.581000	1.000000E-4	1.648102E-4	1.648102
4.606000	1.000000E-4	1.648523E-4	1.648523
4.639000	1.000000E-4	1.647682E-4	1.647682
4.540000	1.000000E-4	1.651474E-4	1.651474
4.694000	1.000000E-4	1.641357E-4	1.641357
4.519000	1.000000E-4	1.650632E-4	1.650632
4.713000	1.000000E-4	1.648102E-4	1.648102
4.528000	1.000000E-4	1.643887E-4	1.643887
4.698000	1.000000E-4	1.646837E-4	1.646837
4.558000	1.000000E-4	1.648103E-4	1.648103
4.631000	1.000000E-4	1.659484E-4	1.659483
4.600000	1.000000E-4	1.645996E-4	1.645996
4.637000	1.000000E-4	1.650209E-4	1.650209
4.661000	1.000000E-4	1.651053E-4	1.651053
4.571000	1.000000E-4	1.651475E-4	1.651474
4.713000	1.000000E-4	1.644730E-4	1.644729
4.548000	1.000000E-4	1.653161E-4	1.653161
