TempA(K)	TempB(K)	Current(A)	Voltage(V)	R(ohm)
17.160000	16.268000	0.000001	-0.000001	-0.590095
17.159000	16.368000	0.000001	-0.000000	-0.463735
17.154000	16.476000	0.000001	-0.000000	-0.168555
17.150000	16.530000	0.000001	-0.000000	-0.042175
17.150000	16.427000	0.000001	-0.000000	-0.295000
17.150000	16.423000	0.000001	-0.000000	-0.084310
17.153000	16.194000	0.000001	0.000000	0.084280
17.158000	16.051000	0.000001	-0.000000	-0.210760
17.159000	16.088000	0.000001	-0.000000	-0.379360
17.162000	16.151000	0.000001	-0.000000	-0.126470
