Voltage (mV)	current (mA)	time elapsed sec)	temp A (K)	temp B (K)
-8.664071E+0	-6.000000E+0	17-Mar-19 2:47:03 PM	7.009000	6.029000
-8.520521E+0	-5.900000E+0	17-Mar-19 2:47:06 PM	7.045000	6.544000
-8.377475E+0	-5.800000E+0	17-Mar-19 2:47:08 PM	6.912000	6.206000
-8.233708E+0	-5.700000E+0	17-Mar-19 2:47:11 PM	7.011000	6.049000
-8.089870E+0	-5.600000E+0	17-Mar-19 2:47:14 PM	7.046000	6.554000
-7.946076E+0	-5.500000E+0	17-Mar-19 2:47:16 PM	6.927000	6.203000
-7.802226E+0	-5.400000E+0	17-Mar-19 2:47:19 PM	7.016000	6.057000
-7.659099E+0	-5.300000E+0	17-Mar-19 2:47:22 PM	7.046000	6.564000
-7.515210E+0	-5.200000E+0	17-Mar-19 2:47:24 PM	6.930000	6.033000
-7.371227E+0	-5.100000E+0	17-Mar-19 2:47:27 PM	7.020000	6.062000
-7.227251E+0	-5.000000E+0	17-Mar-19 2:47:30 PM	6.995000	6.576000
-7.084158E+0	-4.900000E+0	17-Mar-19 2:47:32 PM	6.933000	6.034000
-6.940805E+0	-4.800000E+0	17-Mar-19 2:47:35 PM	7.024000	6.065000
-6.797897E+0	-4.700000E+0	17-Mar-19 2:47:38 PM	6.989000	6.635000
-6.655320E+0	-4.600000E+0	17-Mar-19 2:47:40 PM	6.933000	6.028000
-6.511991E+0	-4.500000E+0	17-Mar-19 2:47:43 PM	7.059000	6.070000
-6.369030E+0	-4.400000E+0	17-Mar-19 2:47:46 PM	6.990000	6.635000
-6.226293E+0	-4.300000E+0	17-Mar-19 2:47:48 PM	6.938000	6.032000
-6.083522E+0	-4.200000E+0	17-Mar-19 2:47:51 PM	7.061000	6.208000
-5.941061E+0	-4.100000E+0	17-Mar-19 2:47:53 PM	6.989000	6.634000
-5.798757E+0	-4.000000E+0	17-Mar-19 2:47:56 PM	6.963000	6.028000
-5.656002E+0	-3.900000E+0	17-Mar-19 2:47:59 PM	7.064000	6.217000
-5.514418E+0	-3.800000E+0	17-Mar-19 2:48:01 PM	6.985000	6.625000
-5.371909E+0	-3.700000E+0	17-Mar-19 2:48:04 PM	6.963000	6.024000
-5.229666E+0	-3.600000E+0	17-Mar-19 2:48:07 PM	7.063000	6.222000
-5.088192E+0	-3.500000E+0	17-Mar-19 2:48:09 PM	6.935000	6.616000
-4.947062E+0	-3.400000E+0	17-Mar-19 2:48:12 PM	6.965000	6.030000
