TempA(K)	TempB(K)	Current(A)	Voltage(V)	R(ohm)
299.000000	300.440000	0.010000	0.001657	0.165717
298.980000	300.440000	0.010000	0.001659	0.165949
298.970000	300.450000	0.010000	0.001660	0.166029
298.960000	300.430000	0.010000	0.001661	0.166109
298.990000	300.440000	0.010000	0.001661	0.166138
299.000000	300.440000	0.010000	0.001662	0.166235
298.990000	300.440000	0.010000	0.001662	0.166227
298.990000	300.440000	0.010000	0.001662	0.166248
298.980000	300.440000	0.010000	0.001663	0.166277
299.000000	300.440000	0.010000	0.001662	0.166227
298.990000	300.440000	0.010000	0.001663	0.166332
299.000000	300.430000	0.010000	0.001664	0.166358
299.010000	300.450000	0.010000	0.001663	0.166336
298.990000	300.430000	0.010000	0.001664	0.166370
299.000000	300.440000	0.010000	0.001664	0.166442
298.990000	300.450000	0.010000	0.001664	0.166366
298.990000	300.440000	0.010000	0.001665	0.166459
299.010000	300.440000	0.010000	0.001664	0.166391
298.990000	300.430000	0.010000	0.001664	0.166416
299.000000	300.440000	0.010000	0.001665	0.166450
299.000000	300.420000	0.010000	0.001664	0.166442
299.000000	300.450000	0.010000	0.001665	0.166501
299.000000	300.440000	0.010000	0.001664	0.166433
299.000000	300.440000	0.010000	0.001665	0.166513
299.000000	300.440000	0.010000	0.001665	0.166539
299.000000	300.440000	0.010000	0.001666	0.166568
298.980000	300.430000	0.010000	0.001665	0.166534
299.010000	300.450000	0.010000	0.001665	0.166543
299.000000	300.440000	0.010000	0.001666	0.166576
299.000000	300.440000	0.010000	0.001666	0.166560
298.990000	300.450000	0.010000	0.001666	0.166631
298.990000	300.440000	0.010000	0.001666	0.166602
299.010000	300.450000	0.010000	0.001666	0.166568
299.020000	300.450000	0.010000	0.001666	0.166631
299.000000	300.450000	0.010000	0.001666	0.166568
299.010000	300.430000	0.010000	0.001666	0.166606
298.990000	300.440000	0.010000	0.001666	0.166619
299.020000	300.450000	0.010000	0.001667	0.166678
299.010000	300.450000	0.010000	0.001666	0.166619
298.970000	300.440000	0.010000	0.001667	0.166673
298.990000	300.450000	0.010000	0.001666	0.166593
298.980000	300.440000	0.010000	0.001666	0.166618
299.000000	300.450000	0.010000	0.001666	0.166589
299.000000	300.430000	0.010000	0.001667	0.166715
299.000000	300.450000	0.010000	0.001667	0.166732
299.000000	300.440000	0.010000	0.001667	0.166690
298.990000	300.440000	0.010000	0.001667	0.166736
298.990000	300.450000	0.010000	0.001666	0.166635
299.000000	300.440000	0.010000	0.001667	0.166728
298.970000	300.440000	0.010000	0.001667	0.166703
299.010000	300.440000	0.010000	0.001666	0.166648
299.000000	300.450000	0.010000	0.001668	0.166758
299.000000	300.440000	0.010000	0.001667	0.166656
