TempA(K)	TempB(K)	Current(A)	Voltage(V)	R(ohm)
299.000000	300.470000	0.000100	0.000016	0.158913
298.990000	300.490000	0.000100	0.000016	0.155963
299.020000	300.490000	0.000100	0.000016	0.158492
299.020000	300.470000	0.000100	0.000016	0.162706
299.000000	300.470000	0.000100	0.000015	0.150482
299.020000	300.480000	0.000100	0.000017	0.166502
299.010000	300.470000	0.000100	0.000014	0.143318
299.020000	300.490000	0.000100	0.000015	0.153434
299.010000	300.500000	0.000100	0.000015	0.146689
299.020000	300.480000	0.000100	0.000016	0.158070
299.020000	300.480000	0.000100	0.000015	0.153433
299.000000	300.480000	0.000100	0.000016	0.155120
299.000000	300.480000	0.000100	0.000015	0.153855
299.010000	300.470000	0.000100	0.000015	0.147952
298.990000	300.480000	0.000100	0.000015	0.154698
299.010000	300.490000	0.000100	0.000014	0.141209
299.020000	300.470000	0.000100	0.000015	0.148375
299.010000	300.480000	0.000100	0.000015	0.153012
TempA(K)	TempB(K)	Current(A)	Voltage(V)	R(ohm)
299.010000	300.480000	0.000100	0.000194	1.940268
299.000000	300.480000	0.000100	0.000193	1.926358
299.010000	300.480000	0.000100	0.000192	1.920456
299.000000	300.480000	0.000100	0.000192	1.920456
299.020000	300.480000	0.000100	0.000191	1.911181
299.000000	300.480000	0.000100	0.000190	1.903173
299.000000	300.470000	0.000100	0.000190	1.897693
299.020000	300.480000	0.000100	0.000189	1.894742
299.000000	300.480000	0.000100	0.000190	1.899801
299.000000	300.480000	0.000100	0.000190	1.896007
299.000000	300.480000	0.000100	0.000190	1.896007
299.020000	300.480000	0.000100	0.000190	1.900644
299.020000	300.480000	0.000100	0.000190	1.898536
299.010000	300.470000	0.000100	0.000189	1.893898
299.000000	300.480000	0.000100	0.000189	1.890105
TempA(K)	TempB(K)	Current(A)	Voltage(V)	R(ohm)
299.010000	300.490000	0.000100	0.000015	0.151325
299.000000	300.470000	0.000100	0.000015	0.150061
299.000000	300.470000	0.000100	0.000015	0.150483
298.990000	300.470000	0.000100	0.000015	0.150060
299.000000	300.470000	0.000100	0.000015	0.148796
299.010000	300.480000	0.000100	0.000015	0.154276
299.000000	300.480000	0.000100	0.000015	0.149640
299.010000	300.490000	0.000100	0.000015	0.149640
299.010000	300.480000	0.000100	0.000015	0.148797
299.000000	300.480000	0.000100	0.000015	0.147954
299.010000	300.470000	0.000100	0.000015	0.146267
299.000000	300.480000	0.000100	0.000015	0.148375
299.000000	300.480000	0.000100	0.000015	0.152589
299.000000	300.480000	0.000100	0.000015	0.145846
299.000000	300.490000	0.000100	0.000016	0.155540
299.000000	300.470000	0.000100	0.000015	0.153433
299.000000	300.480000	0.000100	0.000015	0.150061
299.020000	300.490000	0.000100	0.000015	0.148796
299.000000	300.490000	0.000100	0.000015	0.151325
299.000000	300.480000	0.000100	0.000015	0.146267
299.000000	300.480000	0.000100	0.000015	0.149218
299.000000	300.480000	0.000100	0.000015	0.150482
299.010000	300.480000	0.000100	0.000014	0.143737
299.000000	300.470000	0.000100	0.000016	0.155541
299.000000	300.480000	0.000100	0.000015	0.152169
298.990000	300.490000	0.000100	0.000015	0.148375
299.000000	300.480000	0.000100	0.000015	0.147531
299.000000	300.480000	0.000100	0.000015	0.147531
299.020000	300.480000	0.000100	0.000015	0.146689
299.010000	300.470000	0.000100	0.000015	0.150482
299.000000	300.480000	0.000100	0.000014	0.142895
299.000000	300.480000	0.000100	0.000015	0.150061
299.000000	300.470000	0.000100	0.000015	0.150061
299.000000	300.480000	0.000100	0.000014	0.144581
299.000000	300.490000	0.000100	0.000015	0.147532
299.000000	300.470000	0.000100	0.000015	0.153012
298.990000	300.480000	0.000100	0.000015	0.152168
299.000000	300.470000	0.000100	0.000015	0.153433
299.000000	300.490000	0.000100	0.000015	0.153011
299.000000	300.480000	0.000100	0.000016	0.157226
298.980000	300.480000	0.000100	0.000016	0.160177
299.000000	300.470000	0.000100	0.000015	0.148796
299.000000	300.470000	0.000100	0.000015	0.147953
299.000000	300.480000	0.000100	0.000015	0.153853
299.010000	300.470000	0.000100	0.000015	0.151746
298.990000	300.480000	0.000100	0.000015	0.153854
298.990000	300.480000	0.000100	0.000015	0.149218
298.990000	300.470000	0.000100	0.000015	0.153855
298.990000	300.490000	0.000100	0.000015	0.153855
299.000000	300.490000	0.000100	0.000015	0.146267
298.980000	300.480000	0.000100	0.000015	0.151747
298.990000	300.480000	0.000100	0.000015	0.150482
299.000000	300.490000	0.000100	0.000015	0.149218
299.000000	300.490000	0.000100	0.000015	0.149639
298.990000	300.480000	0.000100	0.000015	0.150060
298.990000	300.490000	0.000100	0.000015	0.153855
299.010000	300.470000	0.000100	0.000015	0.149218
299.000000	300.490000	0.000100	0.000015	0.145424
299.010000	300.470000	0.000100	0.000015	0.154276
299.000000	300.490000	0.000100	0.000015	0.151325
298.980000	300.490000	0.000100	0.000015	0.147532
298.980000	300.470000	0.000100	0.000015	0.147531
298.990000	300.490000	0.000100	0.000015	0.153433
299.000000	300.470000	0.000100	0.000015	0.148375
299.000000	300.480000	0.000100	0.000015	0.152589
298.990000	300.470000	0.000100	0.000015	0.147109
298.980000	300.470000	0.000100	0.000015	0.149218
298.990000	300.480000	0.000100	0.000015	0.150061
298.990000	300.480000	0.000100	0.000015	0.150904
299.000000	300.470000	0.000100	0.000015	0.149640
299.000000	300.480000	0.000100	0.000015	0.152589
298.980000	300.490000	0.000100	0.000015	0.149639
298.990000	300.480000	0.000100	0.000015	0.152168
298.980000	300.480000	0.000100	0.000015	0.154698
299.000000	300.480000	0.000100	0.000015	0.150060
298.990000	300.470000	0.000100	0.000015	0.148375
298.990000	300.480000	0.000100	0.000015	0.150904
298.980000	300.480000	0.000100	0.000015	0.149638
298.990000	300.470000	0.000100	0.000015	0.147952
299.000000	300.480000	0.000100	0.000015	0.148375
299.010000	300.470000	0.000100	0.000015	0.150060
298.990000	300.480000	0.000100	0.000015	0.152589
299.010000	300.480000	0.000100	0.000015	0.148374
298.990000	300.480000	0.000100	0.000015	0.150061
299.000000	300.490000	0.000100	0.000016	0.155119
298.990000	300.460000	0.000100	0.000015	0.149639
299.000000	300.470000	0.000100	0.000015	0.150483
299.000000	300.490000	0.000100	0.000014	0.143316
298.990000	300.490000	0.000100	0.000015	0.150481
298.980000	300.480000	0.000100	0.000015	0.152168
298.980000	300.470000	0.000100	0.000015	0.148375
298.990000	300.470000	0.000100	0.000015	0.151746
298.980000	300.480000	0.000100	0.000015	0.149217
298.980000	300.470000	0.000100	0.000015	0.152168
298.990000	300.480000	0.000100	0.000015	0.149217
299.000000	300.480000	0.000100	0.000015	0.146267
298.980000	300.470000	0.000100	0.000015	0.147952
298.990000	300.480000	0.000100	0.000015	0.152590
298.980000	300.470000	0.000100	0.000015	0.154698
299.010000	300.480000	0.000100	0.000015	0.149639
298.980000	300.480000	0.000100	0.000015	0.154276
298.980000	300.480000	0.000100	0.000015	0.147531
299.000000	300.470000	0.000100	0.000015	0.149639
298.990000	300.490000	0.000100	0.000015	0.148374
298.970000	300.480000	0.000100	0.000015	0.150482
298.980000	300.470000	0.000100	0.000015	0.150903
298.990000	300.490000	0.000100	0.000015	0.154276
298.980000	300.490000	0.000100	0.000015	0.150903
298.990000	300.490000	0.000100	0.000015	0.150482
298.970000	300.470000	0.000100	0.000015	0.147532
298.990000	300.490000	0.000100	0.000015	0.150060
298.990000	300.480000	0.000100	0.000015	0.151746
298.980000	300.490000	0.000100	0.000015	0.153854
298.990000	300.480000	0.000100	0.000015	0.153854
298.990000	300.480000	0.000100	0.000015	0.153011
298.980000	300.480000	0.000100	0.000016	0.158912
298.980000	300.480000	0.000100	0.000015	0.150903
298.990000	300.480000	0.000100	0.000014	0.139101
298.980000	300.470000	0.000100	0.000015	0.147110
298.980000	300.490000	0.000100	0.000015	0.149639
298.980000	300.490000	0.000100	0.000015	0.153433
298.990000	300.480000	0.000100	0.000015	0.151325
298.990000	300.490000	0.000100	0.000015	0.150482
298.990000	300.470000	0.000100	0.000015	0.145424
298.990000	300.480000	0.000100	0.000015	0.149217
298.980000	300.480000	0.000100	0.000015	0.148375
299.000000	300.490000	0.000100	0.000015	0.145423
299.010000	300.480000	0.000100	0.000015	0.151326
298.970000	300.480000	0.000100	0.000015	0.149217
298.980000	300.480000	0.000100	0.000015	0.152590
298.990000	300.480000	0.000100	0.000015	0.152589
298.990000	300.480000	0.000100	0.000015	0.151747
298.970000	300.470000	0.000100	0.000015	0.153432
298.990000	300.470000	0.000100	0.000015	0.147531
298.980000	300.470000	0.000100	0.000015	0.145845
298.980000	300.490000	0.000100	0.000015	0.150482
298.980000	300.480000	0.000100	0.000015	0.151746
298.970000	300.490000	0.000100	0.000016	0.156384
298.970000	300.470000	0.000100	0.000015	0.153011
298.990000	300.480000	0.000100	0.000015	0.149638
298.980000	300.470000	0.000100	0.000015	0.147532
298.990000	300.480000	0.000100	0.000015	0.153010
298.970000	300.480000	0.000100	0.000014	0.144158
298.970000	300.490000	0.000100	0.000015	0.151325
298.980000	300.470000	0.000100	0.000015	0.147109
